AFF_LOVE_POINT	Puntos de amor: %d%%
COMB_NOT_ALL_SLOT_APPEND_ITEM	Necesitas un segundo atuendo para poder transferir las bonificaciones.
COMB_NOT_FULL_BOOK	No, así no vamos a hacer negocios. Como ya te expliqué, solamente canjeo libros si me puedes traer al menos 10 de ellos.
COMB_NOT_ITEM_IN_INVENTORY	No puedes utilizar un objeto equipado.
COMB_NOT_MEDIUM_ITEM	No se puede utilizar este objeto.
COMB_WILL_REMOVE_MATERIAL	Se ha destruido el atuendo 2.
CREATE_ERROR_GM_NAME	No tienes permitido usar 'GM' en el nombre de tu personaje.
CREATE_ERROR_INSULT_NAME	Este nombre es inválido.
CREATE_ERROR_LIMIT_LEVEL	Tu personaje tiene que haber alcanzado el nivel 80 como mínimo.
CREATE_ERROR_TIME_LIMIT	Puedes crear un personaje cada 30 segundos.
CREATE_ERROR_WRONG_STRING	El nombre de tu personaje no puede contener caracteres especiales.
CREATE_EXIST_SAME_NAME	Alguien ya está usando este nombre de personaje.
CREATE_FAILURE	No puedes crear el personaje.
CREATE_FULL	No puedes crear más personajes.
CREATE_GM_NAME	GM
CREATE_INPUT_NAME	Introducir el nombre.
CREATE_PLUS_STAT	Todavía hay puntos de estado restantes.
DAY	Días
DONT_USE_ITEM_WHEN_SHOW_CONFIRM	No se pueden mover objetos durante una petición.
DO_YOU_BUY_ITEM1	¿Deseas comprar %s por %s?
DO_YOU_BUY_ITEM2	¿Deseas comprar %s %s por %s?
DO_YOU_DROP_MONEY	¿Quieres tirar %d Yang?
DO_YOU_SELL_ITEM1	¿Deseas vender %s por %s?
DO_YOU_SELL_ITEM2	¿Deseas vender %s %s por %s?
DRAGON_SOUL_CANNOT_REFINE	No puedes refinar esta Piedra dragón.
DRAGON_SOUL_CANNOT_REFINE_MORE	Esta Piedra dragón ya ha alcanzado el mayor nivel posible.
DRAGON_SOUL_EQUIP_WARNING1	Es difícil volver a retirar una Piedra dragón.
DRAGON_SOUL_EQUIP_WARNING2	¿Quieres continuar de todas formas?
DRAGON_SOUL_EXPIRED	Piedra dragón caducada
DRAGON_SOUL_INVALID_DRAGON_SOUL	Esta no es la Piedra dragón adecuada.
DRAGON_SOUL_IS_NOT_DRAGON_SOUL	Eso no es una Piedra dragón.
DRAGON_SOUL_NOT_DRAGON_SOUL_REFINE_STONE	Esta no es la Piedra dragón correcta.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL	No tienes material suficiente para refinar.
DRAGON_SOUL_NOT_MATCHED_SLOT	La Piedra dragón no encaja en esta ranura.
DRAGON_SOUL_STEP_LEVEL1	Pureza: mate.
DRAGON_SOUL_STEP_LEVEL2	Pureza: clara.
DRAGON_SOUL_STEP_LEVEL3	Pureza: límpida.
DRAGON_SOUL_STEP_LEVEL4	Pureza: brillante.
DRAGON_SOUL_STEP_LEVEL5	Pureza: excelente.
DRAGON_SOUL_STRENGTH	Nivel: +%d	SA
DRAGON_SOUL_UNEQUIP_WARNING1	No se ha podido destruir la Piedra dragón.
DRAGON_SOUL_UNEQUIP_WARNING2	¿Quieres continuar de todas formas?
DRAGON_SOUL_UNMATCHED_SLOT	Esa es la ranura incorrecta.
DRAGON_SOUL_UNQUALIFIED	Todavía no puedes utilizar la alquimia de Piedras dragón.
DROP_ITEM_FAILURE_EQUIP_ITEM	No puedes dejar caer los objetos que te has equipado.
DROP_ITEM_FAILURE_PRIVATE_SHOP	No puedes dejar caer ningún objeto mientras tengas abierta una tienda privada.
DROP_MONEY_FAILURE_1000_OVER	Puedes dejar caer un máximo de 999 Yang.
EMOTION_ANGRY	Irritante
EMOTION_ATTRACTIVE	Seducción
EMOTION_BANTER	Burlón
EMOTION_CHEERS_1	Salud 1
EMOTION_CHEERS_2	Salud 2
EMOTION_CHEERUP	Animar
EMOTION_CHOOSE_ONE	Elige un objetivo
EMOTION_CLAP	Aplausos
EMOTION_CLAP_KISS	Beso
EMOTION_CONGRATULATION	Aprobación
EMOTION_DANCE_1	Baile 1
EMOTION_DANCE_2	Baile 2
EMOTION_DANCE_3	Baile 3
EMOTION_DANCE_4	Baile 4
EMOTION_DANCE_5	Baile 5
EMOTION_DANCE_6	Gumsan Style
EMOTION_FORGIVE	Perdón
EMOTION_FRENCH_KISS	Beso Francés
EMOTION_JOY	Alegría
EMOTION_SAD	Triste
EMOTION_SHY	Rechazo
EMOTION_SLAP	Golpe
EMPIRE_A	Reino Shinsoo
EMPIRE_B	Reino Chunjo
EMPIRE_C	Reino Jinno
EMPIRE_SELECT_MODE	Seleccionar Reino
EXCHANGE_CANNOT_GIVE	Este objeto no puede ser comerciado.
EXCHANGE_CANT_EDIT_MONEY	No puedes cambiar ahora la suma.
EXCHANGE_FAILURE_EQUIP_ITEM	No puedes intercambiar los objetos que te has equipado.
EXCHANGE_MONEY	Suma
EXCHANGE_TITLE	Comerciar con %s
FISHING_FAILURE	Perdiste el cebo.
FISHING_NOTIFY1	Parece que hay %s enganchado.
FISHING_NOTIFY2	Parece que %s ha sido capturado.
FISHING_SUCCESS1	¡Has capturado %s!
FISHING_SUCCESS2	¡Has sacado a %s del agua!
FISHING_UNKNOWN	Algo ha mordido el cebo, pero no puedes ver qué es.
FISHING_WRONG_PLACE	No puedes pescar aquí.
FOR_FEMALE	para mujer
FOR_MALE	para hombre
GAME_CANNOT_MINING	No puedes extraer minerales mientras estés cabalgando.
GAME_CANNOT_PICK_ITEM	No puedes recoger este objeto ya que no lo ganaste.
GAME_INIT_ERROR_CURSOR	El cursor no pudo ser establecido.
GAME_INIT_ERROR_DIRECTX	DirectX 8.1 debe estar instalado para que este juego pueda arrancar.\nInstala DirectX 8.1 o superior.
GAME_INIT_ERROR_GRAPHICS_BAD_PERFORMANCE	No se ha encontrado ningún dispositivo gráfico.\nRevisa si tu tarjeta VGA está instalada correctamente.
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	El dispositivo gráfico no está establecido.\nRevisa si tienes tarjeta VGA.\nAlternativamente, puedes activar el hardware acelerador.\n(Fija el hardware acelerador al máximo. \nPanel de Control->Pantalla->Configuración->Avanzado->Registro de tarjeta.)
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	La tarjeta gráfica del ordenador no soporta el modo de ventana al modo 32bit.\nCambialo al modo 16bit o a Modo Pantalla Completa.
GAME_INIT_ERROR_ITEM_PROTO	No existen datos de objetos.\nInstala el juego de nuevo.
GAME_INIT_ERROR_MAIN_WINDOW	El servidor no pudo ser establecido
GAME_INIT_ERROR_MOB_PROTO	No existen datos de monstruos.\nInstala el juego de nuevo.
GAME_INIT_ERROR_NETWORK	No pudieron establecerse dispositivos de red.\nRevisa tu conexión a internet.
GAME_PICK_MONEY	Has recibido %d Yang.
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	La altura no es de 128 Pixel
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	La altura no es de 12 Pixel
GUILDMARK_UPLOADER_ERROR_16_WIDTH	El ancho no es de 16 Pixel
GUILDMARK_UPLOADER_ERROR_64_WIDTH	El ancho no es de 64 Pixel
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	El juego no soporta esta imagen.
GUILDMARK_UPLOADER_ERROR_PATH	Mueve los datos a la carpeta metin2/upload.
GUILDMARK_UPLOADER_ERROR_SELECT	No se seleccionó una carpeta de imágenes.
GUILDWAR_CTF_TITLE	Conquistar bandera
GUILDWAR_NORMAL_TITLE	Campo de batalla
GUILDWAR_QUESTION_LINE_1	El gremio %s le ha declarado la guerra a tu gremio.
GUILDWAR_QUESTION_LINE_2	¿Aceptas? (%s)
GUILDWAR_UNKNOWN_TITLE	...
GUILDWAR_WARP_TITLE	Guerra en la arena
GUILD_BUILDING_GRADE	Rank
GUILD_BUILDING_NAME	Nombre de construcción
GUILD_CANNOT_HEAL_GSP_ANYMORE	La energía Dragón Fantasma ya se ha recargado completamente.
GUILD_COMMENT	Escribe
GUILD_CREATE_ERROR_INSULT_NAME	Nombre de Gremio no válido.
GUILD_DEFAULT_GRADE	Miembros de Gremio
GUILD_DELETE	Borrar
GUILD_DEPOSIT	Depósito
GUILD_DO_YOU_HEAL_GSP	¿Deseas emplear %d Yang para restaurar %d Dragones Fantasma?
GUILD_DO_YOU_JOIN	 te ha invitado. ¿Aceptas entrar en el gremio?
GUILD_EMPTY_AREA	Tierra vacia
GUILD_ENEMY_GUILD_NAME	Nombre de Gremio del enemigo
GUILD_FACILITY	Dependencias
GUILD_GEM	Gema
GUILD_HEADQUARTER	Edificio Principal
GUILD_HEAL_GSP	Recargar Dragón Fantasma
GUILD_INFO_ENEMY_GUILD_EMPTY	Ninguno
GUILD_MARK_NOT_ENOUGH_LEVEL	Se necesita por lo menos el nivel 3
GUILD_NAME	Nombre de Gremio
GUILD_NOT_ENOUGH_MATERIAL	No hay suficiente material para este edificio.
GUILD_NOT_ENOUGH_MONEY	No hay suficiente Yang para este edificio.
GUILD_NO_NOTICE_PERMISSION	No tienes los permisos para realizar un anuncio.
GUILD_OBJECT	Objetos
GUILD_OFFER_EXP	Invertir experiencia
GUILD_SHORT_EXP	No hay suficiente puntos de experiencia.
GUILD_TILE_BASEINFO	Información Básica
GUILD_TILE_BOARD	Pizarra
GUILD_TILE_GRADE	Administración Derechos
GUILD_TILE_INFO	Información de Gremio
GUILD_TILE_MEMBER	Miembros del Gremio
GUILD_TILE_SKILL	Habilidades del Gremio
GUILD_VILLAGE_01	Miryang
GUILD_VILLAGE_02	Songpa
GUILD_VILLAGE_03	Daeyami
GUILD_WAR1	Terrenos de la Guerra de gremios
GUILD_WAR2	Terrenos de la Guerra de gremios
GUILD_WAR3	Terrenos de la Guerra de gremios
GUILD_WAR4	Terrenos de la Guerra de gremios
GUILD_WAR_LIMIT_30MIN	Tiempo: 30 minutos
GUILD_WAR_REWARD_POTION	Recompensa: El ganador recibe una poción.
GUILD_WAR_USE_BATTLE_MAP	Lugar: Arena de guerra de gremios
GUILD_WAR_USE_NORMAL_MAP	Lugar: Mapa normal
GUILD_WAR_WIN_CHECK_SCORE	El mayor resultado gana la guerra.
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	Conquista la bandera del enemigo
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	y llévala a tu base.
GUILD_WAR_WIN_WIPE_OUT_GUILD	Derrota a todos los enemigos para ganar.
GUILD_WITHDRAW	Alternativa
GUILD_YOU_DO_NOT_JOIN	No eres miembro de ningún gremio
HORSE_HEALTH0	Muerto
HORSE_HEALTH1	Muerto de hambre
HORSE_HEALTH2	Hambriento
HORSE_HEALTH3	Lleno
HORSE_LEVEL1	Caballo Normal
HORSE_LEVEL2	Caballo de Batalla
HORSE_LEVEL3	Caballo Militar
HOUR	Horas
HOW_MANY_ITEM_DO_YOU_DROP1	¿Deseas tirar %s?
HOW_MANY_ITEM_DO_YOU_DROP2	¿Deseas tirar %s %d?
INPUT_MATRIX_CARD_NUMBER	Introduce código de Tarjeta Matrix.
INPUT_MATRIX_CARD_TITLE	Tarjeta Matrix
INPUT_PRIVATE_CODE_DIALOG_DESCRIPTION	Introduce aquí el código de borrado de los ajustes de tu cuenta.
INPUT_PRIVATE_CODE_DIALOG_TITLE	Borrar personaje
INVENTORY_DO_NOT_PACK_WARP_SCROLL	Papel de retorno no puede ser combinado.
INVENTORY_REALLY_USE_ITEM	¿Deseas usar el objeto en este objeto?
JOB_ASSASSIN	Ninja
JOB_ASSASSIN0	Ninja aficionado
JOB_ASSASSIN1	Poder de los Ninjas
JOB_ASSASSIN2	Nomuerto
JOB_SHAMAN	Chamán
JOB_SHAMAN0	Chamán Aficionado
JOB_SHAMAN1	Poder del Dragón
JOB_SHAMAN2	Poder del Relámpago
JOB_SURA	Sura
JOB_SURA0	Sura Aficionado
JOB_SURA1	Poder de la Visión Engañosa
JOB_SURA2	Poder de Magia Negra
JOB_WARRIOR	Guerrero
JOB_WARRIOR0	Guerrero Aficionado
JOB_WARRIOR1	Poder de Arahan
JOB_WARRIOR2	Poder de Partisanos
LEFT_TIME	Tiempo restante
LOGIN_CONNECT_FAILURE	Error al conectar al servidor.
LOGIN_CONNECT_SUCCESS	Has sido conectado al servidor.
LOGIN_CONNETING	Estás siendo conectado al servidor...
LOGIN_FAILURE_ALREAY	Tu cuenta ya está conectada.
LOGIN_FAILURE_BE_SAME_KEY	Problema de registro.
LOGIN_FAILURE_BLOCK_ID	Tu cuenta está baneada.
LOGIN_FAILURE_BLOCK_LOGIN	¡Por favor, elige uno de los otros servidores!
LOGIN_FAILURE_NOBILL	Tu cuenta no tiene horas de juego.
LOGIN_FAILURE_NOT_AVAIL	Tu cuenta no puede ser usada.
LOGIN_FAILURE_NOT_EXIST_ID	Nombre de cuenta o contraseña incorrectos.
LOGIN_FAILURE_REPAIR_ID	Han sido restablecidos objetos para esta cuenta.
LOGIN_FAILURE_SAMELOGIN	Alguien se ha conectado con tu cuenta.
LOGIN_FAILURE_SHUTDOWN	Este servidor aún no está abierto.
LOGIN_FAILURE_TOO_MANY_USER	No puedes conectar porque hay demasiados jugadores conectados.
LOGIN_FAILURE_UNKNOWN	No te puedes registrar por razones desconocidas.
LOGIN_FAILURE_WEB_BLOCK	Has sido bloqueado del sitio web. Por favor comprueba tus EMails.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER	Has introducido un número incorrecto.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER_TRIPLE	Has introducido un número incorrecto tres veces. /n Tu conexión será deshabilitada.
LOGIN_FAILURE_WRONG_PASSWORD	Nombre de cuenta o contraseña incorrectos
LOGIN_INPUT_ID	Introduce el ID.
LOGIN_INPUT_PASSWORD	Introduce la contraseña.
LOGIN_PROCESSING	Registro en curso...
MALL_CANNOT_INSERT	No puedes poner el objeto.
MALL_PASSWORD_TITLE	Contraseña
MAP_A1	Área Yongan
MAP_A2	Valle de Seungryong
MAP_A2_1	
MAP_A3	Área Yayang
MAP_AG	Jungrang
MAP_B1	Área Joan
MAP_B2	Valle de Imji
MAP_B3	Área Bokjung
MAP_BAY	Bahía de Nephrit
MAP_BAYBLACKSAND	Bahía de Nephrit
MAP_BG	Waryong
MAP_C1	Área Pyungmoo
MAP_C2	Valle de Bangsan
MAP_C3	Área Bakra
MAP_CAPE	Cabo del Dragón de Fuego
MAP_CAPEDRAGONHEAD	Cabo del Dragón de Fuego
MAP_CG	Imha
MAP_DAWN	Acantilado de Gautama
MAP_DAWNMISTWOOD	Acantilado de Gautama
MAP_DESERT	Desierto Yongbi
MAP_DEVILCATACOMB	Catacumba del Diablo
MAP_DEVILTOWER1	Torre Demoníaca
MAP_DUEL	Arena para combates de entrenamiento
MAP_E	Colonia
MAP_EMPIREWAR01	Batalla por el castillo
MAP_EMPIREWAR02	Batalla por el castillo
MAP_EMPIREWAR03	Batalla por el castillo
MAP_FLAME	Doyyumhwan
MAP_GUILD_01	Jungrang
MAP_GUILD_02	Waryong
MAP_GUILD_03	Imha
MAP_HOLYPLACE_DESERT	Batalla de Reinos - Tierra del desierto
MAP_HOLYPLACE_FLAME	Batalla de Reinos - Tierra de Fuego
MAP_HOLYPLACE_ICE	Batalla de Reinos - Tierra de hielo
MAP_MILGYO	Templo Hwang
MAP_MILGYO_A	
MAP_MONKEY_DUNGEON	Hasun Dong
MAP_MONKEY_DUNGEON2	Jungsun Dong
MAP_MONKEY_DUNGEON3	Sangsun Dong
MAP_MONKEY_DUNGEON_11	Hasun Dong
MAP_MONKEY_DUNGEON_12	Hasun Dong
MAP_MONKEY_DUNGEON_13	Hasun Dong
MAP_MT_THUNDER	Montañas Trueno
MAP_NUSLUCK	Tierra de Gigantes
MAP_NUSLUCK01	Tierra de Gigantes
MAP_N_DESERT_01	Desierto Yongbi
MAP_N_DESERT_02	
MAP_N_FLAME_01	Tierra de Fuego
MAP_N_FLAME_02	
MAP_N_FLAME_DUNGEON_01	Fortaleza del Dragón Rojo
MAP_N_SNOWM_01	Monte Sohan
MAP_N_SNOWM_02	
MAP_N_SNOW_DUNGEON_01	Torre de vigilancia de Nemere
MAP_N_THREEWAY	Valle de Seungryong
MAP_OXEVENT	Competición OX
MAP_PATHWAY_DESERT_01	Batalla de Reinos - Tierra del desierto
MAP_PATHWAY_DESERT_02	Batalla de Reinos - Tierra del desierto
MAP_PATHWAY_DESERT_03	Batalla de Reinos - Tierra del desierto
MAP_PATHWAY_FLAME_01	Batalla de Reinos - Tierra de Fuego
MAP_PATHWAY_FLAME_02	Batalla de Reinos - Tierra de Fuego
MAP_PATHWAY_FLAME_03	Batalla de Reinos - Tierra de Fuego
MAP_PATHWAY_ICE_01	Batalla de Reinos - Tierra de hielo
MAP_PATHWAY_ICE_02	Parque
MAP_PATHWAY_ICE_03	Batalla de Reinos - Tierra de hielo
MAP_SKELTOWER	Torre Gumsan
MAP_SKIPIA_DUNGEON_01	La Gruta del Exilio
MAP_SKIPIA_DUNGEON_011	
MAP_SKIPIA_DUNGEON_012	
MAP_SKIPIA_DUNGEON_013	
MAP_SKIPIA_DUNGEON_02	La Gruta del Exilio 2
MAP_SKIPIA_DUNGEON_021	
MAP_SKIPIA_DUNGEON_022	
MAP_SKIPIA_DUNGEON_023	
MAP_SKIPIA_DUNGEON_BOSS	Templo del Dragón
MAP_SKIPIA_DUNGEON_BOSS_1	Mazmorra de Arañas 1
MAP_SKIPIA_DUNGEON_BOSS_2	Mazmorra de Arañas 2
MAP_SKIPIA_DUNGEON_BOSS_3	Mazmorra de Arañas 3
MAP_SNOW	Monte Sohan
MAP_SPIDER	Kuahlo Dong
MAP_SPIDERDUNGEON	Mazmorra de Arañas 1
MAP_SPIDERDUNGEON_02	Mazmorra de Arañas 2
MAP_SPIDERDUNGEON_02_1	Mazmorra de Arañas 2
MAP_SPIDERDUNGEON_03	Mazmorra de Arañas 3
MAP_SUNGZI	Batalla de Reinos
MAP_SUNGZI_DESERT_01	Batalla de Reinos - Tierra del desierto
MAP_SUNGZI_DESERT_HILL_01	Batalla de Reinos - Tierra del desierto
MAP_SUNGZI_DESERT_HILL_02	Batalla de Reinos - Tierra del desierto
MAP_SUNGZI_DESERT_HILL_03	Batalla de Reinos - Tierra del desierto
MAP_SUNGZI_FLAME_HILL_01	Batalla de Reinos - Tierra de Fuego
MAP_SUNGZI_FLAME_HILL_02	Batalla de Reinos - Tierra de Fuego
MAP_SUNGZI_FLAME_HILL_03	Batalla de Reinos - Tierra de Fuego
MAP_SUNGZI_SNOW	Batalla de Reinos - Tierra de hielo
MAP_SUNGZI_SNOW_PASS01	Batalla de Reinos - Tierra de hielo
MAP_SUNGZI_SNOW_PASS02	Batalla de Reinos - Tierra de hielo
MAP_SUNGZI_SNOW_PASS03	Batalla de Reinos - Tierra de hielo
MAP_T1	Terrenos de la Guerra de gremios
MAP_T2	Terrenos de la Guerra de gremios
MAP_T3	Terrenos de la Guerra de gremios
MAP_T4	Terrenos de la Guerra de gremios
MAP_TEMPLE	Templo Hwang
MAP_THUNDER	Montañas Trueno
MAP_TREE	Lungsam
MAP_TRENT	Bosque Fantasma
MAP_TRENT02	Bosque Rojo
MAP_TRENT02_A	Bosque Rojo
MAP_TRENT_A	
MAP_WEDDING_01	Mapa de bodas
MAP_WL	Campo Serpiente
MAP_WL_01	Campo Serpiente
MESSENGER_ADD_FRIEND	Añadir Amigo
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_1	%s te añadió como amigo.
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_2	¿Aceptar?
MESSENGER_DO_YOU_DELETE	¿Borrar?
MESSENGER_DO_YOU_DELETE_PHONE_NUMBER	¿Deseas borrar el número de teléfono movil?
MESSENGER_DO_YOU_MOVE	¿Deseas continuar?
MESSENGER_EMPTY_LIST	Vacío
MESSENGER_FAMILY	Familia
MESSENGER_FRIEND	Amigos
MESSENGER_GUILD	Gremio
MESSENGER_INPUT_MOBILE_AUTHORITY_DESCRIPTION	Introducir el código de confirmación que fue enviado a tu teléfono móvil.
MESSENGER_INPUT_MOBILE_AUTHORITY_TITLE	Intruducir número de confirmación
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_1	Introducir el número de teléfono móvil para el envío del mensaje de texto.
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_2	¿Deseas introducir el número ahora?
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_TITLE	Introducir número de móvil.
MESSENGER_SEND_MOBILE_MESSAGE_TITLE	Enviar mensaje.
METIN_TEST	
MINIMAP	Abrir mini mapa
MINIMAP_CANNOT_SEE	El mini mapa no puede ser visto.
MINIMAP_CAN_NOT_SHOW_AREAMAP	El mapa grande no puede ser mostrado.
MINIMAP_DEC_SCALE	Reducir
MINIMAP_INC_SCALE	Ampliar
MINIMAP_OBSERVER_COUNT	%d observadores
MINIMAP_SHOW_AREAMAP	Abrir mapa grande
MINUTE	Minutos
MONETARY_UNIT0	Yang
MONETARY_UNIT1	Diez Mil
MONETARY_UNIT2	Cien billones
MONEY_INPUT_DIALOG_SELLPRICE	Precio de venta:
MOVE_ITEM_FAILURE_PRIVATE_SHOP	No puedes mover ningún objeto mientras tengas abierta una tienda privada.
MUSIC_EMPTY_MUSIC_LIST	Sin música de fondo.
MUSIC_METIN2_DEFAULT_THEMA	Metin2 música estándar
MUSIC_NOT_SELECT_MUSIC	No elegido archivo de música.
NEEFD_REST	Primero debes descansar.
NOT_YET_SUPPORT	Aún no soportado
OPTION_PVPMODE_CANNOT_SET_GUILD_MODE	No puedes activar el Modo Gremio cuando no perteneces a ningún gremio.
OPTION_PVPMODE_NOT_SUPPORT	No puedes elegir esta configuración en modo PvP.
OPTION_PVPMODE_PROTECT	Tienes que tener al menos el nivel %d para poder cambiar el modo PvP.
PARTY_ANSWER_TIMEOVER	Se ha rechazado la invitación.
PARTY_BONUS_ATTACKER	Valor de ataque: +%d	SA
PARTY_BONUS_BERSERKER	Velocidad de ataque: +%d	SA
PARTY_BONUS_BUFFER	Duración de Habilidad: +%d	SA
PARTY_BONUS_DEFENDER	Defensa: +%d	SA
PARTY_BONUS_EXP	Bono EXP: %d%%	SA
PARTY_BONUS_SKILL_MASTER	Max. SP: +%d	SA
PARTY_BONUS_TANKER	Max. HP: +%d	SA
PARTY_BREAK_UP	Borrar Grupo
PARTY_DO_YOU_ACCEPT	 quiere unirse al Grupo.
PARTY_DO_YOU_JOIN	  te ha invitado a unirte a su grupo. ¿Aceptas la invitación?
PARTY_EXP_DISTRIBUTION_MODE	Distribución de EXP
PARTY_EXP_DISTRIBUTION_MODE_LEVEL	Según el nivel
PARTY_EXP_DISTRIBUTION_MODE_LEVEL_TOOLTIP	Los miembros del grupo con un nivel más alto reciben más EXP.
PARTY_EXP_DISTRIBUTION_MODE_PARITY	Uniforme
PARTY_EXP_DISTRIBUTION_MODE_PARITY_TOOLTIP	Todos los miembros del grupo reciben la misma EXP.
PARTY_HEAL_ALL_MEMBER	Restaurar todo.
PARTY_INCREASE_AREA_150	Alcance del grupo aumentado por el factor 1.5.	SNA
PARTY_INCREASE_AREA_200	Rango del grupo aumentado por el factor 2.	SNA
PARTY_LEAVE	Salir del grupo
PARTY_LONGTIME_BONUS_EXP	Bono EXP por un largo juego en grupo: +%d%%	SA
