AFF_LOVE_POINT	Πόντοι αγάπης: %d%%
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	Δε μπορώ να χρησιμοποιήσω αυτή την Ικανότητα με αυτό το όπλο.
CANNOT_SKILL_NOT_YET_LEARN	Δεν έχω μάθει αυτή την Ικανότητα.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	Αυτό επηρεάζει μόνο μέλη της ομάδας.
CANNOT_SKILL_ONLY_FOR_CORPSE	Αυτό επηρεάζει μόνο νεκρούς ανθρώπους.
CANNOT_SKILL_RED	Όταν είναι ενεργοποιημένη η Ψυχή Λουλακόλυκου, δεν μπορείς να χρησιμοποιήσεις την Ψυχή Πορφυρόλυκου.
CANNOT_SKILL_REMOVE_FISHING_ROD	Δε μπορώ να χρησιμοποιήσω αυτή την Ικανότητα με Καλάμι.
CANNOT_SKILL_SELF_IN_SAFE	Δε μπορώ να επιτεθώ από εδώ.
CANNOT_SKILL_USE_SELF	Δε μπορώ να το χρησιμοποιήσω στον εαυτό μου.
CANNOT_SKILL_WAIT_COOLTIME	Δε μπορώ να χρησιμοποιήσω αυτή την Ικανότητα ακόμη.
CANNOT_USE	Δεν μπορείς να το χρησιμοποιήσεις.
CANNOT_WHISPER_DEST_REFUSE	Ο %s έχει απενεργοποιήσει τους ψιθύρους.	SA
CANNOT_WHISPER_NOT_LOGON	Ο %s δεν είναι συνδεδεμένος.	SA
CANNOT_WHISPER_SELF_REFUSE	Δε μπορείς να ψιθυρίσεις αν έχεις απενεργοποιήσει τους ψιθύρους.	SNA
CHANNEL	Κανάλι
CHANNELING_CANNOT_LOGOUT	Δε μπορείς να επιστρέψεις στη σελίδα σύνδεσης.
CHANNEL_EMPTY_SERVER	Κενός server
CHANNEL_NORMAL	Κανάλι %d
CHANNEL_NOTIFY_FULL	Το κανάλι είναι γεμάτο! Παρακαλώ διαλέξτε άλλο κανάλι.
CHANNEL_NOT_FIND_INFO	Δεν βρέθηκαν πληροφορίες για το κανάλι.
CHANNEL_PVP	Ελεύθερη μονομαχία
CHANNEL_SELECT_CHANNEL	Διάλεξε κανάλι
CHANNEL_SELECT_REGION	Διάλεξε περιοχή
CHANNEL_SELECT_SERVER	Διάλεξε server
CHANNEL_TEST_SERVER	Test server
CHANNEL_TEST_SERVER_ADDR	Test %s:%d
CHARACTER_CREATE_MODE	Δημιουργία χαρακτήρα
CHARACTER_SELECT_MODE	Επιλογή χαρακτήρα
CHAT_ALL	Όλα
CHAT_BLOCK	Απενεργοποίηση
CHAT_GUILD	Συντεχνία
CHAT_INFORMATION	Πληροφορίες
CHAT_INSULT_STRING	Η πρόταση περιέχει μη επιτρεπτές λέξεις.
CHAT_LOG	Εμφάνιση παλιών μηνυμάτων [L]
CHAT_LOG_TITLE	Εμφάνιση πρωτοκόλλου
CHAT_NORMAL	Κανονικό
CHAT_NOTICE	Αναγγελία
CHAT_PARTY	Ομάδα
CHAT_SEND_CHAT	Αποστολή chat
CHAT_SEND_MEMO	Αποστολή ψίθυρου [Shift+Enter]
CHAT_SHOUT	Κλήση
CHAT_SHOUT_LIMIT	Μπορείς να καλέσεις κάθε 15 δευτερόλεπτα.
CHAT_WHISPER	Ψίθυρος
COMB_ALREADY_APPEND	
COMB_CANT_APPEND_ITEM	Αυτό το αντικείμενο δεν μπορεί να χρησιμοποιηθεί.
COMB_CANT_APPEND_SEALED_ITEM	Δεν μπορείς να χρησιμοποιήσεις ένα ψυχικά δεμένο αντικείμενο.
COMB_COST	Τιμή: %s
COMB_IS_CONTINUE_PROCESS	Θέλεις να συνεχίσεις;
COMB_NOTICE	Δεν μπορείς να ανοίξεις ιδιωτικό κατάστημα όσο προσπαθείς να ανταλλάξεις βιβλία.
COMB_NOTICE_NOT_OPEN	Δεν μπορείς να ανταλλάξεις βιβλία όσο έχεις ανοιχτό ιδιωτικό κατάστημα.
COMB_NOT_ALL_SLOT_APPEND_ITEM	Θα χρειαστείς μια δεύτερη φορεσιά, ώστε να μεταφέρεις μπόνους.
COMB_NOT_FULL_BOOK	Όχι, έτσι δεν θα συμφωνήσουμε. Όπως σου έχω ξαναπεί, θα ανταλλάξω μόνο αν μου δώσεις 10 βιβλία.
COMB_NOT_ITEM_IN_INVENTORY	Δεν μπορείς να χρησιμοποιήσεις αντικείμενα που φοράς.
COMB_NOT_MEDIUM_ITEM	Αυτό το αντικείμενο δεν μπορεί να χρησιμοποιηθεί.
COMB_WILL_REMOVE_MATERIAL	Η φορεσιά 2 θα καταστραφεί.
CREATE_ERROR_GM_NAME	Δεν επιτρέπεται η χρήση του όρου «GM» στο όνομα χαρακτήρα.
CREATE_ERROR_INSULT_NAME	Μη επιτρεπτό όνομα.
CREATE_ERROR_LIMIT_LEVEL	Ο χαρακτήρας σου πρέπει να είναι τουλάχιστον επίπεδο 80.
CREATE_ERROR_TIME_LIMIT	Μπορείς να δημιουργείς μόνο έναν χαρακτήρα κάθε 30 δευτερόλεπτα.
CREATE_ERROR_WRONG_STRING	Το όνομα χαρακτήρα σου δεν μπορεί να περιλαμβάνει ειδικούς χαρακτήρες.
CREATE_EXIST_SAME_NAME	Το όνομα είναι ήδη σε χρήση από άλλον παίκτη.
CREATE_FAILURE	Δε μπορείς να δημιουργήσεις το χαρακτήρα.
CREATE_FULL	Δεν μπορείς να δημιουργήσεις άλλον χαρακτήρα.
CREATE_GM_NAME	GM
CREATE_INPUT_NAME	Εισαγωγή ονόματος.
CREATE_PLUS_STAT	Έχεις κι άλλους βαθμούς κατάστασης.
DAY	Μέρες
DONT_USE_ITEM_WHEN_SHOW_CONFIRM	Δεν μπορείς να μετακινείς αντικείμενα κατά τη διάρκεια ενός αιτήματος.
DO_YOU_BUY_ITEM1	Θέλεις να αγοράσεις το %s για %s?
DO_YOU_BUY_ITEM2	Θέλεις να αγοράσεις το %s %s για %s?
DO_YOU_DROP_MONEY	Θέλεις να πετάξεις %d Yang?
DO_YOU_SELL_ITEM1	Θέλεις να πουλήσεις το %s για %s?
DO_YOU_SELL_ITEM2	Θέλεις να πουλήσεις %s %s για %s;
DRAGON_SOUL_CANNOT_REFINE	Δεν μπορείς να εξευγενίσεις αυτόν τον Δρακόλιθο.
DRAGON_SOUL_CANNOT_REFINE_MORE	Αυτός ο Δρακόλιθος βρίσκεται ήδη στο ανώτατο επίπεδο.
DRAGON_SOUL_EQUIP_WARNING1	Είναι δύσκολο να απομακρύνεις έναν Δρακόλιθο.
DRAGON_SOUL_EQUIP_WARNING2	Θέλεις να συνεχίσεις παρόλα αυτά;
DRAGON_SOUL_EXPIRED	Ληγμένος Δρακόλιθος
DRAGON_SOUL_INVALID_DRAGON_SOUL	Αυτός είναι ο λάθος Δρακόλιθος.
DRAGON_SOUL_IS_NOT_DRAGON_SOUL	Αυτός δεν είναι ένας Δρακόλιθος.
DRAGON_SOUL_NOT_DRAGON_SOUL_REFINE_STONE	Αυτός είναι ο λάθος Δρακόλιθος.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL	Δεν έχεις αρκετό υλικό για εξευγενισμό.
DRAGON_SOUL_NOT_MATCHED_SLOT	Ο Δρακόλιθος δεν ταιριάζει σε αυτήν τη θέση.
DRAGON_SOUL_STEP_LEVEL1	Καθαρότητα: ματ,
DRAGON_SOUL_STEP_LEVEL2	Καθαρότητα: διαφανές,
DRAGON_SOUL_STEP_LEVEL3	Καθαρότητα: ολοκάθαρο,
DRAGON_SOUL_STEP_LEVEL4	Καθαρότητα: εξαιρετικό,
DRAGON_SOUL_STEP_LEVEL5	Καθαρότητα: τέλειο,
DRAGON_SOUL_STRENGTH	Επίπεδο: +%d	SA
DRAGON_SOUL_UNEQUIP_WARNING1	Ο Δρακόλιθος μπορεί να καταστραφεί σε αυτήν την διαδικασία.
DRAGON_SOUL_UNEQUIP_WARNING2	Θέλεις να συνεχίσεις;
DRAGON_SOUL_UNMATCHED_SLOT	Αυτή είναι η λάθος θέση.
DRAGON_SOUL_UNQUALIFIED	Δεν μπορείς ακόμη να χρησιμοποιήσεις την Αλχημεία Δρακόλιθων.
DROP_ITEM_FAILURE_EQUIP_ITEM	Δεν μπορείς να πετάξεις αντικείμενα που φοράς.
DROP_ITEM_FAILURE_PRIVATE_SHOP	Δε μπορείς να πετάξεις Αντικείμενο όσο έχεις ανοιχτό Ιδιωτικό Κατάστημα.
DROP_MONEY_FAILURE_1000_OVER	Μπορείς να πετάξεις μέχρι 999 Yang.
EMOTION_ANGRY	Επιδείνωση
EMOTION_ATTRACTIVE	Αποπλάνηση
EMOTION_BANTER	Ειρωνία
EMOTION_CHEERS_1	Αγαλλίαση 1
EMOTION_CHEERS_2	Αγαλλίαση 2
EMOTION_CHEERUP	Ευθυμία
EMOTION_CHOOSE_ONE	Διάλεξε στόχο
EMOTION_CLAP	Claps
EMOTION_CLAP_KISS	Φιλί
EMOTION_CONGRATULATION	Αποδοχή
EMOTION_DANCE_1	Χορός 1
EMOTION_DANCE_2	Χορός 2
EMOTION_DANCE_3	Χορός 3
EMOTION_DANCE_4	Χορός 4
EMOTION_DANCE_5	Χορός 5
EMOTION_DANCE_6	Gumsan Style
EMOTION_FORGIVE	Συγχώρεση
EMOTION_FRENCH_KISS	Γαλλικό Φιλί
EMOTION_JOY	Χαρά
EMOTION_SAD	Θλίψη
EMOTION_SHY	Απόρριψη
EMOTION_SLAP	Χτήπημα
EMPIRE_A	Βασίλειο του Shinsoo
EMPIRE_B	Βασίλειο του Chunjo
EMPIRE_C	Βασίλειο του Jinno
EMPIRE_SELECT_MODE	Επιλογή βασιλείου
EXCHANGE_CANNOT_GIVE	Δεν μπορείς να κάνεις εμπόριο με αυτό το αντικείμενο.
EXCHANGE_CANT_EDIT_MONEY	Δε μπορείς να αλλάξεις το σύνολο τώρα.
EXCHANGE_FAILURE_EQUIP_ITEM	Δε μπορείς να ανταλλάξεις εξοπλισμένα Αντικείμενα.
EXCHANGE_MONEY	Σύνολο
EXCHANGE_TITLE	Ανταλλαγή %s
FISHING_FAILURE	Έχασες το Δόλωμα.
FISHING_NOTIFY1	Φαίνεται ότι πιάστηκε στο αγκίστρι %s.
FISHING_NOTIFY2	Φαίνεται ότι πιάστηκε ένα %s.
FISHING_SUCCESS1	Έπιασες %s!
FISHING_SUCCESS2	Ψάρεψες %s!
FISHING_UNKNOWN	Κάτι τσίμπησε, αλλά δε μπορείς να δεις τι είναι.
FISHING_WRONG_PLACE	Δε μπορείς να ψαρέψεις εδώ.
FOR_FEMALE	Για γυναικες
FOR_MALE	Για αντρες
GAME_CANNOT_MINING	Δε μπορείς να εξορύξεις Μετάλλευμα ενώ ιππεύεις.
GAME_CANNOT_PICK_ITEM	Δε μπορείς να συλλέξεις το Αντικείμενο αφού δεν το κέρδισες.
GAME_INIT_ERROR_CURSOR	Ο κέρσορας δεν μπορεί να εδραιωθεί.
GAME_INIT_ERROR_DIRECTX	Για να τρέξει το παιχνίδι πρέπει να είναι εγκατεστημένο το DirectX 8.1. \nΕγκαταστήστε το DirectX 8.1 ή μεταγενέστερο.
GAME_INIT_ERROR_GRAPHICS_BAD_PERFORMANCE	Δε βρέθηκε κάρτα γραφικών. \nΈλεγξε αν η VGA κάρτα σου είναι εγκαταστημένη σωστά.
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	Δε βρέθηκε κάρτα γραφικών. \nΈλεγξε αν έχεις κάρτα VGA.\nΕναλλακτικά, μπορείς να ενεργοποιήσεις το hardware accelerator.\n(Θέσε το hardware accelerator στο max \nControl Panel->Display->Settings->Advanced->Troubleshoot tab)
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	Η κάρτα γραφικών του υπολογιστή δεν υποστηρίζει λειτουργία παραθύρου στα 32bit. \n’λλαξε το στα 16bit ή χρησιμοποίησε την λειτουργία πλήρους οθόνης.
GAME_INIT_ERROR_ITEM_PROTO	Δεν υπάρχουν Δεδομένα Αντικειμένων.\nΕπανεγκατάστησε το παιχνίδι.
GAME_INIT_ERROR_MAIN_WINDOW	Το κυρίως παράθυρο δεν μπορεί να εμφανιστεί.
GAME_INIT_ERROR_MOB_PROTO	Δεν υπάρχουν Δεδομένα Τεράτων.\nΕπανεγκατάστησε το παιχνίδι.
GAME_INIT_ERROR_NETWORK	Δε βρέθηκε σύνδεση.\nΈλεγξε τη σύνδεσή σου.
GAME_PICK_MONEY	Έλαβες %d Yang.
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	Το ύψος δεν είναι 128 Pixel
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	Το ύψος δεν είναι 12 Pixel
GUILDMARK_UPLOADER_ERROR_16_WIDTH	Το πλάτος δεν είναι 16 Pixel
GUILDMARK_UPLOADER_ERROR_64_WIDTH	Το πλάτος δεν είναι 64 Pixel
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	Το παιχνίδι δεν υποστηρίζει αυτή τη φωτογραφία.
GUILDMARK_UPLOADER_ERROR_PATH	Μετακίνησε τα δεδομένα στο φάκελο metin2/upload.
GUILDMARK_UPLOADER_ERROR_SELECT	Δεν επιλέχθηκε φωτογραφία.
GUILDWAR_CTF_TITLE	Αιχμαλώτιση σημαίας.
GUILDWAR_NORMAL_TITLE	Πεδίο Μάχης
GUILDWAR_QUESTION_LINE_1	Η συντεχνία %s κήρυξε πόλεμο στην συντεχνία σου.
GUILDWAR_QUESTION_LINE_2	Δέχεσαι; (%s)
GUILDWAR_UNKNOWN_TITLE	...
GUILDWAR_WARP_TITLE	Μάχη αρένας
GUILD_BUILDING_GRADE	Βαθμός
GUILD_BUILDING_NAME	Όνομα κτιρίου
GUILD_CANNOT_HEAL_GSP_ANYMORE	Η ενέργεια του Δρακοφαντάσματος είναι ήδη πλήρης.
GUILD_COMMENT	Γράψε
GUILD_CREATE_ERROR_INSULT_NAME	Μη επιτρεπτό όνομα συντεχνίας.
GUILD_DEFAULT_GRADE	Μέλη συντεχνίας
GUILD_DELETE	Διαγραφή
GUILD_DEPOSIT	Κατάθεση
GUILD_DO_YOU_HEAL_GSP	Θέλεις να δώσεις %d Yang %d για την επαναφορά του Δρακοφαντάσματος;
GUILD_DO_YOU_JOIN	 σε προσκάλεσε στην Συντεχνία. Θα γίνεις μέλος;
GUILD_EMPTY_AREA	’δεια περιοχή
GUILD_ENEMY_GUILD_NAME	Όνομα συντεχνίας του εχθρού
GUILD_FACILITY	Υπόστεγο
GUILD_GEM	Πετράδι
GUILD_HEADQUARTER	Κύριο Κτίριο
GUILD_HEAL_GSP	Φόρτιση Δρακοφαντάσματος
GUILD_INFO_ENEMY_GUILD_EMPTY	Κενό
GUILD_MARK_NOT_ENOUGH_LEVEL	Απαιτείται ελάχιστο επίπεδο 3
GUILD_NAME	Όνομα συντεχνίας
GUILD_NOT_ENOUGH_MATERIAL	Δεν έχεις αρκετό υλικό γι' αυτό το κτίριο.
GUILD_NOT_ENOUGH_MONEY	Δεν έχεις αρκετά Yang γι' αυτό το κτίριο.
GUILD_NO_NOTICE_PERMISSION	Δεν έχεις δικαίωμα να κάνεις αναγγελίες.
GUILD_OBJECT	Αντικείμενα
GUILD_OFFER_EXP	Επένδυση εμπειρίας
GUILD_SHORT_EXP	Μη επαρκής εμπειρία.
GUILD_TILE_BASEINFO	Βασικές Πληροφορίες
GUILD_TILE_BOARD	Πίνακας
GUILD_TILE_GRADE	Διαχείριση δικαιωμάτων
GUILD_TILE_INFO	Πληροφορίες Συντεχνίας
GUILD_TILE_MEMBER	Μέλη Συντεχνίας
GUILD_TILE_SKILL	Ικανότητα Συντεχνίας
GUILD_VILLAGE_01	Miryang
GUILD_VILLAGE_02	Songpa
GUILD_VILLAGE_03	Daeyami
GUILD_WAR1	Περιοχή πολέμων συντεχνίας
GUILD_WAR2	Περιοχή πολέμων συντεχνίας
GUILD_WAR3	Περιοχή πολέμων συντεχνίας
GUILD_WAR4	Περιοχή πολέμων συντεχνίας
GUILD_WAR_LIMIT_30MIN	Χρόνος: 30 Λεπτά
GUILD_WAR_REWARD_POTION	Ανταμοιβή: Ο νικητής κερδίζει ένα Φίλτρο
GUILD_WAR_USE_BATTLE_MAP	Τόπος: Αρένα πολέμων συντεχνιών
GUILD_WAR_USE_NORMAL_MAP	Τόπος: Κανονικός χάρτης
GUILD_WAR_WIN_CHECK_SCORE	Το υψηλότερο αποτέλεσμα κερδίζει τον πόλεμο.
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	’ρπαξε την σημαία του εχθρού
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	και πήγαινέ την στην βάση σου.
GUILD_WAR_WIN_WIPE_OUT_GUILD	Νίκησε όλους τους εχθρούς για να κερδίσεις.
GUILD_WITHDRAW	Fallback(Υποχώρηση;)
GUILD_YOU_DO_NOT_JOIN	Δεν είσαι μέλος Συντεχνίας.
HORSE_HEALTH0	Νεκρό
HORSE_HEALTH1	Πολύ πεινασμένο
HORSE_HEALTH2	Πεινασμένο
HORSE_HEALTH3	Χορτάτο
HORSE_LEVEL1	Κανονικό άλογο
HORSE_LEVEL2	’λογο μάχης
HORSE_LEVEL3	Στρατιωτικό άλογο
HOUR	Ώρες
HOW_MANY_ITEM_DO_YOU_DROP1	Θέλεις να πετάξεις %s?
HOW_MANY_ITEM_DO_YOU_DROP2	Θέλεις να πετάξεις %s %d?
INPUT_MATRIX_CARD_NUMBER	Εισήγαγε Matrix Cardnumber.
INPUT_MATRIX_CARD_TITLE	Matrix Card
INPUT_PRIVATE_CODE_DIALOG_DESCRIPTION	Είσαγε τον κώδικα που δημιούργησες στη Διοίκηση Λογαριασμού, εδώ.
INPUT_PRIVATE_CODE_DIALOG_TITLE	Διαγραφή χαρακτήρα
INVENTORY_DO_NOT_PACK_WARP_SCROLL	Ο Πάπυρος Επιστροφής δε μπορεί να συνδυαστεί.
INVENTORY_REALLY_USE_ITEM	Θέλεις να χρησιμοποιήσεις αυτό το Αντικείμενο επάνω στο άλλο;
JOB_ASSASSIN	Ninja
JOB_ASSASSIN0	Ερασιτέχνης Ninja
JOB_ASSASSIN1	Δύναμη των Ninjas
JOB_ASSASSIN2	Απέθαντος
JOB_SHAMAN	Σαμάνος
JOB_SHAMAN0	Ερασιτέχνης Σαμάνος
JOB_SHAMAN1	Ισχύς του Δράκοντα
JOB_SHAMAN2	Δύναμη της Αστραπής
JOB_SURA	Sura
JOB_SURA0	Ερασιτέχνης Sura
JOB_SURA1	Δύναμη της Fata Morgana
JOB_SURA2	Δύναμη της Μαύρης Μαγείας
JOB_WARRIOR	Πολεμιστής
JOB_WARRIOR0	Ερασιτέχνης Πολεμιστής
JOB_WARRIOR1	Ισχύς του Arahan
JOB_WARRIOR2	Δύναμη των Βετεράνων
LEFT_TIME	Χρόνος που Απομένει
LOGIN_CONNECT_FAILURE	Σφάλμα κατά τη σύνδεση.
LOGIN_CONNECT_SUCCESS	Συνδέθηκες με τον σέρβερ.
LOGIN_CONNETING	Σύνδεση με σέρβερ...
LOGIN_FAILURE_ALREAY	Ο λογαριασμός είναι ήδη συνδεδεμένος.
LOGIN_FAILURE_BE_SAME_KEY	Πρόβλημα εγγραφής.
LOGIN_FAILURE_BLOCK_ID	Ο λογαριασμός σου είναι τιμωρημένος.
LOGIN_FAILURE_BLOCK_LOGIN	Παρακαλώ διαλέξτε έναν άλλο σέρβερ.
LOGIN_FAILURE_NOBILL	Ο λογαριασμός σου δεν είχε χρόνο παιχνιδιού.
LOGIN_FAILURE_NOT_AVAIL	Ο λογαριασμός σου δε μπορεί να χρησιμοποιηθεί.
LOGIN_FAILURE_NOT_EXIST_ID	Λάθος λογαριασμός ή κωδικός.
LOGIN_FAILURE_REPAIR_ID	Αποκαταστάθηκαν αντικείμενα για αυτόν το λογαριασμό.
LOGIN_FAILURE_SAMELOGIN	Κάποιος συνδέθηκε με τον λογαριασμό σου.
LOGIN_FAILURE_SHUTDOWN	Ο server δεν έχει ανοίξει ακόμη.
LOGIN_FAILURE_TOO_MANY_USER	Δε μπορείς να συνδεθείς γιατί είναι πάρα πολλοί παίκτες συνδεδεμένοι.
LOGIN_FAILURE_UNKNOWN	Δε μπόρεσες να εγγραφείς για άγνωστη αιτία.
LOGIN_FAILURE_WEB_BLOCK	Έχετε αποκελιστεί από την Ιστοσελίδα. Παρακαλώ δείτε τα E-mail σας
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER	Εισήγαγες λάθος αριθμό.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER_TRIPLE	Εισήγαγες λάθος αριθμό τρεις φορές. /n Η σύνδεσή σου θα τεθεί εκτός λειτουργίας.
LOGIN_FAILURE_WRONG_PASSWORD	Λάθος λογαριασμός ή κωδικός.
LOGIN_INPUT_ID	Εισήγαγε την ID.
LOGIN_INPUT_PASSWORD	Εισήγαγε το συνθηματικό.
LOGIN_PROCESSING	Γίνεται εγγραφή...
MALL_CANNOT_INSERT	Δε μπορείς να τοποθετήσεις το Αντικείμενο.
MALL_PASSWORD_TITLE	Συνθηματικό
MAP_A1	Περιοχή Yongan
MAP_A2	Κοιλάδα του Seungryong
MAP_A2_1	
MAP_A3	Περιοχή Yayang
MAP_AG	Jungrang
MAP_B1	Περιοχή Joan
MAP_B2	Κοιλάδα του Imji
MAP_B3	Περιοχή Bokjung
MAP_BAY	Κόλπος Νεφρίτη
MAP_BAYBLACKSAND	Κόλπος Νεφρίτη
MAP_BG	Waryong
MAP_C1	Περιοχή Pyungmoo
MAP_C2	Κοιλάδα του Bangsan
MAP_C3	Περιοχή Bakra
MAP_CAPE	Ακρωτήρι της Δρακοφωτιάς
MAP_CAPEDRAGONHEAD	Ακρωτήρι της Δρακοφωτιάς
MAP_CG	Imha
MAP_DAWN	Βράχος Γκαουτάμα
MAP_DAWNMISTWOOD	Βράχος Γκαουτάμα
MAP_DESERT	Έρημος Yongbi
MAP_DEVILCATACOMB	Κατακόμβη του Διαβόλου
MAP_DEVILTOWER1	Δαιμονικός Πύργος
MAP_DUEL	Αρένα για αγώνες κατάρτισης
MAP_E	Αποικία
MAP_EMPIREWAR01	Μάχη κάστρων
MAP_EMPIREWAR02	Μάχη κάστρων
MAP_EMPIREWAR03	Μάχη κάστρων
MAP_FLAME	Doyyumhwan
MAP_GUILD_01	Jungrang
MAP_GUILD_02	Waryong
MAP_GUILD_03	Imha
MAP_HOLYPLACE_DESERT	Μάχη των Βασιλείων - Έρημος
MAP_HOLYPLACE_FLAME	Μάχη των Βασιλείων - Γη του Πυρός
MAP_HOLYPLACE_ICE	Μάχη των Βασιλείων - Γη των Πάγων
MAP_MILGYO	Ναός Hwang
MAP_MILGYO_A	
MAP_MONKEY_DUNGEON	Hasun Dong
MAP_MONKEY_DUNGEON2	Junsun Dong
MAP_MONKEY_DUNGEON3	Sangsun Dong
MAP_MONKEY_DUNGEON_11	Hasun Dong
MAP_MONKEY_DUNGEON_12	Hasun Dong
MAP_MONKEY_DUNGEON_13	Hasun Dong
MAP_MT_THUNDER	Βουνά Κεραυνού
MAP_NUSLUCK	Χώρα Γιγάντων
MAP_NUSLUCK01	Η Χώρα των Γιγάντων
MAP_N_DESERT_01	Έρημος Yongbi
MAP_N_DESERT_02	
MAP_N_FLAME_01	Γη του Πυρός
MAP_N_FLAME_02	
MAP_N_FLAME_DUNGEON_01	Φρούριο των Κοκκινοδράκων
MAP_N_SNOWM_01	Όρος Sohan
MAP_N_SNOWM_02	
MAP_N_SNOW_DUNGEON_01	Φυλάκιο του Nemere
MAP_N_THREEWAY	Κοιλάδα του Seungryong
MAP_OXEVENT	Διαγωνισμός OX
MAP_PATHWAY_DESERT_01	Μάχη των Βασιλείων - Έρημος
MAP_PATHWAY_DESERT_02	Μάχη των Βασιλείων - Έρημος
MAP_PATHWAY_DESERT_03	Μάχη των Βασιλείων - Έρημος
MAP_PATHWAY_FLAME_01	Μάχη των Βασιλείων - Γη του Πυρός
MAP_PATHWAY_FLAME_02	Μάχη των Βασιλείων - Γη του Πυρός
MAP_PATHWAY_FLAME_03	Μάχη των Βασιλείων - Γη του Πυρός
MAP_PATHWAY_ICE_01	Μάχη των Βασιλείων - Γη των Πάγων
MAP_PATHWAY_ICE_02	Παιχνιδοχώρα
MAP_PATHWAY_ICE_03	Μάχη των Βασιλείων - Γη των Πάγων
MAP_SKELTOWER	Πύργος Gumsan
MAP_SKIPIA_DUNGEON_01	Σπηλιά της Εξορίας
MAP_SKIPIA_DUNGEON_011	
MAP_SKIPIA_DUNGEON_012	
MAP_SKIPIA_DUNGEON_013	
MAP_SKIPIA_DUNGEON_02	Σπηλιά της Εξορίας 2
MAP_SKIPIA_DUNGEON_021	
MAP_SKIPIA_DUNGEON_022	
MAP_SKIPIA_DUNGEON_023	
MAP_SKIPIA_DUNGEON_BOSS	Ναός του Δράκου
MAP_SKIPIA_DUNGEON_BOSS_1	Αραχνοσπηλιά 1
MAP_SKIPIA_DUNGEON_BOSS_2	Αραχνοσπηλιά 2
MAP_SKIPIA_DUNGEON_BOSS_3	Αραχνοσπηλιά 3
MAP_SNOW	Όρος Sohan
MAP_SPIDER	Kuahlo Dong
MAP_SPIDERDUNGEON	Αραχνοσπηλιά 1
MAP_SPIDERDUNGEON_02	Αραχνοσπηλιά 2
MAP_SPIDERDUNGEON_02_1	Αραχνοσπηλιά 2
MAP_SPIDERDUNGEON_03	Αραχνοσπηλιά 3
MAP_SUNGZI	Μάχη των Βασιλείων
MAP_SUNGZI_DESERT_01	Μάχη των Βασιλείων - Έρημος
MAP_SUNGZI_DESERT_HILL_01	Μάχη των Βασιλείων - Έρημος
