AFF_LOVE_POINT	Liefdespunten: %d%%	
CREATE_FAILURE	Je kunt niet nog een karakter aanmaken.	
CREATE_FULL	Je kunt niet meer karakters aanmaken.
CREATE_GM_NAME	GM	
CREATE_INPUT_NAME	Voer de naam in.	
CREATE_PLUS_STAT	Er zijn nog status punten over.	
DAY	Dagen	
DONT_USE_ITEM_WHEN_SHOW_CONFIRM	Wanneer een aanvraag loopt kun je geen items verplaatsen.
DO_YOU_BUY_ITEM1	Wil je %s voor %s kopen?	
DO_YOU_BUY_ITEM2	Wil je %s %s voor %s kopen?	
DO_YOU_DROP_MONEY	Wil je %d Yang laten vallen?
DO_YOU_SELL_ITEM1	Wil je %s voor %s verkopen?	
DO_YOU_SELL_ITEM2	Wil je %s %s voor %s verkopen?
DRAGON_SOUL_CANNOT_REFINE	Deze Drakensteen kan niet worden verbeterd.
DRAGON_SOUL_CANNOT_REFINE_MORE	Deze Drakensteen heeft al het hoogste level.
DRAGON_SOUL_EQUIP_WARNING1	Het is moeilijk om een Drakensteen te verwijderen als deze vastgezet is.
DRAGON_SOUL_EQUIP_WARNING2	Wil je nog steeds doorgaan?
DRAGON_SOUL_EXPIRED	Verlopen Drakensteen
DRAGON_SOUL_INVALID_DRAGON_SOUL	Dat is de verkeerde Drakensteen.
DRAGON_SOUL_IS_NOT_DRAGON_SOUL	Dat is geen Drakensteen.
DRAGON_SOUL_NOT_DRAGON_SOUL_REFINE_STONE	Dat is niet de juiste Drakensteen.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL	Je hebt niet genoeg materialen om te verbeteren.
DRAGON_SOUL_NOT_MATCHED_SLOT	De Drakensteen past niet op deze plek.
DRAGON_SOUL_STEP_LEVEL1	Helderheid: Mat,
DRAGON_SOUL_STEP_LEVEL2	Helderheid: Doorzichtig,
DRAGON_SOUL_STEP_LEVEL3	Helderheid: Foutloos,
DRAGON_SOUL_STEP_LEVEL4	Helderheid: Briljant,
DRAGON_SOUL_STEP_LEVEL5	Helderheid: Perfect,
DRAGON_SOUL_STRENGTH	Level: +%d	SA
DRAGON_SOUL_UNEQUIP_WARNING1	De Drakensteen kan vernietigt worden in het proces.
DRAGON_SOUL_UNEQUIP_WARNING2	Wil je nog steeds doorgaan?
DRAGON_SOUL_UNMATCHED_SLOT	Dat is de verkeerde plek.
DRAGON_SOUL_UNQUALIFIED	Je kan nog geen Drakensteen alchemie gebruiken.
DROP_ITEM_FAILURE_EQUIP_ITEM	Je kunt items die je aan hebt niet laten vallen.
DROP_ITEM_FAILURE_PRIVATE_SHOP	Je kunt geen voorwerpen laten vallen als je privé warenhuis open is.
DROP_MONEY_FAILURE_1000_OVER	Je kunt maximaal 999 Yang laten vallen.
EMOTION_ANGRY	Ergerlijk
EMOTION_ATTRACTIVE	Verleiding	
EMOTION_BANTER	Spottend	
EMOTION_CHEERS_1	Gejuich 1	
EMOTION_CHEERS_2	Gejuich 2	
EMOTION_CHEERUP	Gejuich	
EMOTION_CHOOSE_ONE	Kies een doelwit	
EMOTION_CLAP	Klappen	
EMOTION_CLAP_KISS	Kus	
EMOTION_CONGRATULATION	Instemming	
EMOTION_DANCE_1	Dans 1	
EMOTION_DANCE_2	Dans 2	
EMOTION_DANCE_3	Dans 3	
EMOTION_DANCE_4	Dans 4	
EMOTION_DANCE_5	Dans 5	
EMOTION_DANCE_6	Gumsan Stijl
EMOTION_FORGIVE	Vergeving	
EMOTION_FRENCH_KISS	Tongzoen	
EMOTION_JOY	Vreugde	
EMOTION_SAD	Verdriet	
EMOTION_SHY	Afwijzing	
EMOTION_SLAP	Slaan	
EMPIRE_A	Shinsoo Keizerrijk	
EMPIRE_B	Chunjo Koninkrijk	
EMPIRE_C	Jinno Keizerrijk
EMPIRE_SELECT_MODE	Koninkrijk selecteren
EXCHANGE_CANNOT_GIVE	Je kunt dit Voorwerp niet verhandelen.
EXCHANGE_CANT_EDIT_MONEY	Je kunt de som nu niet veranderen.	
EXCHANGE_FAILURE_EQUIP_ITEM	Je kunt Voorwerpen die je draagt niet ruilen.
EXCHANGE_MONEY	Som	
EXCHANGE_TITLE	Handel met %s
FISHING_FAILURE	Je hebt het Aas verloren.	
FISHING_NOTIFY1	Het lijkt alsof %s beet heeft.	
FISHING_NOTIFY2	Het lijkt alsof %s gepakt is.	
FISHING_SUCCESS1	Je hebt %s gevangen!	
FISHING_SUCCESS2	Je hebt %s uit het water gevist!	
FISHING_UNKNOWN	Iets heeft het aas genomen maar je kunt niet zien wat.	
FISHING_WRONG_PLACE	Ik kan hier niet vissen.	
FOR_FEMALE	voor vrouwen	
FOR_MALE	voor mannen	
GAME_CANNOT_MINING	Je kunt geen erts mijnen terwijl je rijdt.	
GAME_CANNOT_PICK_ITEM	Je kunt dit Voorwerp niet oppakken want je hebt het niet gewonnen.	
GAME_INIT_ERROR_CURSOR	De cursor kan niet worden gebruikt.	
GAME_INIT_ERROR_DIRECTX	DirectX 8.1 moet geïnstalleerd worden zodat het spel kan draaien.\nInstalleer DirectX 8.1 or higher.	
GAME_INIT_ERROR_GRAPHICS_BAD_PERFORMANCE	Er is geen grafisch apparaat gevonden. \nControleer of je Videokaart correct geïnstalleerd is.
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	Grafisch apparaat kon niet gevonden worden. \nControleer of je een Grafische kaart hebt. \nOf, je kunt de hardware accelerator inschakelen \nStel de hardware accelerator in op max \nconfiguratiescherm -> beeldscherm -> instellingen- > geavanceerd -> probleem oplossen
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	De Grafische Kaart van de computer ondersteunt de venstermodus in 32bit Modus niet. \nVerander naar 16bit Modus of gebruik Volledige Scherm Modus.
GAME_INIT_ERROR_ITEM_PROTO	Geen Voorwerp data aanwezig. \nInstalleer het spel opnieuw.	
GAME_INIT_ERROR_MAIN_WINDOW	Hoofdvenster kan niet geladen worden.	
GAME_INIT_ERROR_MOB_PROTO	Geen Monster data aanwezig. \nInstalleer het spel opnieuw.	
GAME_INIT_ERROR_NETWORK	Netwerk apparaten konden niet geladen worden. \nControleer je internet verbinding.	
GAME_PICK_MONEY	Je hebt %d Yang ontvangen.
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	Hoogte is niet 128 Pixel	
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	Hoogte is niet 12 Pixel
GUILDMARK_UPLOADER_ERROR_16_WIDTH	Breedte is niet 16 Pixel	
GUILDMARK_UPLOADER_ERROR_64_WIDTH	Breedte is niet 64 Pixel	
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	Het spel ondersteunt deze afbeelding niet.	
GUILDMARK_UPLOADER_ERROR_PATH	Plaats de data in de folder metin2/upload	
GUILDMARK_UPLOADER_ERROR_SELECT	Geen afbeelding bestand geselecteerd.	
GUILDWAR_CTF_TITLE	Vlag veroverd.	
GUILDWAR_NORMAL_TITLE	Veld Gevecht	
GUILDWAR_QUESTION_LINE_1	De %s Gilde heeft de oorlog verklaard aan jouw Gilde.	
GUILDWAR_QUESTION_LINE_2	Accepteren?(%s)	
GUILDWAR_UNKNOWN_TITLE	...	
GUILDWAR_WARP_TITLE	Gilde theater van Oorlog
GUILD_BUILDING_GRADE	Rank	
GUILD_BUILDING_NAME	Naam van het gebouw	
GUILD_CANNOT_HEAL_GSP_ANYMORE	De Drakengeest energie is volledig hersteld
GUILD_COMMENT	Schrijf	
GUILD_CREATE_ERROR_INSULT_NAME	Gildenaam is ongeldig.	
GUILD_DEFAULT_GRADE	Gilde leden	
GUILD_DELETE	Verwijder	
GUILD_DEPOSIT	Deponeer	
GUILD_DO_YOU_HEAL_GSP	Wil je %d Yang gebruiken om %d Drakengeest te herstellen?
GUILD_DO_YOU_JOIN	 heeft je uitgenodigd. Wil je je aansluiten bij de Gilde?
GUILD_EMPTY_AREA	Leeg Land	
GUILD_ENEMY_GUILD_NAME	Gilde naam van de vijand	
GUILD_FACILITY	Bijgebouw
GUILD_GEM	Edelsteen	
GUILD_HEADQUARTER	Hoofdgebouw
GUILD_HEAL_GSP	Herstel Drakengeest
GUILD_INFO_ENEMY_GUILD_EMPTY	Geen	
GUILD_MARK_NOT_ENOUGH_LEVEL	Minstens level 3 nodig.
GUILD_NAME	Gilde Naam	
GUILD_NOT_ENOUGH_MATERIAL	Je hebt niet genoeg grondstoffen voor dit gebouw.
GUILD_NOT_ENOUGH_MONEY	Je hebt niet genoeg Yang voor dit gebouw.
GUILD_NO_NOTICE_PERMISSION	Je hebt geen rechten om aankondigingen te doen.	
GUILD_OBJECT	Voorwerpen	
GUILD_OFFER_EXP	Te investeren Ervaring
GUILD_SHORT_EXP	Niet genoeg ervaringspunten.
GUILD_TILE_BASEINFO	Basis Informatie	
GUILD_TILE_BOARD	Schoolbord	
GUILD_TILE_GRADE	Rechten Beheer	
GUILD_TILE_INFO	Gilde Informatie	
GUILD_TILE_MEMBER	Gilde Leden	
GUILD_TILE_SKILL	Gilde Vaardigheden	
GUILD_VILLAGE_01	Miryang
GUILD_VILLAGE_02	Songpa
GUILD_VILLAGE_03	Daeyami
GUILD_WAR1	Gilde Oorlog Gebied
GUILD_WAR2	Gilde Oorlog Gebied
GUILD_WAR3	Gilde Oorlog Gebied
GUILD_WAR4	Gilde Oorlog Gebied
GUILD_WAR_LIMIT_30MIN	Tijd: 30 Minuten	
GUILD_WAR_REWARD_POTION	Prijs: De winnaar ontvangt een Brouwsel	
GUILD_WAR_USE_BATTLE_MAP	Locatie: Gilde Oorlog Theater
GUILD_WAR_USE_NORMAL_MAP	Locatie: Normale Map
GUILD_WAR_WIN_CHECK_SCORE	Het hoogste resultaat wint de oorlog.	
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	Verover de vlag van de vijand
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	en breng het naar je basis.
GUILD_WAR_WIN_WIPE_OUT_GUILD	Versla alle vijanden om te winnen.	
GUILD_WITHDRAW	Terugtrekken	
GUILD_YOU_DO_NOT_JOIN	Je bent geen lid van een Gilde.	
HORSE_HEALTH0	Dood	
HORSE_HEALTH1	Uithongeren
HORSE_HEALTH2	Hongerig
HORSE_HEALTH3	Vol	
HORSE_LEVEL1	Normale Paard
HORSE_LEVEL2	Vecht Paard
HORSE_LEVEL3	Militaire Paard
HOUR	Uren	
HOW_MANY_ITEM_DO_YOU_DROP1	Wil je %s laten vallen?	
HOW_MANY_ITEM_DO_YOU_DROP2	Wil je %s %d laten vallen?	
INPUT_MATRIX_CARD_NUMBER	Voer Matrix Kaartnummer in.	
INPUT_MATRIX_CARD_TITLE	Matrix Kaart	
INPUT_PRIVATE_CODE_DIALOG_DESCRIPTION	Voer de code die je hebt gecreëerd in Account Beheer hier in.	
INPUT_PRIVATE_CODE_DIALOG_TITLE	Verwijder karakter	
INVENTORY_DO_NOT_PACK_WARP_SCROLL	Geschrigten kunnen niet gecombineerd worden.	
INVENTORY_REALLY_USE_ITEM	Dit voorwerp op dit voorwerp gebruiken?
JOB_ASSASSIN	Ninja	
JOB_ASSASSIN0	Amateur Ninja	
JOB_ASSASSIN1	Kracht van de Ninjas	
JOB_ASSASSIN2	Ondood	
JOB_SHAMAN	Sjamaan	
JOB_SHAMAN0	Amateur Sjamaan	
JOB_SHAMAN1	Kracht van de Draak	
JOB_SHAMAN2	Bliksem Kracht	
JOB_SURA	Sura	
JOB_SURA0	Amateur Sura	
JOB_SURA1	Kracht van de Fata Morgana	
JOB_SURA2	Kracht van Zwarte Magie	
JOB_WARRIOR	Krijger	
JOB_WARRIOR0	Amateur Krijger	
JOB_WARRIOR1	Kracht van Arahan	
JOB_WARRIOR2	Kracht van Partizaan	
LEFT_TIME	Overgebleven Tijd	
LOGIN_CONNECT_FAILURE	Fout bij de server verbinding.	
LOGIN_CONNECT_SUCCESS	Je  bent verbonden met de server
LOGIN_CONNETING	Je wordt verbonden met de server...
LOGIN_FAILURE_ALREAY	Je account is al verbonden.	
LOGIN_FAILURE_BE_SAME_KEY	Registratie probleem.	
LOGIN_FAILURE_BLOCK_ID	Je account is geband.	
LOGIN_FAILURE_BLOCK_LOGIN	kies een van de andere servers!
LOGIN_FAILURE_NOBILL	Je account heeft geen speeltijd.	
LOGIN_FAILURE_NOT_AVAIL	Je account kan niet worden gebruikt.	
LOGIN_FAILURE_NOT_EXIST_ID	Account naam of wachtwoord is incorrect
LOGIN_FAILURE_REPAIR_ID	Voorwerpen zijn hersteld voor dit account.	
LOGIN_FAILURE_SAMELOGIN	Iemand heeft zich met jouw account verbonden.
LOGIN_FAILURE_SHUTDOWN	De server is nog niet open.	
LOGIN_FAILURE_TOO_MANY_USER	Je kan niet verbonden worden want er zijn teveel spelers online.	
LOGIN_FAILURE_UNKNOWN	Je kon niet registreren voor onbekende redenen.	
LOGIN_FAILURE_WEB_BLOCK	Je bent geblokkerd bij de website. Controleer je e-mails alstublieft.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER	Je hebt een verkeerd nummer ingevoerd.	
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER_TRIPLE	Je hebt drie keer een verkeerd nummer ingevoerd. /n Je verbinding wordt verbroken.	
LOGIN_FAILURE_WRONG_PASSWORD	Account naam of wachtwoord is incorrect.
LOGIN_INPUT_ID	Voer ID in.	
LOGIN_INPUT_PASSWORD	Voer wachtwoord in.	
LOGIN_PROCESSING	Login proces is gestart.
MALL_CANNOT_INSERT	Je kunt het Voorwerp niet plaatsen.	
MALL_PASSWORD_TITLE	Wachtwoord	
MAP_A1	Yongan Gebied
MAP_A2	Vallei van Seungryong	
MAP_A2_1	
MAP_A3	Yayang Gebied
MAP_AG	Jungrang	
MAP_B1	Joan Gebied	
MAP_B2	Imji Vallei
MAP_B3	Bokjung Gebied
MAP_BAY	Baai van Nefriet
MAP_BAYBLACKSAND	Baai van Nefriet
MAP_BG	Waryong
MAP_C1	Pyungmo Gebied
MAP_C2	Bangsan Vallei
MAP_C3	Bakra Gebied
MAP_CAPE	Cape Drakenvuur
MAP_CAPEDRAGONHEAD	Cape Drakenvuur
MAP_CG	Imha
MAP_DAWN	Gautama Klif
MAP_DAWNMISTWOOD	Gautama Klif
MAP_DESERT	Yongbi Woestijn	
MAP_DEVILCATACOMB	Duivelse Catacomben
MAP_DEVILTOWER1	Demonen Toren
MAP_DUEL	Trainingsgevecht Gebied
MAP_E	Kolonie
MAP_EMPIREWAR01	Kasteelgevecht
MAP_EMPIREWAR02	Kasteelgevecht
MAP_EMPIREWAR03	Kasteelgevecht
MAP_FLAME	Doyyumhwan
MAP_GUILD_01	Jungrang
MAP_GUILD_02	Waryong
MAP_GUILD_03	Imha
MAP_HOLYPLACE_DESERT	Woestijnland Koninkrijk Gevecht
MAP_HOLYPLACE_FLAME	Vuurland Koninkrijk Gevecht
MAP_HOLYPLACE_ICE	IJsland Koninkrijk Gevecht
MAP_MILGYO	Hwang Tempel
MAP_MILGYO_A	
MAP_MONKEY_DUNGEON	Hasun Dong
MAP_MONKEY_DUNGEON2	Jungsun Dong
MAP_MONKEY_DUNGEON3	Sangsun Dong
MAP_MONKEY_DUNGEON_11	Hasun Dong
MAP_MONKEY_DUNGEON_12	Hasun Dong
MAP_MONKEY_DUNGEON_13	Hasun Dong
MAP_MT_THUNDER	Donder Gebergte
MAP_NUSLUCK	Reuzen Land
MAP_NUSLUCK01	Reuzen Land
MAP_N_DESERT_01	Yongbi Woestijn
MAP_N_DESERT_02	
MAP_N_FLAME_01	Vuurland
MAP_N_FLAME_02	
MAP_N_FLAME_DUNGEON_01	Rode Draken Fort
MAP_N_SNOWM_01	Berg Sohan
MAP_N_SNOWM_02	
MAP_N_SNOW_DUNGEON_01	Nemeres Uitkijktoren
MAP_N_THREEWAY	Vallei van Seungryong
MAP_OXEVENT	OX-wedstrijd
MAP_PATHWAY_DESERT_01	Woestijnland Koninkrijk Gevecht
MAP_PATHWAY_DESERT_02	Woestijnland Koninkrijk Gevecht
MAP_PATHWAY_DESERT_03	Woestijnland Koninkrijk Gevecht
MAP_PATHWAY_FLAME_01	Vuurland Koninkrijk Gevecht
MAP_PATHWAY_FLAME_02	Vuurland Koninkrijk Gevecht
MAP_PATHWAY_FLAME_03	Vuurland Koninkrijk Gevecht
MAP_PATHWAY_ICE_01	IJsland Koninkrijk Gevecht
MAP_PATHWAY_ICE_02	Speelland
MAP_PATHWAY_ICE_03	IJsland Koninkrijk Gevecht
MAP_SKELTOWER	Gumsan Toren
MAP_SKIPIA_DUNGEON_01	Grot der Verbanning
MAP_SKIPIA_DUNGEON_011	
MAP_SKIPIA_DUNGEON_012	
MAP_SKIPIA_DUNGEON_013	
MAP_SKIPIA_DUNGEON_02	Grot der Verbanning 2
MAP_SKIPIA_DUNGEON_021	
MAP_SKIPIA_DUNGEON_022	
MAP_SKIPIA_DUNGEON_023	
MAP_SKIPIA_DUNGEON_BOSS	Drakentempel
MAP_SKIPIA_DUNGEON_BOSS_1	Spinnenkerker 1
MAP_SKIPIA_DUNGEON_BOSS_2	Spinnenkerker 2
MAP_SKIPIA_DUNGEON_BOSS_3	Spinnenkerker 3
MAP_SNOW	Berg Sohan
MAP_SPIDER	Kuahlo Dong
MAP_SPIDERDUNGEON	Spinnenkerker 1
MAP_SPIDERDUNGEON_02	Spinnenkerker 2
MAP_SPIDERDUNGEON_02_1	Spinnenkerker 2
MAP_SPIDERDUNGEON_03	Spinnenkerker 3
MAP_SUNGZI	Koninkrijk Gevecht
MAP_SUNGZI_DESERT_01	Woestijnland Koninkrijk Gevecht
MAP_SUNGZI_DESERT_HILL_01	Woestijnland Koninkrijk Gevecht
MAP_SUNGZI_DESERT_HILL_02	Woestijnland Koninkrijk Gevecht
MAP_SUNGZI_DESERT_HILL_03	Woestijnland Koninkrijk Gevecht
MAP_SUNGZI_FLAME_HILL_01	Vuurland Koninkrijk Gevecht
MAP_SUNGZI_FLAME_HILL_02	Vuurland Koninkrijk Gevecht
MAP_SUNGZI_FLAME_HILL_03	Vuurland Koninkrijk Gevecht
MAP_SUNGZI_SNOW	IJsland Koninkrijk Gevecht
MAP_SUNGZI_SNOW_PASS01	IJsland Koninkrijk Gevecht
MAP_SUNGZI_SNOW_PASS02	IJsland Koninkrijk Gevecht
MAP_SUNGZI_SNOW_PASS03	IJsland Koninkrijk Gevecht
MAP_T1	Gilde Oorlog Gebied
MAP_T2	Gilde Oorlog Gebied
MAP_T3	Gilde Oorlog Gebied
MAP_T4	Gilde Oorlog Gebied
MAP_TEMPLE	Hwang Tempel	
MAP_THUNDER	Donder Gebergte
MAP_TREE	Lungsam	
MAP_TRENT	Spoken Woud
MAP_TRENT02	Rode Bos
MAP_TRENT02_A	Rood Bos
MAP_TRENT_A	
MAP_WEDDING_01	Trouwkaart
MAP_WL	Slangenveld
MAP_WL_01	Slangenveld
MESSENGER_ADD_FRIEND	Voeg Vriend toe	
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_1	%s heeft je als vriend toegevoegd.	
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_2	Accepteren?	
MESSENGER_DO_YOU_DELETE	Verwijderen?	
MESSENGER_DO_YOU_DELETE_PHONE_NUMBER	Wil je de Mobiele Telefoonnummer verwijderen?	
MESSENGER_DO_YOU_MOVE	Wil je doorgaan?	
MESSENGER_EMPTY_LIST	Leeg	
MESSENGER_FAMILY	Familie	
MESSENGER_FRIEND	Vrienden	
MESSENGER_GUILD	Gilde	
MESSENGER_INPUT_MOBILE_AUTHORITY_DESCRIPTION	Voer het confirmatie nummer in dat naar je mobiele telefoon is gestuurd.	
MESSENGER_INPUT_MOBILE_AUTHORITY_TITLE	Voer confirmatie nummer in	
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_1	Voer mobiele telefoon nummer in voor het sms.	
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_2	Wil je nu het nummer invoeren?	
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_TITLE	Voer mobiele telefoon nummr in.	
MESSENGER_SEND_MOBILE_MESSAGE_TITLE	Stuur bericht.	
METIN_TEST	
MINIMAP	Open Mini Map	
MINIMAP_CANNOT_SEE	Mini Map kan niet gezien worden.	
MINIMAP_CAN_NOT_SHOW_AREAMAP	Mini Map kan niet getoond worden.
MINIMAP_DEC_SCALE	Uit zoomen
MINIMAP_INC_SCALE	Inzoomen	
MINIMAP_OBSERVER_COUNT	%d toeschouwers	
MINIMAP_SHOW_AREAMAP	Open Grote Map	
MINUTE	Minuten	
MONETARY_UNIT0	Yang
MONETARY_UNIT1	Tien Duizend	
MONETARY_UNIT2	Honderd Miljard	
MONEY_INPUT_DIALOG_SELLPRICE	Verkoop Prijs:	
MOVE_ITEM_FAILURE_PRIVATE_SHOP	Je kunt geen voorwerpen verplaatsen wanneer je een privé Warenhuis hebt geopend.
MUSIC_EMPTY_MUSIC_LIST	Geen Achtergrond muziek.	
MUSIC_METIN2_DEFAULT_THEMA	Metin2 Standaard muziek.	
MUSIC_NOT_SELECT_MUSIC	Geen Muziek bestand geselecteerd.	
NEEFD_REST	Je moet eerst rusten.	
NOT_YET_SUPPORT	Nog niet ondersteund	
OPTION_PVPMODE_CANNOT_SET_GUILD_MODE	Je kunt Gilde Modus niet activeren wanneer je niet bij een Gilde hoort.	
OPTION_PVPMODE_NOT_SUPPORT	Je kunt deze configuratie niet kiezen in PvP Modus.	
OPTION_PVPMODE_PROTECT	Je moet minstens level %d hebben om de PvP Modus te veranderen.	
PARTY_ANSWER_TIMEOVER	De uitnodiging is geweigerd.
PARTY_BONUS_ATTACKER	Aanvals Waarde: +%d	SA
PARTY_BONUS_BERSERKER	Aanvals Snelheid: +%d	SA
PARTY_BONUS_BUFFER	Vaardig. duur: +%d	SA
PARTY_BONUS_DEFENDER	Verdediging: +%d	SA
