ACCEPT	Acceptere
OPTION_FOG_MIDDLE	Mellem
OPTION_INPUT_MOBILE_BUTTON	Angiv mobilnr.
OPTION_MOBILE	Mobil
OPTION_MOB_INFO	Monster info
OPTION_MOB_INFO_AGGR	Aggressiv
OPTION_MOB_INFO_LEVEL	Level
OPTION_MUSIC	Musik
OPTION_MUSIC_CHANGE	Skift
OPTION_MUSIC_DEFAULT_THEMA	Metin2 Standardtitel
OPTION_NAME_COLOR	Farve navn
OPTION_NAME_COLOR_EMPIRE	Rigets farve
OPTION_NAME_COLOR_NORMAL	Normal
OPTION_NIGHT_MODE	Nat
OPTION_NIGHT_MODE_OFF	Off
OPTION_NIGHT_MODE_ON	On
OPTION_PVPMODE	PvP-Mode
OPTION_PVPMODE_FREE	Fri
OPTION_PVPMODE_FREE_TOOLTIP	Du må angribe alle spillere.
OPTION_PVPMODE_GUILD	Orden
OPTION_PVPMODE_GUILD_TOOLTIP	Du kan angribe alle spiller undtagen Ordensmedlemmer.
OPTION_PVPMODE_PEACE	Fred
OPTION_PVPMODE_PEACE_TOOLTIP	Du kan ikke angribe spillere fra dit eget rige.
OPTION_PVPMODE_REVENGE	Fjendtlig
OPTION_PVPMODE_REVENGE_TOOLTIP	Du kan kun angribe spillere der har et andet sindelag.
OPTION_SALESTEXT	Butiksnavn
OPTION_SALESTEXT_VIEW_OFF	hide
OPTION_SALESTEXT_VIEW_ON	vis
OPTION_SNOW_MODE	Snevejr
OPTION_SNOW_MODE_OFF	Off
OPTION_SNOW_MODE_ON	On
OPTION_SNOW_TEXTURE_MODE	Sne
OPTION_SNOW_TEXTURE_MODE_OFF	Off
OPTION_SNOW_TEXTURE_MODE_ON	On
OPTION_SOUND	Effekter
OPTION_TARGET_BOARD	Målmenu
OPTION_TARGET_BOARD_NO_VIEW	Luk
OPTION_TARGET_BOARD_VIEW	Vis
OPTION_TILING	Grafikhukommelse
OPTION_TILING_APPLY	Anvend
OPTION_TILING_CPU	CPU
OPTION_TILING_GPU	GPU
OPTION_TITLE	Indstillinger
OPTION_VIEW_CHAT	Chat
OPTION_VIEW_CHAT_OFF	hide
OPTION_VIEW_CHAT_ON	vis
PARTY_MEMBER_INFO_NAME	Gruppemedlemmets navn
PASSWORD_DESC_1	Indtast dit kodeord
PASSWORD_DESC_2	for at åbne lageret.
PASSWORD_DESC_3	Allerede skiftet din adgangskode?
PASSWORD_DESC_4	Hvis ikke, vil din adgangskode være '000000'.
PASSWORD_DESC_5	Skift din adgangskode ved lagerforvalteren.
PASSWORD_TITLE	Gem-Kodeord
PICK_MONEY_TITLE	Dele
PRIVATE_SHOP_CLOSE_BUTTON	Luk butik
PRIVATE_SHOP_NAME	Butikkens navn
PRIVATE_SHOP_TITLE	Åben privat butik
REFINE_COST	Forbedringsomkostninger: 0 Yang
REFINE_INFO	Sandsynligheden for forbedring: 100%
REFINE_MONEY	Forfinelses gebyr
REFINE_SELECT	Forfinelse
REFINE_TTILE	Forbedringer
REPORT_VIOLENT_WHISPER	
RESTART_HERE	Genstart her
RESTART_TOWN	Start i byen
SAFE_CHANGE_PASSWORD	Skift kodeord
SAFE_TITLE	Lagerrum
SELECT_ATT_GRADE	STR
SELECT_CREATE	Opret
SELECT_DELETE	Slet
SELECT_DEX_GRADE	DEX
SELECT_EMPIRE_NAME	Rigets navn
SELECT_EXIT	Afslut
SELECT_HP	VIT
SELECT_LEVEL	Level
SELECT_METIN_STONE_TITLE	Vælg Åndesten
SELECT_NAME	Navn
SELECT_NO_GUILD	Ingen Orden
SELECT_PLAYTIME	Spilletid
SELECT_SELECT	Start
SELECT_SP	INT
SELECT_TITLE	Vælg titel
SHOP_BUY	Køb
SHOP_SELL	Sælg
SHOP_TITLE	Butik
SKILL_SUPPORT_TITLE	Standard-færdigheder
STEP	Klarheds grad
STEP_SELECT	Klarheds grad
STRENGTH	Styrkelse
STRENGTH_SELECT	Level
SYSTEMOPTION_TITLE	Systemindstillinger
SYSTEM_CHANGE	Skift karakter
SYSTEM_EXIT	Afslut spil
SYSTEM_HELP	Hjælp
SYSTEM_LOGOUT	Log ud
SYSTEM_MALL	Itemshop
SYSTEM_OPTION	Systemindstillinger
TASKBAR_CHARACTER	Karakter [C/V/B/N]
TASKBAR_CHAT	Chat-vindue [Enter]
TASKBAR_DISABLE	Deaktiveret
TASKBAR_DRAGON_SOUL	Drage stens Alkymist
TASKBAR_EXPAND	Udvid vindue
TASKBAR_INVENTORY	Inventar [I]
TASKBAR_MESSENGER	Venner [Alt+M]
TASKBAR_NEXT_QUICKSLOT	Næste hurtigmenu [Shift+tal, Alt]
TASKBAR_PREV_QUICKSLOT	Forige hurtigmenu [Shift+tal]
TASKBAR_SYSTEM	Indstillinger [ESC]
WHISPER_BAN	Blokér
WHISPER_NAME	Hviske
WHISPER_REPORT	
WHISPER_SEND	Send
YES	Ja
ZONE_MAP	Stort kort
