AFF_LOVE_POINT	Kærlighedspoint: %d%%
CANNOT_SKILL_RED	Du kan ikke bruge højrød ulve sjæl når Indigo Ulve sjæl er aktiveret.
CANNOT_SKILL_REMOVE_FISHING_ROD	Denne færdighed kan jeg ikke bruge med en fiskestang.
CANNOT_SKILL_SELF_IN_SAFE	Jeg kan ikke angribe fjenden herfra.
CANNOT_SKILL_USE_SELF	Jeg kan ikke bruge det på mig selv.
CANNOT_SKILL_WAIT_COOLTIME	Denne færdighed er ikke klar.
CANNOT_USE	Du kan ikke bruge denne.
CANNOT_WHISPER_DEST_REFUSE	%s har blokeret hvisken.	SA
CANNOT_WHISPER_NOT_LOGON	%s er ikke online.	SA
CANNOT_WHISPER_SELF_REFUSE	Du kan ikke hviske med nogen, når du selv har blokeret for hvisken.	SNA
CHANNEL	Kanal
CHANNELING_CANNOT_LOGOUT	Du kan ikke gå tilbage til startskærmen.
CHANNEL_EMPTY_SERVER	Ingen server
CHANNEL_NORMAL	Kanal %d
CHANNEL_NOTIFY_FULL	Denne kanal er fyldt. Vælg venligst en anden.
CHANNEL_NOT_FIND_INFO	Du får ingen kanal-informationer.
CHANNEL_PVP	Fri duel
CHANNEL_SELECT_CHANNEL	Vælg en kanal
CHANNEL_SELECT_REGION	Vælg området for regningen
CHANNEL_SELECT_SERVER	Vælg server
CHANNEL_TEST_SERVER	Test server
CHANNEL_TEST_SERVER_ADDR	Test %s:%d
CHARACTER_CREATE_MODE	Opret karakter
CHARACTER_SELECT_MODE	Vælg karakter
CHAT_ALL	Alle
CHAT_BLOCK	Bloker
CHAT_GUILD	Orden
CHAT_INFORMATION	Info
CHAT_INSULT_STRING	Sætningen indeholder spærrede ord.
CHAT_LOG	Vis gamle meddelelser [L]
CHAT_LOG_TITLE	Chat-log
CHAT_NORMAL	Normal
CHAT_NOTICE	Bekendtgørelse
CHAT_PARTY	Gruppe
CHAT_SEND_CHAT	Send chat
CHAT_SEND_MEMO	Send hvisken [Shift+Enter]
CHAT_SHOUT	Råbe
CHAT_SHOUT_LIMIT	Du kan kun råbe alle 15 sekunder.
CHAT_WHISPER	Hviske
COMB_ALREADY_APPEND	
COMB_CANT_APPEND_ITEM	Denne genstand kan ikke bruges.
COMB_CANT_APPEND_SEALED_ITEM	Du kan ikke bruge en sjælebunden genstand.
COMB_COST	Pris: %s
COMB_IS_CONTINUE_PROCESS	Ønsker du at fortsætte?
COMB_NOTICE	Du kan ikke åbne en privat shop mens du bytter bøger.
COMB_NOTICE_NOT_OPEN	Du kan ikke bytte bøger mens du har en privat shop åben.
COMB_NOT_ALL_SLOT_APPEND_ITEM	Du skal bruge et sekundær kostume for at overføre bonusser.
COMB_NOT_FULL_BOOK	Nej, vi kan ikke gøre forretning på denne måde. Som jeg allerede fortalte dig, så er jeg kun klar på at bytte hvis du giver mig 10 bøger igen.
COMB_NOT_ITEM_IN_INVENTORY	Du kan ikke aktivere genstande der er i brug.
COMB_NOT_MEDIUM_ITEM	Denne genstand kan ikke bruges.
COMB_WILL_REMOVE_MATERIAL	Kostume 2 vil blive ødelagt.
CREATE_ERROR_GM_NAME	Dit karakternavn må ikke indeholde "GM".
CREATE_ERROR_INSULT_NAME	Dette navn er ikke tilladt.
CREATE_ERROR_LIMIT_LEVEL	Din karakter skal mindst være level 80.
CREATE_ERROR_TIME_LIMIT	Du kan kun oprette en karakter per 30 sekunder.
CREATE_ERROR_WRONG_STRING	Dit karakternavn må ikke indeholde special tegn.
CREATE_EXIST_SAME_NAME	En anden karakter har allerede dette navn.
CREATE_FAILURE	Du kan ikke oprette denne karakter.
CREATE_FULL	Du kan ikke oprette flere karakterer.
CREATE_GM_NAME	GM
CREATE_INPUT_NAME	Vælg et navn
CREATE_PLUS_STAT	Du har stadig nogle status-points.
DAY	Dage
DONT_USE_ITEM_WHEN_SHOW_CONFIRM	Du kan ikke fjerne en genstand når der er en forespørgsel igang.
DO_YOU_BUY_ITEM1	Vil du købe %s for %s ?
DO_YOU_BUY_ITEM2	Vil du købe %s %s for %s ?
DO_YOU_DROP_MONEY	Vil du smide %d Yang væk?
DO_YOU_SELL_ITEM1	Vil du sælge %s for %s ?
DO_YOU_SELL_ITEM2	Vil du sælge %s %s for %s ?
DRAGON_SOUL_CANNOT_REFINE	Denne drage sten kan ikke blive forfinet.
DRAGON_SOUL_CANNOT_REFINE_MORE	Denne drage sten har allerede nået det højeste level.
DRAGON_SOUL_EQUIP_WARNING1	Det er svært at fjerne en drage sten, når den først er tilføjet.
DRAGON_SOUL_EQUIP_WARNING2	Vil du stadig gerne fortsætte?
DRAGON_SOUL_EXPIRED	Udløbet drage sten
DRAGON_SOUL_INVALID_DRAGON_SOUL	Det er den forkerte drage sten.
DRAGON_SOUL_IS_NOT_DRAGON_SOUL	Det er ikke en drage sten.
DRAGON_SOUL_NOT_DRAGON_SOUL_REFINE_STONE	Dette er ikke den rigtige drage sten.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL	Du har ikke materialer nok til forfinelsen.
DRAGON_SOUL_NOT_MATCHED_SLOT	Denne drage sten passer ikke til denne plads.
DRAGON_SOUL_STEP_LEVEL1	Klarhed: mat,
DRAGON_SOUL_STEP_LEVEL2	Klarhed: klar,
DRAGON_SOUL_STEP_LEVEL3	Klarhed: fejlfri,
DRAGON_SOUL_STEP_LEVEL4	Klarhed: strålende,
DRAGON_SOUL_STEP_LEVEL5	Klarhed: fremragende,
DRAGON_SOUL_STRENGTH	Level: +%d	SA
DRAGON_SOUL_UNEQUIP_WARNING1	Denne drage sten kan blive ødelagt i processen.
DRAGON_SOUL_UNEQUIP_WARNING2	Vil du stadig gerne forsætte?
DRAGON_SOUL_UNMATCHED_SLOT	Det er den forkerte plads.
DRAGON_SOUL_UNQUALIFIED	Du kan endnu ikke bruge drage stens alkymisten.
DROP_ITEM_FAILURE_EQUIP_ITEM	Du kan ikke smide genstande i brug væk.
DROP_ITEM_FAILURE_PRIVATE_SHOP	Du kan ikke smide genstande i brug væk, mens du åbner en privat butik.
DROP_MONEY_FAILURE_1000_OVER	Du kan maksimalt smide 999 Yang.
EMOTION_ANGRY	Forarget
EMOTION_ATTRACTIVE	Forførende
EMOTION_BANTER	Spydig
EMOTION_CHEERS_1	Jubel 1
EMOTION_CHEERS_2	Jubel 2
EMOTION_CHEERUP	Juble
EMOTION_CHOOSE_ONE	Vælg et mål.
EMOTION_CLAP	Applaus
EMOTION_CLAP_KISS	Kys
EMOTION_CONGRATULATION	Understøtte
EMOTION_DANCE_1	Dans 1
EMOTION_DANCE_2	Dans 2
EMOTION_DANCE_3	Dans 3
EMOTION_DANCE_4	Dans 4
EMOTION_DANCE_5	Dans 5
EMOTION_DANCE_6	Gumsan Style
EMOTION_FORGIVE	Tilgive
EMOTION_FRENCH_KISS	Tungekys
EMOTION_JOY	Glæde
EMOTION_SAD	Bedrøvet
EMOTION_SHY	Afvise
EMOTION_SLAP	Slag
EMPIRE_A	Shinsoo-Rige
EMPIRE_B	Chunjo-Rige
EMPIRE_C	Jinno-Rige
EMPIRE_SELECT_MODE	Vælg rige
EXCHANGE_CANNOT_GIVE	Denne genstand kan ikke handles med.
EXCHANGE_CANT_EDIT_MONEY	Du kan ikke redigere bidraget nu.
EXCHANGE_FAILURE_EQUIP_ITEM	Du kan ikke skifte udrustede genstande.
EXCHANGE_MONEY	Bidrag
EXCHANGE_TITLE	Handl med %s
FISHING_FAILURE	Du har tabt fiskemaddingen.
FISHING_NOTIFY1	Ser ud til, at en %s har bidt på.
FISHING_NOTIFY2	Ser ud til, at en %s blev fanget.
FISHING_SUCCESS1	Du har fanget en %s !
FISHING_SUCCESS2	Du har fanget %s!
FISHING_UNKNOWN	Jeg ved ikke hvad jeg har fanget.
FISHING_WRONG_PLACE	Her kan jeg ikke fiske.
FOR_FEMALE	For kvinder
FOR_MALE	For mænd
GAME_CANNOT_MINING	Du kan ikke hakke malm mens du ridder.
GAME_CANNOT_PICK_ITEM	Du kan ikke indsamle denne genstand, da det ikke er dit bytte.
GAME_INIT_ERROR_CURSOR	Musviseren kunne ikke oprettes.
GAME_INIT_ERROR_DIRECTX	DirectX 8.1 skal være installeret for at spillet virker.\nInstaller DirectX 8.1 eller højere.
GAME_INIT_ERROR_GRAPHICS_BAD_PERFORMANCE	Ikke fundet noget grafikkort.\nVær så venligt at kontrollere om dit VGA-kort er installeret korrekt.
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	Grafikkort blev ikke fundet.\nCheck om du har et VGA-kort.\nAlternativ kan du aktivere for hardware-accelerationen.\n(Hardware-acceleration på maksimum i grafikkortets indstillinger)
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	Dit grafikkort understøtter ikke 32bit-vinduesmode.\nSkift til 16bit eller brug fuld skærm.
GAME_INIT_ERROR_ITEM_PROTO	Ikke fundet nogen genstandsfil.\nVær så venlig at geninstallere spillet.
GAME_INIT_ERROR_MAIN_WINDOW	Hovedvinduet kunne ikke oprettes.
GAME_INIT_ERROR_MOB_PROTO	Ikke fundet nogen monsterfil.\nVær så venlig at geninstallere spillet.
GAME_INIT_ERROR_NETWORK	Netværksforbindelsen kunne ikke oprettes.\nCheck din internet-forbindelse.
GAME_PICK_MONEY	Du har fundet %d Yang.
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	Højden skal være 128 pixel
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	Højden skal være 12 pixel
GUILDMARK_UPLOADER_ERROR_16_WIDTH	Bredde skal være 16 pixel
GUILDMARK_UPLOADER_ERROR_64_WIDTH	Bredde skal være 64 pixel
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	Spillet understøtter ikke den slags billedformater.
GUILDMARK_UPLOADER_ERROR_PATH	Flyt filerne i mappen metin2/upload.
GUILDMARK_UPLOADER_ERROR_SELECT	Du har ikke valgt nogen billed-fil.
GUILDWAR_CTF_TITLE	Erobre flag
GUILDWAR_NORMAL_TITLE	Kampfelt
GUILDWAR_QUESTION_LINE_1	%s-Ordenen har erklæret krig mod jer.
GUILDWAR_QUESTION_LINE_2	tager du imod? (%s)
GUILDWAR_UNKNOWN_TITLE	...
GUILDWAR_WARP_TITLE	Arena krig
GUILD_BUILDING_GRADE	Rang
GUILD_BUILDING_NAME	Bygningsnavn
GUILD_CANNOT_HEAL_GSP_ANYMORE	Drageånd er allerede fyldt.
GUILD_COMMENT	Skriv
GUILD_CREATE_ERROR_INSULT_NAME	Ordensnavnet er ikke tilladt.
GUILD_DEFAULT_GRADE	Ordensmedlemmer
GUILD_DELETE	Slet
GUILD_DEPOSIT	Deponere
GUILD_DO_YOU_HEAL_GSP	Vil du bruge %d Yang for at reproducere %d stykker drageånd?
GUILD_DO_YOU_JOIN	 har inviteret dig. Vil du tilslutte dig ordenen?
GUILD_EMPTY_AREA	Tomt areal
GUILD_ENEMY_GUILD_NAME	Fjendens Ordensnavn
GUILD_FACILITY	Sidebygning
GUILD_GEM	Ædelsten
GUILD_HEADQUARTER	Hovedbygning
GUILD_HEAL_GSP	Gendan drageånd.
GUILD_INFO_ENEMY_GUILD_EMPTY	Ingen
GUILD_MARK_NOT_ENOUGH_LEVEL	Level skal minimum være 3
GUILD_NAME	Ordensnavn
GUILD_NOT_ENOUGH_MATERIAL	Du har ikke materialer nok til denne bygningen.
GUILD_NOT_ENOUGH_MONEY	Du har ikke Yang nok til denne bygningen.
GUILD_NO_NOTICE_PERMISSION	Du har ingen rettigheder til bekendtgørelser.
GUILD_OBJECT	Objekter
GUILD_OFFER_EXP	Investere erfaring
GUILD_SHORT_EXP	Ikke nok erfaring.
GUILD_TILE_BASEINFO	Basis-informationer
GUILD_TILE_BOARD	Tavle
GUILD_TILE_GRADE	Forvaltning af rettigheder
GUILD_TILE_INFO	Ordensinformationer
GUILD_TILE_MEMBER	Ordensmedlemmer
GUILD_TILE_SKILL	Ordensfærdigheder
GUILD_VILLAGE_01	Miryang
GUILD_VILLAGE_02	Songpa
GUILD_VILLAGE_03	Daeyami
GUILD_WAR1	Ordenskrigs område
GUILD_WAR2	Ordenskrigs område
GUILD_WAR3	Ordenskrigs område
GUILD_WAR4	Ordenskrigs område
GUILD_WAR_LIMIT_30MIN	Tid: 30 Minutter
GUILD_WAR_REWARD_POTION	Belønning: Vinderen får eliksirer.
GUILD_WAR_USE_BATTLE_MAP	Sted: Ordenskrig Arena
GUILD_WAR_USE_NORMAL_MAP	Sted: Normal kort
GUILD_WAR_WIN_CHECK_SCORE	Højest resultat vinder krigen.	
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	Få fat i fjendens flag
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	og bring det til din base.
GUILD_WAR_WIN_WIPE_OUT_GUILD	Besejre alle fjender for at vinde.
GUILD_WITHDRAW	Tilbagetræk
GUILD_YOU_DO_NOT_JOIN	Du er ikke medlem i nogen Orden.
HORSE_HEALTH0	Død
HORSE_HEALTH1	Sulter
HORSE_HEALTH2	Sulten
HORSE_HEALTH3	Fuld
HORSE_LEVEL1	Normal hest
HORSE_LEVEL2	Krigs hest
HORSE_LEVEL3	Militærhest
HOUR	timer
HOW_MANY_ITEM_DO_YOU_DROP1	Ønsker du at smide %s væk?
HOW_MANY_ITEM_DO_YOU_DROP2	Vil du smide %s %d væk
INPUT_MATRIX_CARD_NUMBER	Indtast matrix-kortnr.
INPUT_MATRIX_CARD_TITLE	Matrix-kort
INPUT_PRIVATE_CODE_DIALOG_DESCRIPTION	Indtast slet-koden fra din account-forvaltning.
INPUT_PRIVATE_CODE_DIALOG_TITLE	Slet karakter
INVENTORY_DO_NOT_PACK_WARP_SCROLL	Dokumenter kan ikke sammenføres.
INVENTORY_REALLY_USE_ITEM	Brug genstand på denne genstand?
JOB_ASSASSIN	Ninja
JOB_ASSASSIN0	Amatørninja
JOB_ASSASSIN1	Ninjas magt
JOB_ASSASSIN2	Ikke-døde	
JOB_SHAMAN	Shaman	
JOB_SHAMAN0	Amatør shaman	
JOB_SHAMAN1	Dragens magt	
JOB_SHAMAN2	Lynstyrke
JOB_SURA	Sura
JOB_SURA0	Amatør-sura
JOB_SURA1	Fatamorganas magt	
JOB_SURA2	Sort magi´s magt
JOB_WARRIOR	Kriger
JOB_WARRIOR0	Amatørkriger
JOB_WARRIOR1	Arahans magt
JOB_WARRIOR2	Partisanernes magt
LEFT_TIME	Resterende tid	
LOGIN_CONNECT_FAILURE	En fejl opstod ved forbindelsen til serveren.	
LOGIN_CONNECT_SUCCESS	Du er forbundet til serveren.
LOGIN_CONNETING	Forbinder til Serveren...
LOGIN_FAILURE_ALREAY	Din account er allerede forbundet.	
LOGIN_FAILURE_BE_SAME_KEY	Registrerings problem.	
LOGIN_FAILURE_BLOCK_ID	Din account er spærret.	
LOGIN_FAILURE_BLOCK_LOGIN	Vælg venligst en anden servere.
LOGIN_FAILURE_NOBILL	Denne konto har ingen spilletid tilovers.
LOGIN_FAILURE_NOT_AVAIL	Denne konto er ikke tilgængeligt.
LOGIN_FAILURE_NOT_EXIST_ID	Forkert brugernavn eller password.
LOGIN_FAILURE_REPAIR_ID	For denne konto bliver der gendannet nogle genstande.
LOGIN_FAILURE_SAMELOGIN	En person har forbundet sig til din konto.
LOGIN_FAILURE_SHUTDOWN	Denne server er ikke åben.
LOGIN_FAILURE_TOO_MANY_USER	Du kan ikke få forbindelse med serveren, da der er for mange spillere online.
LOGIN_FAILURE_UNKNOWN	Du kunne ikke logge på. Årsagen er ukendt.
LOGIN_FAILURE_WEB_BLOCK	Du blev blokeret på websiden. Tjek venligst din e-mail.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER	Du har indtastet et forkert nr.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER_TRIPLE	Du har 3 gange i træk indtastet et forkert nr. - din forbindelse blev afbrudt.
LOGIN_FAILURE_WRONG_PASSWORD	Forkert brugernavn eller password.
LOGIN_INPUT_ID	Angiv ID.
LOGIN_INPUT_PASSWORD	Angiv kodeordet.
LOGIN_PROCESSING	Registreringen med serveren er i gang...
MALL_CANNOT_INSERT	Du kan ikke placere den genstand.
MALL_PASSWORD_TITLE	Kodeord
MAP_A1	Område Yongan
MAP_A2	Seungryong Dal
MAP_A2_1	
MAP_A3	Område Yayang
MAP_AG	Jungrang
MAP_B1	Område Joan
MAP_B2	Imji dalen
MAP_B3	Område Bokjung
MAP_BAY	Nefrit bugten
MAP_BAYBLACKSAND	Nefrit bugten
MAP_BG	Waryong
MAP_C1	Område Pyungmoo
MAP_C2	Bangsan dalen
MAP_C3	Område Bakra
MAP_CAPE	Kap Drageild
MAP_CAPEDRAGONHEAD	Kap Drageild
MAP_CG	Imha
MAP_DAWN	Gautama Klippe
MAP_DAWNMISTWOOD	Gautama Klippe
MAP_DESERT	Yongbi-ørken
MAP_DEVILCATACOMB	Djævelens katakomb
MAP_DEVILTOWER1	Dæmon tårn
MAP_DUEL	Træningskamp område
MAP_E	Koloni
MAP_EMPIREWAR01	Slots-kamp
MAP_EMPIREWAR02	Slots-kamp
MAP_EMPIREWAR03	Slots-kamp
MAP_FLAME	Doyyumhwan
MAP_GUILD_01	Jungrang
MAP_GUILD_02	Waryong
MAP_GUILD_03	Imha
MAP_HOLYPLACE_DESERT	Ørkenland Nationskrig
MAP_HOLYPLACE_FLAME	Ildland Nationskrig
MAP_HOLYPLACE_ICE	Island Nationskrig
MAP_MILGYO	Hwang Tempel
MAP_MILGYO_A	
MAP_MONKEY_DUNGEON	Hasun Dong
MAP_MONKEY_DUNGEON2	Jungsun Dong
MAP_MONKEY_DUNGEON3	Sangsun Dong
MAP_MONKEY_DUNGEON_11	Hasun Dong
MAP_MONKEY_DUNGEON_12	Hasun Dong
MAP_MONKEY_DUNGEON_13	Hasun Dong
MAP_MT_THUNDER	Tordenbjergene
MAP_NUSLUCK	Kæmpernes land
MAP_NUSLUCK01	Kæmpernes land
MAP_N_DESERT_01	Yongbi-Ørken
MAP_N_DESERT_02	
MAP_N_FLAME_01	Ildland
MAP_N_FLAME_02	
MAP_N_FLAME_DUNGEON_01	Rød Drageborg
MAP_N_SNOWM_01	Bjerget Sohan
MAP_N_SNOWM_02	
MAP_N_SNOW_DUNGEON_01	Nemeres vagttårn
MAP_N_THREEWAY	Seungryong Dalen
MAP_OXEVENT	OX turnering
MAP_PATHWAY_DESERT_01	Ørkenland Nationskrig
MAP_PATHWAY_DESERT_02	Ørkenland Nationskrig
MAP_PATHWAY_DESERT_03	Ørkenland Nationskrig
MAP_PATHWAY_FLAME_01	Ildland Nationskrig
MAP_PATHWAY_FLAME_02	Ildland Nationskrig
MAP_PATHWAY_FLAME_03	Ildland Nationskrig
MAP_PATHWAY_ICE_01	Island Nationskrig
MAP_PATHWAY_ICE_02	Legeplads
MAP_PATHWAY_ICE_03	Island Nationskrig
MAP_SKELTOWER	Gumsan-Tårn
MAP_SKIPIA_DUNGEON_01	Forbandelsens grotte
MAP_SKIPIA_DUNGEON_011	
MAP_SKIPIA_DUNGEON_012	
MAP_SKIPIA_DUNGEON_013	
MAP_SKIPIA_DUNGEON_02	Forbandelsens grotte 2
MAP_SKIPIA_DUNGEON_021	
MAP_SKIPIA_DUNGEON_022	
MAP_SKIPIA_DUNGEON_023	
MAP_SKIPIA_DUNGEON_BOSS	Dragens tempel
MAP_SKIPIA_DUNGEON_BOSS_1	Edderkoppe grotte 1
MAP_SKIPIA_DUNGEON_BOSS_2	Edderkoppe grotte 2
MAP_SKIPIA_DUNGEON_BOSS_3	Edderkoppe grotte 3
MAP_SNOW	Bjerget Sohan
MAP_SPIDER	Kuahlo Dong
MAP_SPIDERDUNGEON	Edderkoppe grotte 1
MAP_SPIDERDUNGEON_02	Edderkoppe-grotte 2
MAP_SPIDERDUNGEON_02_1	Edderkoppe grotte 2
MAP_SPIDERDUNGEON_03	Edderkoppe grotte 3
MAP_SUNGZI	Nationskrig
MAP_SUNGZI_DESERT_01	Ørkenland Nationskrig
MAP_SUNGZI_DESERT_HILL_01	Ørkenland Nationskrig
MAP_SUNGZI_DESERT_HILL_02	Ørkenland Nationskrig
MAP_SUNGZI_DESERT_HILL_03	Ørkenland Nationskrig
MAP_SUNGZI_FLAME_HILL_01	Ildland Nationskrig
MAP_SUNGZI_FLAME_HILL_02	Ildland Nationskrig
MAP_SUNGZI_FLAME_HILL_03	Ildland Nationskrig
MAP_SUNGZI_SNOW	Island Nationskrig
MAP_SUNGZI_SNOW_PASS01	Island Nationskrig
MAP_SUNGZI_SNOW_PASS02	Island Nationskrig
MAP_SUNGZI_SNOW_PASS03	Island Nationskrig
MAP_T1	Ordenskrigs område
MAP_T2	Ordenskrigs område
MAP_T3	Ordenskrigs område
MAP_T4	Ordenskrigs område
MAP_TEMPLE	Hwang-Tempel
MAP_THUNDER	Tordenbjergene
MAP_TREE	Lungsam
MAP_TRENT	Åndeskov
MAP_TRENT02	Rød skov
MAP_TRENT02_A	Rød skov
MAP_TRENT_A	
MAP_WEDDING_01	Bryllups kort
MAP_WL	Slangeområde
MAP_WL_01	Slangeområde
MESSENGER_ADD_FRIEND	Tilføj ven
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_1	%s har accepteret dig som ven.
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_2	Accepter?
MESSENGER_DO_YOU_DELETE	Slet?
MESSENGER_DO_YOU_DELETE_PHONE_NUMBER	Vil du slette mobilnr.?
MESSENGER_DO_YOU_MOVE	Vil du fortsætte?
MESSENGER_EMPTY_LIST	Tom
MESSENGER_FAMILY	Familie
MESSENGER_FRIEND	Venner
MESSENGER_GUILD	Orden
MESSENGER_INPUT_MOBILE_AUTHORITY_DESCRIPTION	Indtast bekræftigelses-koden der blev sendt til dit mobilnr.
MESSENGER_INPUT_MOBILE_AUTHORITY_TITLE	Indtast bekræftigelses-kode
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_1	Indtast mobilnr. for SMS-tilsending.
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_2	Vil du indtaste dette nr.?
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_TITLE	Angiv mobilnr.
MESSENGER_SEND_MOBILE_MESSAGE_TITLE	Afsend meddelelse.
METIN_TEST	
MINIMAP	Åben Minimap
MINIMAP_CANNOT_SEE	Minikort kan ikke vises.
MINIMAP_CAN_NOT_SHOW_AREAMAP	Kortet kan ikke vises.
MINIMAP_DEC_SCALE	Minimer
MINIMAP_INC_SCALE	Maximer
MINIMAP_OBSERVER_COUNT	%d tilskuer
MINIMAP_SHOW_AREAMAP	Åben stort kort
MINUTE	Min
MONETARY_UNIT0	Yang
MONETARY_UNIT1	titusind
MONETARY_UNIT2	hundrede millioner
MONEY_INPUT_DIALOG_SELLPRICE	Salgspris:
MOVE_ITEM_FAILURE_PRIVATE_SHOP	Du kan ikke flytte genstande mens du har en privat butik åben.
MUSIC_EMPTY_MUSIC_LIST	Ingen baggrundsmusik.
MUSIC_METIN2_DEFAULT_THEMA	Metin2-Standardmusik
MUSIC_NOT_SELECT_MUSIC	Du har ikke valgt nogen musikfil.
NEEFD_REST	Du bliver nød til at hvile dig.
NOT_YET_SUPPORT	Bliver ikke understøttet.
OPTION_PVPMODE_CANNOT_SET_GUILD_MODE	Du kan ikke aktivere Ordens-mode, hvis du ikke er medlem i en Orden.
OPTION_PVPMODE_NOT_SUPPORT	Du kan ikke bruge denne PvP-konfiguration.
OPTION_PVPMODE_PROTECT	Du skal mindst have opnået Level %d for at ændre PvP-konfigurationen.
PARTY_ANSWER_TIMEOVER	Invitationen blev afvist.
PARTY_BONUS_ATTACKER	Angrebsværdi: +%d	SA
PARTY_BONUS_BERSERKER	Angrebshastighed: +%d	SA
PARTY_BONUS_BUFFER	Færdighedslængde: +%d	SA
PARTY_BONUS_DEFENDER	Forsvar: +%d	SA
PARTY_BONUS_EXP	Bonus-erfaring: %d%%	SA
PARTY_BONUS_SKILL_MASTER	Max. MP: +%d	SA
PARTY_BONUS_TANKER	Max HP: +%d	SA
PARTY_BREAK_UP	Fjern gruppe
PARTY_DO_YOU_ACCEPT	 vil være med i gruppen.
PARTY_DO_YOU_JOIN	 har inviteret dig til gruppen. Accepter?
PARTY_EXP_DISTRIBUTION_MODE	EXP-fordeling
PARTY_EXP_DISTRIBUTION_MODE_LEVEL	Level-fordeling
PARTY_EXP_DISTRIBUTION_MODE_LEVEL_TOOLTIP	Højere level får mere EXP.
PARTY_EXP_DISTRIBUTION_MODE_PARITY	Jævn fordeling
PARTY_EXP_DISTRIBUTION_MODE_PARITY_TOOLTIP	Alle gruppemedlemmer får samme EXP.
PARTY_HEAL_ALL_MEMBER	Gendan alt
PARTY_INCREASE_AREA_150	Gruppens rækkevidde blev øget med en faktor 1,5.	SNA
PARTY_INCREASE_AREA_200	Gruppens rækkevidde blev øget med en faktor 2.	SNA
PARTY_LEAVE	Forlad gruppen.
PARTY_LONGTIME_BONUS_EXP	Bonus-EXP for langt gruppespil: +%d%%	SA
PARTY_MEMBER_OFFLINE	[Offline]
PARTY_RECALL_MEMBER	Kald gruppemedlemmer.
PARTY_REGEN_BONUS	Bonus for HP- og MP-regeneration: +%d%%	SA
PARTY_REQUEST_DENIED	Du har afvist gruppe-invitationen.
PARTY_SET_ATTACKER	Definer som angriber.
PARTY_SET_BERSERKER	Definer som Berserker.
PARTY_SET_BUFFER	Definer som Blocker.
PARTY_SET_DEFENDER	Definer som forsvar.
PARTY_SET_NORMAL	Fjern indstillingerne.
PARTY_SET_SKILL_MASTER	Definer som færdighedsmester.
PARTY_SET_TANKER	Indstil til nærkamp.
