AFF_LOVE_POINT	Szerelem pont: %d%%
FISHING_FAILURE	Elveszítetted a csalit.
FISHING_NOTIFY1	Úgy tûnik a %s ráharapott.
FISHING_NOTIFY2	Úgy tûnik, megfogtál egy %s-t.
FISHING_SUCCESS1	%s-t fogtál!
FISHING_SUCCESS2	%s-t húztál ki a vízbõl!
FISHING_UNKNOWN	Valami elvette a csalit, de nem tudom, mi ez.
FISHING_WRONG_PLACE	Itt nem tudsz horgászni.
FOR_FEMALE	Hölgyeknek
FOR_MALE	Uraknak
GAME_CANNOT_MINING	Nem tudsz érceket bányászni, amíg lovagolsz.
GAME_CANNOT_PICK_ITEM	Nem gyûjtheted be a tárgyat, mert nem te zsákmányoltad.
GAME_INIT_ERROR_CURSOR	Az egér kurzor nem hozható létre.
GAME_INIT_ERROR_DIRECTX	A játékhoz szükslges a DirectX 8.1 installálása.\nInstalláld a DirectX 8.1-at vagy újabb verzióját.
GAME_INIT_ERROR_GRAPHICS_BAD_PERFORMANCE	Nem talált videokártyát a játék indításához.\nEllenõrizd, hogy jól van-e installálva a VGA-kártya.
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	Grafikus eszköz nem hozható létre. \nEllenõrizd, hogy van-e VGA kártyád. \nEsetleg aktiválhatod a hardver gyorsítót.\n(Állítsd a hardver gyorsítót a maximura \nRendszer eszközök->Képernyõ->Beállítások->Haladó->Hibaelhárítás)
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	A video kártya nem támogatja az ablak kezelést 32bites üzemmódban.\nVálts 16bites üzemmódra vagy használd a teljes képernyõ módot.
GAME_INIT_ERROR_ITEM_PROTO	Nincsenek adatok a tárgyakról.\nInstalláld újra a játékot.
GAME_INIT_ERROR_MAIN_WINDOW	Nem nyitható meg a fõablak.
GAME_INIT_ERROR_MOB_PROTO	Nincsenek adatok a szörnyekrõl.\nInstalláld újra a játékot.
GAME_INIT_ERROR_NETWORK	A hálózati eszköz nem indítható.\nEllenõrizd az internet kapcsolatot.
GAME_PICK_MONEY	%d Yangot kaptál.
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	A magasság nem 128 pixel.
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	A magasság nem 12 pixel
GUILDMARK_UPLOADER_ERROR_16_WIDTH	A szélesség nem 16 pixel
GUILDMARK_UPLOADER_ERROR_64_WIDTH	A szélesség nem 64 pixel
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	A játék nem támogatja ezt a képernyõt.
GUILDMARK_UPLOADER_ERROR_PATH	Helyezd át a fájlokat a metin2/upload könyvtárba.
GUILDMARK_UPLOADER_ERROR_SELECT	Nincsenek kép fájlok kiválasztva.
GUILDWAR_CTF_TITLE	Zászló megszerzés
GUILDWAR_NORMAL_TITLE	Mezõ harc
GUILDWAR_QUESTION_LINE_1	A %s céh hadat üzent a céhednek.
GUILDWAR_QUESTION_LINE_2	elfogadod? (%s)
GUILDWAR_UNKNOWN_TITLE	...
GUILDWAR_WARP_TITLE	Aréna harc
GUILD_BUILDING_GRADE	Rang
GUILD_BUILDING_NAME	Épület név
GUILD_CANNOT_HEAL_GSP_ANYMORE	A Sárkány szellem energia már teljesen fel van töltve.
GUILD_COMMENT	Írni
GUILD_CREATE_ERROR_INSULT_NAME	Nem érvényes céh név.
GUILD_DEFAULT_GRADE	Céh tagok
GUILD_DELETE	Töröl
GUILD_DEPOSIT	Letétbe helyez
GUILD_DO_YOU_HEAL_GSP	Szeretnél %d Yangért %d sárkány szellemet visszaállítani?
GUILD_DO_YOU_JOIN	 meghívott. Csatlakozni akarsz a céhhez?
GUILD_EMPTY_AREA	Üres táj.
GUILD_ENEMY_GUILD_NAME	Az ellenség céh neve
GUILD_FACILITY	Melléképület
GUILD_GEM	Drágakõ
GUILD_HEADQUARTER	Fõépület
GUILD_HEAL_GSP	Sárkány szellem újra termelés
GUILD_INFO_ENEMY_GUILD_EMPTY	Semennyi
GUILD_MARK_NOT_ENOUGH_LEVEL	Legalább 3-as szint szükséges
GUILD_NAME	Céh név
GUILD_NOT_ENOUGH_MATERIAL	Nincs elég építõanyag ehhez az épülethez.
GUILD_NOT_ENOUGH_MONEY	Nincs elég Yang ehhez az épülethez.
GUILD_NO_NOTICE_PERMISSION	Nincs jogosultságod bejelentést tenni.
GUILD_OBJECT	Tárgy
GUILD_OFFER_EXP	Tapasztalat befektetés
GUILD_SHORT_EXP	Nincs elég tapasztalat pont.
GUILD_TILE_BASEINFO	Alap információk
GUILD_TILE_BOARD	Tábla
GUILD_TILE_GRADE	Jogok Kezelése
GUILD_TILE_INFO	Céh információ
GUILD_TILE_MEMBER	Céhtag
GUILD_TILE_SKILL	Céh készség
GUILD_WAR_LIMIT_30MIN	Idõ: 30 perc
GUILD_WAR_REWARD_POTION	Jutalom: a gyõztes italokat kap
GUILD_WAR_USE_BATTLE_MAP	Helyszín: Céhháború Aréna
GUILD_WAR_USE_NORMAL_MAP	Helyszín: Normál Térkép
GUILD_WAR_WIN_CHECK_SCORE	Legmagasabb eredmény háborút nyer.
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	Szerezd meg az ellenség zászlaját,
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	és vidd el a bázisodra.
GUILD_WAR_WIN_WIPE_OUT_GUILD	Gyõzz le minden ellenséget a gyõzelemért.
GUILD_WITHDRAW	Visszavonás
GUILD_YOU_DO_NOT_JOIN	Nem tartozol céhhez.
HORSE_HEALTH0	Halott
HORSE_HEALTH1	Éhezõ
HORSE_HEALTH2	Éhes
HORSE_HEALTH3	Tele
HORSE_LEVEL1	Normál ló
HORSE_LEVEL2	Csataló
HORSE_LEVEL3	Katonai ló
HOUR	Óra
HOW_MANY_ITEM_DO_YOU_DROP1	Szeretnéd %s eldobni?
HOW_MANY_ITEM_DO_YOU_DROP2	Szeretnél %s %d eldobni?
INPUT_MATRIX_CARD_NUMBER	Mátrix térképszám beadás
INPUT_MATRIX_CARD_TITLE	Mátrix térkép
INPUT_PRIVATE_CODE_DIALOG_DESCRIPTION	Törlõ kód beadása a felhasználó kezelõbõl
INPUT_PRIVATE_CODE_DIALOG_TITLE	Karakter törlés
INVENTORY_DO_NOT_PACK_WARP_SCROLL	Nem kombinálható tekercs.
INVENTORY_REALLY_USE_ITEM	Szeretnéd felhasználni ezt a tárgyat?
JOB_ASSASSIN	Nindzsa
JOB_ASSASSIN0	Amatõr nindzsa
JOB_ASSASSIN1	Nindzsa hatalma
JOB_ASSASSIN2	Élõ
JOB_SHAMAN	Sámán
JOB_SHAMAN0	Amatõr sámán
JOB_SHAMAN1	Sárkány hatalma
JOB_SHAMAN2	Villám erõ
JOB_SURA	Sura
JOB_SURA0	Amatõr Sura
JOB_SURA1	Fata Morgana ereje
JOB_SURA2	Fekete mágia ereje
JOB_WARRIOR	Harcos
JOB_WARRIOR0	Amatõr harcos
JOB_WARRIOR1	Arahan hatalma
JOB_WARRIOR2	Partizánok hatalma
LEFT_TIME	Maradék idõ
LOGIN_CONNECT_FAILURE	Hiba a szerver kapcsolatban.
LOGIN_CONNECT_SUCCESS	A szerver kapcsolat létrejött.
LOGIN_CONNETING	Kapcsolódás a szerverhez...
LOGIN_FAILURE_ALREAY	A számlád már csatlakoztatva van.
LOGIN_FAILURE_BE_SAME_KEY	Bejelentkezési probléma
LOGIN_FAILURE_BLOCK_ID	Az elõfizetõi számla le van tiltva.
LOGIN_FAILURE_BLOCK_LOGIN	Kérlek válassz egyet a többi szerver közül!
LOGIN_FAILURE_NOBILL	Elõfizetõi számládnak nincs már játékideje
LOGIN_FAILURE_NOT_AVAIL	Az elõfizetõi számla nem elérhetõ.
LOGIN_FAILURE_NOT_EXIST_ID	Hibás Felhasználónév vagy Jelszó.
LOGIN_FAILURE_REPAIR_ID	Az elõfizetõi számlára éppen tárgyak helyreállítása van folyamatban.
LOGIN_FAILURE_SHUTDOWN	A szerver még nem nyílt meg.
LOGIN_FAILURE_TOO_MANY_USER	Nem csatlakozhatsz, mert túl sokan játszanak.
LOGIN_FAILURE_UNKNOWN	Ismeretlen okból nem tudsz bejelentkezni.
LOGIN_FAILURE_WEB_BLOCK	Le lettél tiltva a web oldalon. Ellenõrizd leveleidet.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER	Rossz számot adtál meg.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER_TRIPLE	Háromszor adtál meg helytelen számot. A kapcsolat lezáródik.
LOGIN_FAILURE_WRONG_PASSWORD	Hibás Felhasználónév vagy Jelszó.
LOGIN_INPUT_ID	Add meg az ID-t.
LOGIN_INPUT_PASSWORD	Add meg a jelszót.
LOGIN_PROCESSING	Bejelentkezés folyamatban...
MALL_CANNOT_INSERT	Nem tudod elhelyezni a tárgyat.
MALL_PASSWORD_TITLE	Jelszó
MAP_A1	Yongan-terület
MAP_A2	Seungryong-völgy
MAP_A3	Yayang Terület
MAP_AG	Jungrang
MAP_B1	Joan-terület
MAP_B2	Imji Völgy
MAP_B3	Bokjung-terület
MAP_BAY	Nefrit-öböl
MAP_BG	Waryong
MAP_C1	Pyungmoo-terület
MAP_C2	Bangsan Völgy
MAP_C3	Bakra-terület
MAP_CAPE	Sárkánytûz-fok
MAP_CG	Imha
MAP_DAWN	Gautama-szikla
MAP_DESERT	Yongbi sivatag
MAP_FLAME	Doyyumhwan
MAP_NUSLUCK	Óriások Földje
MAP_SKELTOWER	Gumsan torony
MAP_SNOW	Sohan-hegy
MAP_SPIDER	Kuahlo Dong
MAP_TEMPLE	Hwang templom
MAP_THUNDER	Mennydörgés-hegység
MAP_TREE	Lungsam
MAP_TRENT02	Vörös Erdõ
MAP_WL	Kígyórét
MESSENGER_ADD_FRIEND	Barát hozzáadása
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_1	%s felvett barátnak.
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_2	Elfogadod?
MESSENGER_DO_YOU_DELETE	Töröl?
MESSENGER_DO_YOU_DELETE_PHONE_NUMBER	Szeretnéd a mobilszámot törölni?
MESSENGER_DO_YOU_MOVE	Folytatod?
MESSENGER_EMPTY_LIST	Üres
MESSENGER_FAMILY	Család
MESSENGER_FRIEND	Barátok
MESSENGER_GUILD	Céh
MESSENGER_INPUT_MOBILE_AUTHORITY_DESCRIPTION	Add meg a visszaigazoló számot, amely a telefonodra érkezett.
MESSENGER_INPUT_MOBILE_AUTHORITY_TITLE	Visszaigazoló szám megadása
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_1	Add meg a mobilszámot az sms küldéshez.
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_2	Szeretnéd megadni a számot most?
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_TITLE	Mobilszám megadás
MESSENGER_SEND_MOBILE_MESSAGE_TITLE	Üzenet küldés
MINIMAP	Nyitott Mini térkép
MINIMAP_CANNOT_SEE	Nem jeleníthetõ meg a mini térkép.
MINIMAP_CAN_NOT_SHOW_AREAMAP	Nem jeleníthetõ meg nagy térkép.
MINIMAP_DEC_SCALE	Kicsinyítés
MINIMAP_INC_SCALE	Nagyítás
MINIMAP_OBSERVER_COUNT	%d nézõ
MINIMAP_SHOW_AREAMAP	Nyitott Nagy térkép
MINUTE	Min
MONETARY_UNIT0	Yang
MONETARY_UNIT1	tízezer
MONETARY_UNIT2	száz millió
MONEY_INPUT_DIALOG_SELLPRICE	Eladási ára:
MOVE_ITEM_FAILURE_PRIVATE_SHOP	Nem mozdíthatsz el a tárgyakat, amíg a magán boltot nyitva van.
MUSIC_EMPTY_MUSIC_LIST	Nincs háttérzene.
MUSIC_METIN2_DEFAULT_THEMA	Metin2-Alap zene
MUSIC_NOT_SELECT_MUSIC	Nincs zene fájl kiválasztva
NEEFD_REST	Elõször pihenj.
NOT_YET_SUPPORT	Nem támogatott.
OPTION_PVPMODE_CANNOT_SET_GUILD_MODE	Nem aktiválhatod a céh módot, ha nem vagy céhtag.
OPTION_PVPMODE_NOT_SUPPORT	Nem használhatod a PvP-mód beállításait.
OPTION_PVPMODE_PROTECT	Legalább %d szintûnek kell lenned, hogy PvP módot változtathass.
PARTY_BONUS_ATTACKER	Támadó érték: +%d	SA
PARTY_BONUS_BERSERKER	Támadósebesség: +%d	SA
PARTY_BONUS_BUFFER	Készség tartam: +%d	SA
PARTY_BONUS_DEFENDER	Védelem: +%d	SA
PARTY_BONUS_EXP	Bónusz EXP: %d%%	SA
PARTY_BONUS_SKILL_MASTER	Max. MP: +%d	SA
PARTY_BONUS_TANKER	Max. TP: +%d	SA
PARTY_BREAK_UP	Csoport felbontás
PARTY_DO_YOU_ACCEPT	szeretnél csatlakozni a Csoportba.
PARTY_DO_YOU_JOIN	 meghívott a csoportjába. Elfogadod?
PARTY_EXP_DISTRIBUTION_MODE	EXP elosztás
PARTY_EXP_DISTRIBUTION_MODE_LEVEL	Szint függõ
PARTY_EXP_DISTRIBUTION_MODE_LEVEL_TOOLTIP	A magasabb szintû csoporttagok több EXP-et kapnak.
PARTY_EXP_DISTRIBUTION_MODE_PARITY	egyenletes
PARTY_EXP_DISTRIBUTION_MODE_PARITY_TOOLTIP	Minden csoporttag azonos mennyiségû EXP-t kap.
PARTY_HEAL_ALL_MEMBER	Mindent újratermelni
PARTY_INCREASE_AREA_150	A csoport hatótávolsága másfélszeresére növelve.	SNA
PARTY_INCREASE_AREA_200	A csoport hatótávolsága kétszeresére növelve.	SNA
PARTY_LEAVE	Csoport elhagyása
PARTY_LONGTIME_BONUS_EXP	Bónusz EXP a hosszú csoport játékért: +%d%%	SA
PARTY_MEMBER_OFFLINE	[Offline]
PARTY_RECALL_MEMBER	Csoporttag hívása
PARTY_REGEN_BONUS	Bónusz a TP- és MP-regenerálódáshoz: +%d%%	SA
PARTY_REQUEST_DENIED	Elutasították a kérésed.
PARTY_SET_ATTACKER	Támadónak kinevez.
PARTY_SET_BERSERKER	Dühöngõnek kinevez.
PARTY_SET_BUFFER	Blokkolónak kinevez.
PARTY_SET_DEFENDER	Védõnek kinevez.
PARTY_SET_NORMAL	Beállítások visszaállítása
PARTY_SET_SKILL_MASTER	Készség mesternek kinevez.
PARTY_SET_TANKER	Tõrharcos beállítás.
PARTY_SKILL_ATTACKER	Alap támadóérték támadó +%.0f
PARTY_SKILL_BERSERKER	Támadó érték õrjöngõ +%.0f
PARTY_SKILL_BUFFER	Készség hossz Blokkoló +%.0f
PARTY_SKILL_DEFENDER	Védelem védõ +%.0f
PARTY_SKILL_HP_REGEN	TP regeneráció +%.0f%%
PARTY_SKILL_PARTY_AREA	Csoport hatósugár +%d%%
PARTY_SKILL_SKILL_MASTER	Max. MP készség mester +%.0f
PARTY_SKILL_SP_REGEN	MP regenerálódás +%.0f%%
PARTY_SKILL_TANKER	Max. TP közelharc +%.0f
PARTY_SKILL_WARP	Csoporttárs hívása lehetséges.
PASSWORD_TITLE	Raktár jelszó
PICK_ITEM_TITLE	Tárgy szám
PICK_MONEY_TITLE	Összeg
PRIVATE_SHOP_CANNOT_SELL_ITEM	Ezt a tárgyat nem adhatod el magán boltban.
PRIVATE_SHOP_CLOSE_QUESTION	Szeretnéd bezárni a magán boltod?
PRIVATE_SHOP_INPUT_NAME_DIALOG_TITLE	A magánbolt neve
PRIVATE_SHOP_INPUT_PRICE_DIALOG_TITLE	Ár
PVP_LEVEL0	Lovagias
PVP_LEVEL1	Nemes
PVP_LEVEL2	Jó
PVP_LEVEL3	Barátságos
PVP_LEVEL4	Semleges
PVP_LEVEL5	Agresszív
PVP_LEVEL6	Álnok
PVP_LEVEL7	Alattomos
PVP_LEVEL8	Kegyetlen
PVP_MODE_GUILD	PvP - Céh aktiválva.
PVP_MODE_KILL	PvP - Szabad aktiválva
PVP_MODE_NORMAL	PvP - Béke aktiválva
PVP_MODE_PROTECT	PvP - Védelem aktiválva
PVP_MODE_REVENGE	PvP - Ellenséges aktiválva
PVP_OPTION_KILL	Szabad
PVP_OPTION_NORMAL	Béke
PVP_OPTION_PROTECT	Védelem
PVP_OPTION_REVENGE	Ellenséges
QUEST_APPEND	Új feladat érkezett.
QUEST_MIN	perc
QUEST_SEC	másodperc
QUEST_TIMEOVER	Idõ lejárt
QUEST_UNLIMITED_TIME	Nincs idõkorlát
QUEST_ZEROSEC	0 mp.
QUICKSLOT_REGISTER_DISABLE_ITEM	Ez a tárgy nem adható a gyors elérésû mezõhöz.
RECEIVE_MESSAGE	%s üzenetet küldött neked.
REFINE_COST	Javítási költségek: %d Yang
REFINE_DESTROY_WARNING	A tárgy megsérülhet a fejlesztés során.
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_1	Növeli a javítás esélyét,
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_2	de ha nem sikerül, akkor a tárgy megsemmisülhet. Folytatod?
REFINE_DOWN_GRADE_WARNING	A tárgy a javítás közben elromolhat.
REFINE_DO_YOU_SEPARATE_METIN	Szeretnéd eltávolítani a Szellemkövet?
REFINE_FAILURE	Nem sikerült. Elrontottuk.
REFINE_FAILURE_CAN_NOT_ATTACH	%s nem tudja ezt a tárgyat hozzákapcsolni.
REFINE_FAILURE_EQUIP_ITEM	Felszerelt tárgyat nem tudsz fejleszteni.
REFINE_FAILURE_METIN_INSEPARABLE_ITEM	Nem lehet eltávolítani Szellemkövet.
REFINE_FAILURE_NEED_BETTER_SCROLL	Egy jobb javító tekercsre van szükséged.
REFINE_FAILURE_NO_GOLD_SOCKET	Nincs arany foglalat %s hozzáadásához.
REFINE_FAILURE_NO_MORE_SOCKET	Nem lehet több foglalatot hozzáadni.
REFINE_FAILURE_NO_SOCKET0	Nincs foglalat %s felszereléséhez.
REFINE_FAILURE_SOCKET_DISABLE_ITEM	Erre a tárgyra nem lehet foglalatokat készíteni.
REFINE_FAILURE_UPGRADE_DISABLE_ITEM	Ez a tárgy nem javítható.
REFINE_SUCCESS	A tárgy javítás sikeres volt.
REFINE_SUCCESS_PROBALITY	Javítási esély: %d%%
REFINE_WARNING2	Folytatod?
SAFEBOX_ERROR	Hibás jelszót adtál meg.
SAFEBOX_SELL_DISABLE_SAFEITEM	A mentett tárgyakat nem adhatod el.
SAFEBOX_WRONG_PASSWORD	A jelszóknak azonosnak kell lenniük.
SCREENSHOT_SAVE1	el van mentve a
SCREENSHOT_SAVE2	Screenshot könyvtárba
SCREENSHOT_SAVE_FAILURE	A screenshot mentése nem sikerült.
SECOND	mp
SELECT_CAN_NOT_DELETE	Nem törölheted a karaktert.
SELECT_CHANGED_NAME	Megváltoztattad a karakter nevét.
SELECT_CHANGE_FAILURE_ALREADY_EXIST_NAME	Már létezik ez a  karakter név.
SELECT_CHANGE_FAILURE_STRANGE_INDEX	Próbáld meg megint.
SELECT_CHANGE_FAILURE_STRANGE_NAME	Ez a hibás karakter név.
SELECT_CHANGE_NAME_TITLE	Karakter név változtatás
SELECT_DELEING	Karakter törlõdik
SELECT_DELETED	Sikeres törlés
SELECT_DO_YOU_DELETE_REALLY	Folytatod?
SELECT_EMPTY_SLOT	Ez egy üres mezõ.
SELECT_GM_NAME	GM
SELECT_INPUT_CHANGING_NAME	Adj meg egy új karakter nevet.
SELECT_NOT_JOIN_GUILD	Nem céh
SHOP_BUY_INFO	Válaszd ki a tárgyat, amit meg akarsz vásárolni a bolt ablakból.
SHOP_CANNOT_SELL_EQUIPMENT	Nem adhatsz el felszerelt tárgyat.
SHOP_CANNOT_SELL_ITEM	Ez a tárgy nem eladó.
SHOP_ERROR_UNKNOWN	Ismeretlen Bolt Hiba: %s
SHOP_INVALID_POS	Ez a tárgy nem megfelelõ.
SHOP_INVENTORY_FULL	A leltárban nincs több hely.
SHOP_NOT_ENOUGH_MONEY	Nincs elég Yang
