ACCEPT	Megerősít
GUILD_INFO_MARK	Céh jel
GUILD_INFO_MASTER	Vezető
GUILD_INFO_MASTER_VALUE	Vezető
GUILD_INFO_MEMBER_AVG_LEVEL	Átlagos Szint
GUILD_INFO_MEMBER_NUM	Tagok száma
GUILD_INFO_NAME	Céh név
GUILD_INFO_NAME_VALUE	Ez egy céh név
GUILD_INFO_OFFER_EXP	Befektet
GUILD_INFO_REST_EXP	Szükséges tapasztalat
GUILD_INFO_UPLOAD_MARK	Jel feltöltés
GUILD_INFO_UPLOAD_SYMBOL	Zászló feltöltés
GUILD_MARK	Céh jel
GUILD_MEMBER_JOB	Kaszt
GUILD_MEMBER_KNIGHT	Vezető
GUILD_MEMBER_LEVEL	Szint
GUILD_MEMBER_NAME	Név
GUILD_MEMBER_RANK	Rang
GUILD_MEMBER_SPECIFIC_GRAVITY	Befektet.
GUILD_METIN_STONE	Metin kő
GUILD_MINENAL	Ásvány
GUILD_MONEY	Yang
GUILD_NAME	Céh
GUILD_RESOURCE_INFO	Forrás információk
GUILD_SKILL_ACTIVE	Aktív
GUILD_SKIlL_HEAL_GSP	Feltölteni
GUILD_SKILL_PASSIVE	Passzív
GUILD_SKILL_POWER	Energia
GUILD_SKILL_STATE	Céh képesség
GUILD_SYMBOL	Céh zászló
GUILD_WAR_ACCEPT	Céh hadüzenet elfogadása
GUILD_WAR_BATTLE_TYPE	Harci mód
GUILD_WAR_CTF	Zászló
GUILD_WAR_DECLARE	Céh háborút kinyilvánít
GUILD_WAR_ENEMY	Ellenség
GUILD_WAR_NORMAL	Harcmező
GUILD_WAR_WARP	Aréna
GUILD_WATER	Víz
GUILD_WATER_STONE	Aqua kő
GUILD_WITHDRAW	Kivon
HELP_ATTACK_KEY	Támadás: bal egérgomb vagy szóköz billentyű
HELP_CHANGE_PK_MODE	Támadási mód váltás: bal egérgomb beállítása
HELP_CHARACTER_BUTTON1	(Karakter ablak, Leltár ablak,
HELP_CHARACTER_BUTTON2	Barátlista és Beállítások)
HELP_CONTROL_CAMERA_BY_MIDDLEBUTTON	Kameraállás: középső vagy jobb egérgomb
HELP_CONTROL_CAMERA_BY_RIGHTBUTTON	Kameraállás: jobb vagy középső egérgomb
HELP_EXP	Tapasztalat
HELP_FURY	Játékbeli tárgy piac
HELP_GUILD_WINDOW	Céh ablak megnyitása: Alt+G
HELP_HELP	Segítség megmutatása: H
HELP_HP	Életerő (TP)
HELP_MESSENGER_WINDOW	Barátlista megnyitása: Alt+M
HELP_MOUSE_LEFT	Bal egérgomb funkció
HELP_MOUSE_RIGHT	Jobb egérgomb funkció
HELP_MOVE_KEY	Vezérlés: W, A, S, D, vagy nyíl billentyűk
HELP_OPEN_CHARACTER	Karakter ablak megnyitása: C
HELP_OPEN_CHAT	Cset ablak megnyitása: Enter
HELP_OPEN_INVENTORY	Leltár ablak megnyitása: I
HELP_OPEN_LOG	Cset-log megnyitása: L
HELP_OPEN_MINIMAP	Mini térkép megnyitása: Shift + M
HELP_OPEN_QUEST	Feladata ablak megnyitása: N
HELP_OPEN_SKILL	Képesség ablak megnyitása: V
HELP_OPEN_WHISPER	Suttogás ablak megnyitása: Shift + Enter
HELP_OPEN_ZONEMAP	Nagy térkép megnyitása: M
HELP_PICK_ITEM	Tárgyak összegyűjtése: ^ vagy Y billentyű, vagy bal egérgomb
HELP_QUICKSLOT	Gyors elérési mezők
HELP_SCREEN_CAPTURE	Képernyőkép mentése: Nyomtatás (a "Metin2\screenshot" könyvtárban lesz elmentve egy fájlba)
HELP_SHOW_ALL_NAME	Nevek megmutatása: Alt
HELP_SP	Mana pontok (MP)
HELP_SYSTEM_BUTTON	Rendszer billentyűk
INVENTORY_PAGE_BUTTON_TOOLTIP_1	1. leltár
INVENTORY_PAGE_BUTTON_TOOLTIP_2	2. leltár
INVENTORY_PAGE_BUTTON_TOOLTIP_3	3. leltár
INVENTORY_PAGE_BUTTON_TOOLTIP_4	4. leltár
INVENTORY_TITLE	Leltár
ITEM_MALL	Tárgy piac
LOAD_ERROR	Az adatfájl megsérült. Installáld újra a klienst. Nyomd meg az ESC gombot.
LOGIN_CONNECT	Csatlakozik
LOGIN_CONNECTING	A szerverhez leszel kapcsolva.
LOGIN_DEFAULT_SERVERADDR	Szervernév, 1. csatorna
LOGIN_EXIT	Bezár
LOGIN_REGION_TITLE	Számlakibocsátás helyszíne
LOGIN_SELECT_BUTTON	Választ
LOGIN_SELECT_EXIT	Bezár
LOGIN_SELECT_OK	OK
LOGIN_SELECT_TITLE	Szervert választ
MALL_PASSWORD_TITLE	Jelszó
MALL_TITLE	Tárgypiac raktár
MARKET_TITLE	Betölt
MARKLIST_REFRESH	Aktualizál
MARKLIST_TITLE	Céh jelet regisztrál
MESSAGE	Ez egy üzenet
MESSENGER_ADD_FRIEND	Barát hozzáadása
MESSENGER_DELETE_FRIEND	Barát törlése
MESSENGER_MOBILE	SMS köldés
MESSENGER_OPEN_GUILD	Céh ablak nyitás
MESSENGER_TITLE	Barát
MESSENGER_USE_GUILD_MOVE_SKILL	Használd a céh mozgatókészséget
MESSENGER_WHISPER	Súgó
MINIMIZE	Minimalizál
MOUSEBUTTON_ATTACK	Támad
MOUSEBUTTON_AUTO_ATTACK	Automatikus támadás
MOUSEBUTTON_CAMERA	Kamera
MOUSEBUTTON_METIN_FARM	Metinkő kijelölés
FARM_SESSION_TITLE	Farm Session
FARM_SESSION_START	Indítás
FARM_SESSION_STOP	Leállítás
FARM_SESSION_SAVE	Mentés
FARM_SESSION_HISTORY	Előzmények
FARM_SESSION_HISTORY_TITLE	Korábbi session-ök
FARM_SESSION_TIME_FORMAT	Idő: %s
FARM_SESSION_KILLS_FORMAT	Ölések: %d
FARM_SESSION_ITEMS_FORMAT	Itemek: %d
FARM_SESSION_YANG_GAINED_FORMAT	Szerzett yang: %d
FARM_SESSION_YANG_SPENT_FORMAT	Elköltött yang: %d
FARM_SESSION_YANG_NET_FORMAT	Yang változás: %s
FARM_SESSION_STONE_FORMAT	Kő: %d
FARM_SESSION_BOSS_FORMAT	Főszörny: %d
FARM_SESSION_NORMAL_FORMAT	Szörny: %d
FARM_SESSION_KILLS_LIST_TITLE	Megölt szörnyek:
FARM_SESSION_ITEMS_LIST_TITLE	Szerzett tárgyak:
FARM_SESSION_TOGGLE_LIST	Lista váltás
FARM_SESSION_MOB_ROW_FORMAT	%s: %d db
FARM_SESSION_ITEM_ROW_FORMAT	%s: %d db
FARM_SESSION_SAVE_NO_DATA	Nincs menthető adat - előbb állítsd le a session-t.
FARM_SESSION_SAVE_DONE	A farm session elmentve.
FARM_SESSION_SAVE_FAILED	A farm session mentése sikertelen.
MOUSEBUTTON_SKILL	Készség
MUSICLIST_TITLE	Zene választás
NO	Nem
OK	OK
OPTION_ALWAYS_SHOW_NAME	Név
OPTION_ALWAYS_SHOW_NAME_OFF	korlátozott
OPTION_ALWAYS_SHOW_NAME_ON	Mindig
OPTION_BLOCK	Letilt
OPTION_BLOCK_EXCHANGE	Kereskedik
OPTION_BLOCK_FRIEND	Barátok
OPTION_BLOCK_GUILD	Céh
OPTION_BLOCK_PARTY	Csoport
OPTION_BLOCK_PARTY_REQUEST	Kérés
OPTION_BLOCK_WHISPER	Súgni
OPTION_CAMERA_DISTANCE	Kamera
OPTION_CAMERA_DISTANCE_LONG	Távoli
OPTION_CAMERA_DISTANCE_SHORT	Közeli
OPTION_DELETE_MOBILE_BUTTON	Telefonszám törlés
OPTION_EFFECT	Találati info.
OPTION_FOG	Köd
OPTION_FOG_DENSE	Sok
OPTION_FOG_LIGHT	Kevés
OPTION_FOG_MIDDLE	Közepes
OPTION_INPUT_MOBILE_BUTTON	Mobiltelefonszám megadása
OPTION_MOBILE	Mobiltelefon
OPTION_MUSIC	Zene
OPTION_MUSIC_CHANGE	Váltani
OPTION_MUSIC_DEFAULT_THEMA	Metin2 alap zene
OPTION_NAME_COLOR	Szín név
OPTION_NAME_COLOR_EMPIRE	Birod. Szín
OPTION_NAME_COLOR_NORMAL	Nomális
OPTION_PVPMODE	PvP Mód
OPTION_PVPMODE_FREE	Szabad
OPTION_PVPMODE_FREE_TOOLTIP	Minden játékost megtámadhastz.
OPTION_PVPMODE_GUILD	Céh
OPTION_PVPMODE_GUILD_TOOLTIP	Céhtagokat kivéve minden játékost megtámadhatsz.
OPTION_PVPMODE_PEACE	Béke
OPTION_PVPMODE_PEACE_TOOLTIP	Nem támadhatod meg a saját birodalmad játékosait.
OPTION_PVPMODE_REVENGE	Ellenség
OPTION_PVPMODE_REVENGE_TOOLTIP	Csak eltérő világképű játékost támadhatsz meg.
OPTION_SALESTEXT	Bolt név
OPTION_SALESTEXT_VIEW_OFF	kitakarni
OPTION_SALESTEXT_VIEW_ON	eltakarni
OPTION_SOUND	Hatás
OPTION_TARGET_BOARD	Cél menü
OPTION_TARGET_BOARD_NO_VIEW	Bezár
OPTION_TARGET_BOARD_VIEW	Megmutat
OPTION_TILING	Grafika
OPTION_TILING_APPLY	Felhasznál
OPTION_TILING_CPU	CPU
OPTION_TILING_GPU	GPU
OPTION_TITLE	Opciók
OPTION_VIEW_CHAT	Cset sor
OPTION_VIEW_CHAT_OFF	kitakarni
OPTION_VIEW_CHAT_ON	eltakarni
PARTY_MEMBER_INFO_NAME	Csoporttárs neve
PASSWORD_DESC_1	Írd be a jelszavad
PASSWORD_DESC_2	a raktár megnyitásához.
PASSWORD_DESC_3	Megváltoztattad már a jelszavad?
PASSWORD_DESC_4	Ha még nem, a jelszavad "000000" lesz.
PASSWORD_DESC_5	Változtasd meg a jelszavad a raktárban.
PASSWORD_TITLE	Jelszó mentés
PICK_MONEY_TITLE	Feloszt
PRIVATE_SHOP_CLOSE_BUTTON	Bolt zárás
PRIVATE_SHOP_NAME	Bolt neve
PRIVATE_SHOP_TITLE	Magán bolt nyitás
REFINE_COST	Javítási költségek: 0 Yang
REFINE_INFO	Esély a sikeres javításra: 100%
REFINE_MONEY	Nemesítési díj
REFINE_SELECT	Nemesítés
REFINE_TTILE	Javítások
REPORT_VIOLENT_WHISPER	
RESTART_HERE	Újraindít itt
RESTART_TOWN	Újraindít a városban
SAFE_CHANGE_PASSWORD	Jelszó változtatás
SAFE_TITLE	Tárolóhely
SELECT_ATT_GRADE	ERŐ
SELECT_CREATE	Létrehoz
SELECT_DELETE	Töröl
SELECT_DEX_GRADE	ÜGY
SELECT_EMPIRE_NAME	Birodalom neve
SELECT_EXIT	Bezár
SELECT_HP	VIT
SELECT_LEVEL	Szint
SELECT_METIN_STONE_TITLE	Szellemkő választás
SELECT_NAME	Név
SELECT_NO_GUILD	Nincs céh
SELECT_YES_GUILD	Céh név: %s
SELECT_PLAYTIME	Játékidő (perc) %d
SELECT_SELECT	Start
SELECT_SP	INT
SELECT_TITLE	Cím választás
SHOP_BUY	Vásárol
SHOP_SELL	Elad
SHOP_TITLE	Bolt
SKILL_SUPPORT_TITLE	Standard készségek
STEP	Tisztasági minőség
STEP_SELECT	Tisztasági minőség
STRENGTH	Erősítés
STRENGTH_SELECT	Szint
SYSTEMOPTION_TITLE	Rendszer opciók
SYSTEM_CHANGE	Karakter csere
SYSTEM_EXIT	Játék befejezés
SYSTEM_HELP	Segítség
SYSTEM_LOGOUT	Kilépés
SYSTEM_MALL	Tárgy piac
SYSTEM_OPTION	Rendszer opciók
TASKBAR_CHARACTER	Karakter [C/V/B/N]
TASKBAR_CHAT	Cset ablak [Enter]
TASKBAR_DISABLE	Kikapcsolva
TASKBAR_DRAGON_SOUL	Sárkánykő-alkímia
TASKBAR_EXPAND	Meghosszabbítás
TASKBAR_INVENTORY	Leltár [I]
TASKBAR_MESSENGER	Barátok [Alt+M]
TASKBAR_NEXT_QUICKSLOT	Következő gyors elérésű mező [Shift+Szám, Alt]
TASKBAR_PREV_QUICKSLOT	Előző gyors elérésű mező [Shift+Szám]
TASKBAR_SYSTEM	Opciók [ESC]
TASKBAR_FARM_SESSION	Farm Session [F6]
WHISPER_BAN	Letiltás
WHISPER_NAME	Suttogás
WHISPER_REPORT	
WHISPER_SEND	Küld
YES	Igen
ZONE_MAP	Nagy térkép
OPTION_SHADOW_QUALITY	Shadow quality
OPTION_SHADOW_QUALITY_AVERAGE	Medium
OPTION_SHADOW_QUALITY_AVERAGE_TOOLTIP	Medium shadow quality
OPTION_SHADOW_QUALITY_BAD	Low
OPTION_SHADOW_QUALITY_BAD_TOOLTIP	Low shadow quality
OPTION_SHADOW_QUALITY_GOOD	High
OPTION_SHADOW_QUALITY_GOOD_TOOLTIP	High shadow quality
OPTION_SHADOW_TARGET	Target shadow
OPTION_SHADOW_TARGET_ALL	4
OPTION_SHADOW_TARGET_ALL_TOOLTIP	Shadows for all targets
OPTION_SHADOW_TARGET_GROUND	2
OPTION_SHADOW_TARGET_GROUND_AND_SOLO	3
OPTION_SHADOW_TARGET_GROUND_AND_SOLO_TOOLTIP	Background shadows and player shadows
OPTION_SHADOW_TARGET_GROUND_TOOLTIP	Background
OPTION_SHADOW_TARGET_NONE	1
OPTION_SHADOW_TARGET_NONE_TOOLTIP	No shadow
DESTROY	Megsemmisít
SYSTEM_MOVE_CHANNEL	Change Csatorna
PASSWORD_RESTART	Jelszó megváltoztatása	
SALVEAZA_CONT	Mentés	
LIBERACCOUNT	Üres	
CONNECT_CONTF1	Mentés 1	
CONNECT_CONTF2	Mentés 2	
CONNECT_CONTF3	Mentés 3	
CONNECT_CONTF4	Mentés 4
FREE	Üres
OPTION_SETTING	Beállítás
PICK_UP	Felszedés
PICK_UP_TITLE	FELSZEDÉSI SZŰRŐ
PICK_UP_TITLE_WEAPON	FEGYVER
PICK_UP_TITLE_ARMOR	PÁNCÉL
PICK_UP_TITLE_MODE	FELSZEDÉSI MÓD
PICK_UP_TITLE_OTHER	EGYÉB
PICK_UP_TITLE_SIZE	MÉRET
PICK_UP_TITLE_REFINE	NEMESÍTÉS
PICK_UP_TITLE_LEVEL	SZINT
PICK_UP_WEAPON_SWORD	KARD
PICK_UP_WEAPON_DAGGER	TŐR
PICK_UP_WEAPON_BOW	ÍJ
PICK_UP_WEAPON_TWO_HAND	KÉTKEZES
PICK_UP_WEAPON_BELL	CSENGŐ
PICK_UP_WEAPON_FAN	LEGYEZŐ
PICK_UP_WEAPON_ARROW	NYÍLVESSZŐ
PICK_UP_ARMOR_BODY	TEST
PICK_UP_ARMOR_HEAD	FEJ
PICK_UP_ARMOR_SHIELD	PAJZS
PICK_UP_ARMOR_WRIST	CSUKLÓ
PICK_UP_ARMOR_FOOT	LÁB
PICK_UP_ARMOR_NECK	NYAK
PICK_UP_ARMOR_EAR	FÜL
PICK_UP_MODE_SINGLE	EGYENKÉNT
PICK_UP_MODE_ALL	ÖSSZES
PICK_UP_OTHER_METIN	METIN
PICK_UP_OTHER_YANG	YANG
PICK_UP_OTHER_SKILLBOOK	KÉPESSÉGKÖNYV
PICK_UP_OTHER_CHEST	AJÁNDÉKDOBOZ
PICK_UP_OTHER_BELT	ÖV
PICK_UP_OTHER_POLY	ÁTVÁLTOZÁS
PICK_UP_OTHER_RING	GYŰRŰ
PICK_UP_OTHER_POTION	BÁJITAL
PICK_UP_OTHER_MATERIAL	ANYAG
PICK_UP_SIZE_SMALL	KICSI
PICK_UP_SIZE_MID	KÖZEPES
PICK_UP_SIZE_BIG	NAGY
