ACCEPT	Akceptovat
MESSENGER_DELETE_FRIEND	Smazat pøátele
MESSENGER_MOBILE	Poslat SMS
MESSENGER_OPEN_GUILD	Otevøít okno cechu
MESSENGER_TITLE	Pøátelé
MESSENGER_USE_GUILD_MOVE_SKILL	Pouij cechovní schopnost pohybu
MESSENGER_WHISPER	Šeptat
MINIMIZE	Minimalizovat
MOUSEBUTTON_ATTACK	Útoèit
MOUSEBUTTON_AUTO_ATTACK	Automaticky útoèit
MOUSEBUTTON_CAMERA	Kamera
MOUSEBUTTON_SKILL	Schopnosti
MUSICLIST_TITLE	Vıbìr hudby
NO	Ne
OK	OK
OPTION_ALWAYS_SHOW_NAME	Jméno
OPTION_ALWAYS_SHOW_NAME_OFF	omezen
OPTION_ALWAYS_SHOW_NAME_ON	vdy
OPTION_BLOCK	Blokovat
OPTION_BLOCK_EXCHANGE	Obchodovat
OPTION_BLOCK_FRIEND	Pøátelé
OPTION_BLOCK_GUILD	Cech
OPTION_BLOCK_PARTY	Skupina
OPTION_BLOCK_PARTY_REQUEST	Dotaz
OPTION_BLOCK_WHISPER	Šeptat
OPTION_CAMERA_DISTANCE	Kamera
OPTION_CAMERA_DISTANCE_LONG	Daleko
OPTION_CAMERA_DISTANCE_SHORT	Blízko
OPTION_DELETE_MOBILE_BUTTON	Smazat èíslo mobilu
OPTION_EFFECT	Zobrazení zásahù
OPTION_ENV_EFFECT	Prostøedí
OPTION_ENV_EFFECT_OFF	Vyp.
OPTION_ENV_EFFECT_ON	Zap.
OPTION_FOG	Mlha
OPTION_FOG_DENSE	Hodnì
OPTION_FOG_LIGHT	Málo
OPTION_FOG_MIDDLE	Støednì
OPTION_INPUT_MOBILE_BUTTON	Vloit èíslo mobilu
OPTION_MOBILE	Mobil
OPTION_MOB_INFO	Info o pøíšeøe
OPTION_MOB_INFO_AGGR	Agresivní
OPTION_MOB_INFO_LEVEL	Úroveò
OPTION_MUSIC	Hudba
OPTION_MUSIC_CHANGE	Zmìnit
OPTION_MUSIC_DEFAULT_THEMA	Standardní titul Metinu2
OPTION_NAME_COLOR	Název barvy
OPTION_NAME_COLOR_EMPIRE	Barva øíše
OPTION_NAME_COLOR_NORMAL	Normální
OPTION_NIGHT_MODE	Noc
OPTION_NIGHT_MODE_OFF	Vyp.
OPTION_NIGHT_MODE_ON	Zap.
OPTION_PVPMODE	Modus PvP
OPTION_PVPMODE_FREE	Volnı
OPTION_PVPMODE_FREE_TOOLTIP	Smíš útoèit na všechny hráèe
OPTION_PVPMODE_GUILD	Cech
OPTION_PVPMODE_GUILD_TOOLTIP	Smíš útoèit na všechny hráèe kromì èlenù vlastního cechu.
OPTION_PVPMODE_PEACE	Mír
OPTION_PVPMODE_PEACE_TOOLTIP	Nemùeš zaútoèit na hráèe z tvého království.
OPTION_PVPMODE_REVENGE	Nepøátelsky
OPTION_PVPMODE_REVENGE_TOOLTIP	Mùeš útoèit pouze hráèe s jinım smıšlením.
OPTION_SALESTEXT	Jméno obchodu
OPTION_SALESTEXT_VIEW_OFF	skrıt
OPTION_SALESTEXT_VIEW_ON	ukázat
OPTION_SNOW_MODE	Snìení
OPTION_SNOW_MODE_OFF	Vyp.
OPTION_SNOW_MODE_ON	Zap.
OPTION_SNOW_TEXTURE_MODE	Sníh
OPTION_SNOW_TEXTURE_MODE_OFF	Vyp.
OPTION_SNOW_TEXTURE_MODE_ON	Zap.
OPTION_SOUND	Efekty
OPTION_TARGET_BOARD	Cílové menu
OPTION_TARGET_BOARD_NO_VIEW	Zavøít
OPTION_TARGET_BOARD_VIEW	Zobrazit
OPTION_TILING	Grafická pamì
OPTION_TILING_APPLY	Pouít
OPTION_TILING_CPU	CPU
OPTION_TILING_GPU	GPU
OPTION_TITLE	Nastavení
OPTION_VIEW_CHAT	Øádek v chatu
OPTION_VIEW_CHAT_OFF	skrıt
OPTION_VIEW_CHAT_ON	ukázat
PARTY_MEMBER_INFO_NAME	Jméno èlena cechu
PASSWORD_DESC_1	Zadejte své heslo
PASSWORD_DESC_2	k otevøení skladu.
PASSWORD_DESC_3	Ji sis zmìnil heslo?
PASSWORD_DESC_4	Pokud ne, heslo je '000000'.
PASSWORD_DESC_5	Své heslo si zmìò ve skladišti.
PASSWORD_TITLE	Pamì- PW
PICK_MONEY_TITLE	Dìlit
PRIVATE_SHOP_CLOSE_BUTTON	Zavøít obchod
PRIVATE_SHOP_NAME	Jméno obchodu
PRIVATE_SHOP_TITLE	Otevøít obchod
REFINE_COST	Náklady na zlepšení: 0 Yangù
REFINE_INFO	Pravdìpodobnost úspìšného zlepšení: 100 %
REFINE_MONEY	Poplatek za zušlechtìní
REFINE_SELECT	Zušlechtìní
REFINE_TTILE	Zlepšení
REPORT_VIOLENT_WHISPER	
RESTART_HERE	Zde znovu spustit
RESTART_TOWN	Znovu spustit ve mìstì
SAFE_CHANGE_PASSWORD	Zmìnit heslo
SAFE_TITLE	Sklad
SELECT_ATT_GRADE	SIL
SELECT_CREATE	Vytvoøit
SELECT_DELETE	Smazat
SELECT_DEX_GRADE	POH
SELECT_EMPIRE_NAME	Název království
SELECT_EXIT	Ukonèit
SELECT_HP	VIT
SELECT_LEVEL	Úroveò
SELECT_METIN_STONE_TITLE	Zvolit Kámen ducha
SELECT_NAME	Jméno
SELECT_NO_GUILD	Bez cechu
SELECT_PLAYTIME	Trvání hry
SELECT_SELECT	Start
SELECT_SP	INT
SELECT_TITLE	Zvolit titul
SHOP_BUY	Koupit
SHOP_SELL	Prodat
SHOP_TITLE	Obchod
SKILL_SUPPORT_TITLE	Standardní schopnosti
STEP	Stupeò èirosti
STEP_SELECT	Stupeò èirosti
STRENGTH	Zesílení
STRENGTH_SELECT	Úroveò
SYSTEMOPTION_TITLE	Nastavení systému
SYSTEM_CHANGE	Zmìnit postavu
SYSTEM_EXIT	Ukonèit hru
SYSTEM_HELP	Nápovìda
SYSTEM_LOGOUT	Odhlásit se
SYSTEM_MALL	Item Shop
SYSTEM_OPTION	Nastavení systému
TASKBAR_CHARACTER	Postava [C/V/B/N]
TASKBAR_CHAT	Okno s chatem [Enter]
TASKBAR_DISABLE	Deaktivováno
TASKBAR_DRAGON_SOUL	Alchymie Draèích kamenù
TASKBAR_EXPAND	Rozšíøit okno
TASKBAR_INVENTORY	Inventáø [I]
TASKBAR_MESSENGER	Pøátelé [Alt+M]
TASKBAR_NEXT_QUICKSLOT	Nejbliší pole rychlého pøístupu [Shift+èíslice, Alt]
TASKBAR_PREV_QUICKSLOT	Pøedchozí pole rychlého pøístupu [Shift+èíslice]
TASKBAR_SYSTEM	Nastavení [ESC]
WHISPER_BAN	Blokovat
WHISPER_NAME	Šeptat
WHISPER_REPORT	
WHISPER_SEND	Poslat
YES	Ano
ZONE_MAP	Velká mapa
