ACCEPT	Conferma
DRAGONSOUL_TAP_TITLE_2	Rubino del drago
DRAGONSOUL_TAP_TITLE_3	Giada del drago
DRAGONSOUL_TAP_TITLE_4	Zaffiro del drago
DRAGONSOUL_TAP_TITLE_5	Granato del drago
DRAGONSOUL_TAP_TITLE_6	Onice del drago
DRAGONSOUL_TITLE	Alchimia delle Pietre del drago
EMPIRE_EXIT	Fine
EMPIRE_NEXT	Avanti
EMPIRE_PREV	Indietro
EMPIRE_SELECT	Scegli
EXCHANGE_ACCEPT	Accetta
EXCHANGE_TITLE	Commercio
GAMEOPTION_TITLE	Opzioni di gioco
GAME_EXIT_OBSERVER	Termina modalità spettatore
GAME_HELP	Aiuto
GAME_QUEST	Rinuncia
GAME_SKILL_UP	Aumenta abilità.
GAME_STAT_UP	Aumenta status
GRADE	Classe
GRADE_SELECT	Classe
GUILD_BASENAME	Nome base
GUILD_BOARD_ID	Nome
GUILD_BOARD_REFRESH	Attualizzare(F5)
GUILD_BOARD_TEXT	Messaggio
GUILD_BUILDING_CATEGORY_TITLE	Unità di costruzione
GUILD_BUILDING_CHANGE	Cambia
GUILD_BUILDING_DIRECTION	Orientamento
GUILD_BUILDING_GRADE	Posizione
GUILD_BUILDING_INFO	Info edifici e costi
GUILD_BUILDING_LIST_TITLE	Lista edifici
GUILD_BUILDING_LOG	Tronco
GUILD_BUILDING_NAME	Nome edificio
GUILD_BUILDING_OPERATE	Uso
GUILD_BUILDING_PLY	Compensato
GUILD_BUILDING_POSITION	Posizione
GUILD_BUILDING_PREVIEW	Anteprima
GUILD_BUILDING_PRICE	Prezzo
GUILD_BUILDING_REFRESH	Attualizzare(F5)
GUILD_BUILDING_STONE	Pietra fond.
GUILD_BUILDING_TITLE	Edificio della Gilda
GUILD_CRYSTAL	Cristallo
GUILD_DEPOSIT	Numeri
GUILD_DROP_RESOURCE1	qui
GUILD_DROP_RESOURCE2	Far cadere risorse
GUILD_GEM	Pietre preziose
GUILD_GRADE_CHANGE_GRADE_NAME	Nuovo nome di Rango
GUILD_GRADE_NUM	Nr.
GUILD_GRADE_PERMISSION_DELETE	Estrometti
GUILD_GRADE_PERMISSION_JOIN	Invita
GUILD_GRADE_PERMISSION_NOTICE	Scrivi
GUILD_GRADE_PERMISSION_SKILL	Abilità
GUILD_GRADE_RANK	Rango
GUILD_GRADE_WRITE	Scrivi
GUILD_INFO	Informazioni della Gilda
GUILD_INFO_CUR_EXP	Esperienza
GUILD_INFO_DECALRE_WAR	Dichiara guerra
GUILD_INFO_ENEMY_GUILD	Gilda nemica
GUILD_INFO_ENEMY_GUILD_EMPTY	Nessuno
GUILD_INFO_LEVEL	Livello Gilde
GUILD_INFO_MARK	Simbolo delle Gilde
GUILD_INFO_MASTER	Capo
GUILD_INFO_MASTER_VALUE	Capo
GUILD_INFO_MEMBER_AVG_LEVEL	Livello medio
GUILD_INFO_MEMBER_NUM	Numero di membri
GUILD_INFO_NAME	Nome della Gilda
GUILD_INFO_NAME_VALUE	Questo è il nome di una Gilda
GUILD_INFO_OFFER_EXP	Invest.
GUILD_INFO_REST_EXP	Esperienza necessaria
GUILD_INFO_UPLOAD_MARK	Carica Stemma
GUILD_INFO_UPLOAD_SYMBOL	Carica bandiera
GUILD_MARK	Stemma della gilda
GUILD_MEMBER_JOB	Classe
GUILD_MEMBER_KNIGHT	Capo
GUILD_MEMBER_LEVEL	Livello
GUILD_MEMBER_NAME	Nome
GUILD_MEMBER_RANK	Posizione
GUILD_MEMBER_SPECIFIC_GRAVITY	Invest.
GUILD_METIN_STONE	Pietra spirituale
GUILD_MINENAL	Minerale
GUILD_MONEY	Yang
GUILD_NAME	Gilda
GUILD_RESOURCE_INFO	Informazioni delle risorse
GUILD_SKILL_ACTIVE	Attivo
GUILD_SKIlL_HEAL_GSP	Ricaricare
GUILD_SKILL_PASSIVE	Passivo
GUILD_SKILL_POWER	Energia
GUILD_SKILL_STATE	Abilità della Gilda
GUILD_SYMBOL	Stemma della Gilda
GUILD_WAR_ACCEPT	Accettare dichiarazione di guerra
GUILD_WAR_BATTLE_TYPE	Tipo di lotta
GUILD_WAR_CTF	Bandiera
GUILD_WAR_DECLARE	Dichiarare guerra
GUILD_WAR_ENEMY	Avversario
GUILD_WAR_NORMAL	Campo
GUILD_WAR_WARP	Arena
GUILD_WATER	Acqua
GUILD_WATER_STONE	Pietra acquatica
GUILD_WITHDRAW	Prendi
HELP_ATTACK_KEY	Attacco: tasto sinistro del mouse o barra spaziatrice
HELP_CHANGE_PK_MODE	Cambiare il tipo di attacco: modifica impostazioni del tasto sinistro del mouse
HELP_CHARACTER_BUTTON1	(Finestra del personaggio, finestra dell'inventario,
HELP_CHARACTER_BUTTON2	lista degli amici e opzioni)
HELP_CONTROL_CAMERA_BY_MIDDLEBUTTON	Modalità telecamera: tasto centrale o destro del mouse
HELP_CONTROL_CAMERA_BY_RIGHTBUTTON	Modalità telecamera: tasto destro o centrale del mouse
HELP_EXP	Esperienza
HELP_FURY	Item Shop Ingame
HELP_GUILD_WINDOW	Aprire la finestra della Gilda: Alt + G
HELP_HELP	Mostra aiuto: H
HELP_HP	Punti vita (HP)
HELP_MESSENGER_WINDOW	Aprire la lista degli amici: Alt + M
HELP_MOUSE_LEFT	Funzione del tasto sinistro del mouse
HELP_MOUSE_RIGHT	Funzione del tasto destro del mouse
HELP_MOVE_KEY	Movimento personaggio: W, S, A, D o tasti freccia
HELP_OPEN_CHARACTER	Finestra del personaggio: C
HELP_OPEN_CHAT	Aprire la finestra di chat: invio
HELP_OPEN_INVENTORY	Aprire la finestra dell'inventario: I
HELP_OPEN_LOG	Aprire il protocollo chat (log): L
HELP_OPEN_MINIMAP	Aprire la mini-mappa: Shift + M
HELP_OPEN_QUEST	Aprire la finestra delle missioni: N
HELP_OPEN_SKILL	Aprire la finestra delle abilità: V
HELP_OPEN_WHISPER	Aprire la chat privata: shift + invio
HELP_OPEN_ZONEMAP	Aprire la mappa grande: M
HELP_PICK_ITEM	Raccogliere oggetti: \ o z o il tasto sinistro del mouse
HELP_QUICKSLOT	Campi di accesso rapido
HELP_SCREEN_CAPTURE	Fare uno screenshot: Stamp o Print (l'immagine sarà salvata nella cartella "Metin2\screenshot")
HELP_SHOW_ALL_NAME	Visualizza nome: Alt
HELP_SP	Punti Mana (PM)
HELP_SYSTEM_BUTTON	Tasti di sistema
INVENTORY_PAGE_BUTTON_TOOLTIP_1	1° Inventario
INVENTORY_PAGE_BUTTON_TOOLTIP_2	2° Inventario
INVENTORY_TITLE	Inventario
ITEM_MALL	Item Shop
LOAD_ERROR	Il file dati è rovinato. Reinstalla il Client. Clicca ora il tasto ESC.
LOGIN_CONNECT	Collegare
LOGIN_CONNECTING	Stai per essere collegato al server.
LOGIN_DEFAULT_SERVERADDR	Nome del server, Canale 1
LOGIN_EXIT	Termina
LOGIN_REGION_TITLE	Luogo dove deve essere spedito il conto
LOGIN_SELECT_BUTTON	Scegli
LOGIN_SELECT_EXIT	Termina
LOGIN_SELECT_OK	Ok
LOGIN_SELECT_TITLE	Scegli server
MALL_PASSWORD_TITLE	Password
MALL_TITLE	Magazzino dell'Item Shop
MARKET_TITLE	Negozio
MARKLIST_REFRESH	Attualizza
MARKLIST_TITLE	Registra il logo della Gilda
MESSAGE	Questo è un messaggio
MESSENGER_ADD_FRIEND	Aggiungi amico
MESSENGER_DELETE_FRIEND	Cancella amico
MESSENGER_MOBILE	Invia SMS
MESSENGER_OPEN_GUILD	Apri la finestra della Gilda
MESSENGER_TITLE	Amici
MESSENGER_USE_GUILD_MOVE_SKILL	Utilizza l'abitlità di movimento della Gilda
MESSENGER_WHISPER	Chat privata
MINIMIZE	Minimizza
MOUSEBUTTON_ATTACK	Attacca
MOUSEBUTTON_AUTO_ATTACK	Attacca automaticamente
MOUSEBUTTON_CAMERA	Videocamera
MOUSEBUTTON_SKILL	Abilità.
MUSICLIST_TITLE	Scelta della musica
NO	No
OK	Ok
OPTION_ALWAYS_SHOW_NAME	Nome
OPTION_ALWAYS_SHOW_NAME_OFF	Limitato
OPTION_ALWAYS_SHOW_NAME_ON	Sempre
OPTION_BLOCK	Blocca
OPTION_BLOCK_EXCHANGE	Commercio
OPTION_BLOCK_FRIEND	Amici
OPTION_BLOCK_GUILD	Gilda
OPTION_BLOCK_PARTY	Gruppo
OPTION_BLOCK_PARTY_REQUEST	Richiesta
OPTION_BLOCK_WHISPER	Chat privata
OPTION_CAMERA_DISTANCE	Videocamera
OPTION_CAMERA_DISTANCE_LONG	Lontano
OPTION_CAMERA_DISTANCE_SHORT	Vicino
OPTION_DELETE_MOBILE_BUTTON	Cancella numero di cellulare
OPTION_EFFECT	Visualizzatore dei bersagli
OPTION_ENV_EFFECT	Ambiente
OPTION_ENV_EFFECT_OFF	Off
OPTION_ENV_EFFECT_ON	On
OPTION_FOG	Nebbia
OPTION_FOG_DENSE	Molto
OPTION_FOG_LIGHT	Poco
OPTION_FOG_MIDDLE	Media
OPTION_INPUT_MOBILE_BUTTON	Inserisci il numero di cellulare
OPTION_MOBILE	Cellulare
OPTION_MOB_INFO	Info mostri
OPTION_MOB_INFO_AGGR	Aggressivo
OPTION_MOB_INFO_LEVEL	Livello
OPTION_MUSIC	Musica
OPTION_MUSIC_CHANGE	Cambia
OPTION_MUSIC_DEFAULT_THEMA	Titolo standard di Metin2
OPTION_NAME_COLOR	Colore Nome
OPTION_NAME_COLOR_EMPIRE	Nome del regno
OPTION_NAME_COLOR_NORMAL	Normale
OPTION_NIGHT_MODE	Notte
OPTION_NIGHT_MODE_OFF	Off
OPTION_NIGHT_MODE_ON	On
OPTION_PVPMODE	Modo PvP
OPTION_PVPMODE_FREE	Libero
OPTION_PVPMODE_FREE_TOOLTIP	Puoi attaccare tutti i giocatori.
OPTION_PVPMODE_GUILD	Gilda
OPTION_PVPMODE_GUILD_TOOLTIP	Puoi attaccare tutti i giocatori esclusi membri della Gilda.
OPTION_PVPMODE_PEACE	Pace
OPTION_PVPMODE_PEACE_TOOLTIP	Non puoi attaccare i giocatori del tuo regno.
OPTION_PVPMODE_REVENGE	Ostile
OPTION_PVPMODE_REVENGE_TOOLTIP	Puoi attaccare solo giocatori con gradi diversi dal tuo.
OPTION_SALESTEXT	Nome del negozio
OPTION_SALESTEXT_VIEW_OFF	nascondi
OPTION_SALESTEXT_VIEW_ON	visualizza
OPTION_SNOW_MODE	Nevicata
OPTION_SNOW_MODE_OFF	Off
OPTION_SNOW_MODE_ON	On
OPTION_SNOW_TEXTURE_MODE	Neve
OPTION_SNOW_TEXTURE_MODE_OFF	Off
OPTION_SNOW_TEXTURE_MODE_ON	On
OPTION_SOUND	Effetti
OPTION_TARGET_BOARD	Menù bersaglio
OPTION_TARGET_BOARD_NO_VIEW	Chiudi
OPTION_TARGET_BOARD_VIEW	Visualizza
OPTION_TILING	Memoria video
OPTION_TILING_APPLY	Usa
OPTION_TILING_CPU	CPU
OPTION_TILING_GPU	GPU
OPTION_TITLE	Opzioni
OPTION_VIEW_CHAT	Righe di Chat
OPTION_VIEW_CHAT_OFF	nascondi
OPTION_VIEW_CHAT_ON	visualizza
PARTY_MEMBER_INFO_NAME	Nome dei membri del gruppo
PASSWORD_DESC_1	Digita una password,
PASSWORD_DESC_2	per aprire il magazzino.
PASSWORD_DESC_3	Hai già cambiato la password?
PASSWORD_DESC_4	In caso non l'avessi fatto, la tua password è: "000000".
PASSWORD_DESC_5	Cambia la tua password nel magazzino.
PASSWORD_TITLE	Salva-PW
PICK_MONEY_TITLE	Dividi
PRIVATE_SHOP_CLOSE_BUTTON	Chiudi negozio
PRIVATE_SHOP_NAME	Nome del negozio
PRIVATE_SHOP_TITLE	Crea un negozio privato
REFINE_COST	Costi di miglioramento: 0 Yang
REFINE_INFO	Probabilità di successo del miglioramento: 100%
REFINE_MONEY	Tassa sul raffinamento
REFINE_SELECT	Raffinamento
REFINE_TTILE	Miglioramenti
REPORT_VIOLENT_WHISPER	
RESTART_HERE	Ricomincia qui
RESTART_TOWN	Ricomincia nella città.
SAFE_CHANGE_PASSWORD	Modifica password
SAFE_TITLE	Magazzino
SELECT_ATT_GRADE	STR
SELECT_CREATE	Crea
SELECT_DELETE	Cancella
SELECT_DEX_GRADE	DEX
SELECT_EMPIRE_NAME	Nome del Regno
SELECT_EXIT	Termina
SELECT_HP	VIT
SELECT_LEVEL	Livello
SELECT_METIN_STONE_TITLE	Scegli pietra spirituale
SELECT_NAME	Nome
SELECT_NO_GUILD	Nessuna Gilda
SELECT_PLAYTIME	Tempo di gioco
SELECT_SELECT	Start
SELECT_SP	INT
SELECT_TITLE	Scegli titolo
SHOP_BUY	Compra
SHOP_SELL	Vendi
SHOP_TITLE	Negozio
SKILL_SUPPORT_TITLE	Abilità standard
STEP	Grado di chiarezza
STEP_SELECT	Grado di purezza
STRENGTH	Rinforza
STRENGTH_SELECT	Livello
SYSTEMOPTION_TITLE	Opzioni di sistema
SYSTEM_CHANGE	Cambia personaggio
SYSTEM_EXIT	Termina gioco
SYSTEM_HELP	Aiuto
SYSTEM_LOGOUT	Sconnetti
SYSTEM_MALL	Item Shop
SYSTEM_OPTION	Opzioni di sistema
TASKBAR_CHARACTER	Personaggio [C/V/B/N]
TASKBAR_CHAT	Finestra di Chat [Invio]
TASKBAR_DISABLE	Disattiva
TASKBAR_DRAGON_SOUL	Alchimia delle Pietre del drago
TASKBAR_EXPAND	Ingrandisci la finestra
TASKBAR_INVENTORY	Inventario [I]
TASKBAR_MESSENGER	Amici [Alt+M]
TASKBAR_NEXT_QUICKSLOT	Prossimo campo di utilizzo veloce [Shift + Numero, Alt]
TASKBAR_PREV_QUICKSLOT	Precedente campo di utilizzo veloce [Shift + Numero]
TASKBAR_SYSTEM	Opzioni[ESC]
WHISPER_BAN	Blocca
WHISPER_NAME	Sussurra
WHISPER_REPORT	
WHISPER_SEND	Invia
YES	Sì.
ZONE_MAP	Mappa grande
