AFF_LOVE_POINT	Punto amore: %d%%
CHANNEL_SELECT_CHANNEL	Scegli il canale
CHANNEL_SELECT_REGION	Scegli il luogo per il conto
CHANNEL_SELECT_SERVER	Scegli il server
CHANNEL_TEST_SERVER	Testa il server
CHANNEL_TEST_SERVER_ADDR	Test %s:%d
CHARACTER_CREATE_MODE	Crea personaggio
CHARACTER_SELECT_MODE	Seleziona personaggio
CHAT_ALL	Tutti
CHAT_BLOCK	Blocca
CHAT_GUILD	Gilda
CHAT_INFORMATION	Info
CHAT_INSULT_STRING	La frase contiene parole proibite
CHAT_LOG	Mostra i messaggi vecchi [L]
CHAT_LOG_TITLE	Protocollo della chat
CHAT_NORMAL	Normale
CHAT_NOTICE	Annuncio
CHAT_PARTY	Gruppo
CHAT_SEND_CHAT	Invia Chat
CHAT_SEND_MEMO	Invia Chat privata [Shift+Invio]
CHAT_SHOUT	Chiama
CHAT_SHOUT_LIMIT	Puoi chiamare ogni 15 secondi.
CHAT_WHISPER	Chat privata
COMB_ALREADY_APPEND	
COMB_CANT_APPEND_ITEM	Questo oggetto non può essere utilizzato.
COMB_CANT_APPEND_SEALED_ITEM	Non si possono utilizzare oggetti legati all'anima.
COMB_COST	Prezzo: %s
COMB_IS_CONTINUE_PROCESS	Desideri continuare?
COMB_NOTICE	Non puoi aprire un negozio privato mentre stai scambiando dei libri.
COMB_NOTICE_NOT_OPEN	Non puoi scambiar libri mentre hai un negozio privato aperto.
COMB_NOT_ALL_SLOT_APPEND_ITEM	Hai bisogno di un 2° costume per poter trasferire dei bonus.
COMB_NOT_FULL_BOOK	No, non ci siamo. Come ti ho già spiegato, sono disposto a fare lo scambio solo se mi porti 10 libri.
COMB_NOT_ITEM_IN_INVENTORY	Non puoi utilizzare oggetti già in uso.
COMB_NOT_MEDIUM_ITEM	Questo oggetto non può essere utilizzato.
COMB_WILL_REMOVE_MATERIAL	Il costume 2 sarà distrutto.
CREATE_ERROR_GM_NAME	Nel nome del personaggio non puoi usare ,GM‘.
CREATE_ERROR_INSULT_NAME	Questo nome non è consentito.
CREATE_ERROR_LIMIT_LEVEL	Il tuo personaggio deve aver raggiunto almeno il livello 80.
CREATE_ERROR_TIME_LIMIT	Puoi solo creare un personaggio ogni 30 secondi.
CREATE_ERROR_WRONG_STRING	Il nome del personaggio non può contenere caratteri particolari.
CREATE_EXIST_SAME_NAME	Questo nome è usato da un altro personaggio.
CREATE_FAILURE	Non puoi creare il personaggio.
CREATE_FULL	Non puoi più creare alcun personaggio.
CREATE_GM_NAME	GM
CREATE_INPUT_NAME	Inserisci il nome.
CREATE_PLUS_STAT	Ci sono ancora punti status disponibili.
DAY	Giorni
DONT_USE_ITEM_WHEN_SHOW_CONFIRM	Non è possibile spostare gli oggetti mentre è in corso una richiesta.
DO_YOU_BUY_ITEM1	Desideri comprare %s per %s ?
DO_YOU_BUY_ITEM2	Desideri comprare %s %s per %s ?
DO_YOU_DROP_MONEY	Desideri lasciar cadere %d Yang?
DO_YOU_SELL_ITEM1	Desideri vendere %s per %s ?
DO_YOU_SELL_ITEM2	Desideri vendere %s %s per %s ?
DRAGON_SOUL_CANNOT_REFINE	Non puoi raffinare questa Pietra del Drago.
DRAGON_SOUL_CANNOT_REFINE_MORE	Questa Pietra del Drago ha già raggiunto il livello più alto.
DRAGON_SOUL_EQUIP_WARNING1	È difficile eliminare nuovamente una Pietra del Drago.
DRAGON_SOUL_EQUIP_WARNING2	Vorresti continuare?
DRAGON_SOUL_EXPIRED	Pietra del Drago scaduta
DRAGON_SOUL_INVALID_DRAGON_SOUL	È la Pietra del Drago sbagliata.
DRAGON_SOUL_IS_NOT_DRAGON_SOUL	Questa non è una Pietra del Drago.
DRAGON_SOUL_NOT_DRAGON_SOUL_REFINE_STONE	Non è la giusta Pietra del Drago.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL	Non hai materiale a sufficienza per il raffinamento.
DRAGON_SOUL_NOT_MATCHED_SLOT	La Pietra del Drago non va bene per questo slot.
DRAGON_SOUL_STEP_LEVEL1	Purezza: opaco,
DRAGON_SOUL_STEP_LEVEL2	Purezza: chiaro,
DRAGON_SOUL_STEP_LEVEL3	Purezza: limpido,
DRAGON_SOUL_STEP_LEVEL4	Purezza: brillante,
DRAGON_SOUL_STEP_LEVEL5	Purezza: eccellente,
DRAGON_SOUL_STRENGTH	Livello: +%d 	SA
DRAGON_SOUL_UNEQUIP_WARNING1	La Pietra del Drago potrebbe distruggersi in questo processo.
DRAGON_SOUL_UNEQUIP_WARNING2	Vorresti continuare?
DRAGON_SOUL_UNMATCHED_SLOT	Questo è lo slot sbagliato.
DRAGON_SOUL_UNQUALIFIED	Non puoi ancora utilizzare l'alchimia delle Pietre del drago.
DROP_ITEM_FAILURE_EQUIP_ITEM	Non puoi lasciar cadere un oggetto che è in uso.
DROP_ITEM_FAILURE_PRIVATE_SHOP	Non puoi lasciar cadere un oggetto se hai un negozio privato aperto.
DROP_MONEY_FAILURE_1000_OVER	Puoi lasciar cadere massimo 999 Yang.
EMOTION_ANGRY	Arrabbiato
EMOTION_ATTRACTIVE	Seduzione
EMOTION_BANTER	Scherzoso
EMOTION_CHEERS_1	Esulto 1
EMOTION_CHEERS_2	Esulto 2
EMOTION_CHEERUP	Gioire
EMOTION_CHOOSE_ONE	Scegli bersaglio.
EMOTION_CLAP	Applauso
EMOTION_CLAP_KISS	Bacio
EMOTION_CONGRATULATION	Approvazione
EMOTION_DANCE_1	Ballare 1
EMOTION_DANCE_2	Ballare 2
EMOTION_DANCE_3	Ballare 3
EMOTION_DANCE_4	Ballare 4
EMOTION_DANCE_5	Ballare 5
EMOTION_DANCE_6	Gumsan Style
EMOTION_FORGIVE	Perdono
EMOTION_FRENCH_KISS	Bacio con la lingua
EMOTION_JOY	Felicita'
EMOTION_SAD	Triste
EMOTION_SHY	Rifiuto
EMOTION_SLAP	Colpo
EMPIRE_A	Regno Shinsoo
EMPIRE_B	Regno Chunjo
EMPIRE_C	Regno Jinno
EMPIRE_SELECT_MODE	Seleziona regno
EXCHANGE_CANNOT_GIVE	Quest'oggetto non è commerciabile.
EXCHANGE_CANT_EDIT_MONEY	Non puoi modificare il prezzo ora.
EXCHANGE_FAILURE_EQUIP_ITEM	Non puoi scambiare gli oggetti in uso.
EXCHANGE_MONEY	Prezzo
EXCHANGE_TITLE	Commercia con %s
FISHING_FAILURE	Hai perso l'esca.
FISHING_NOTIFY1	Sembrerebbe che %s abbia abboccato.
FISHING_NOTIFY2	Sembrerebbe che %s sia stato catturato.
FISHING_SUCCESS1	Ne hai catturati %s!
FISHING_SUCCESS2	Hai pescato %s!
FISHING_UNKNOWN	Qualcosa ha abboccato ma non sai cosa sia.
FISHING_WRONG_PLACE	Qui non posso pescare.
FOR_FEMALE	Per Donne
FOR_MALE	Per Uomini
GAME_CANNOT_MINING	Non puoi estrarre minerali mentre sei a cavallo.
GAME_CANNOT_PICK_ITEM	Non puoi raccogliere l'oggetto perchè non lo hai razziato tu.
GAME_INIT_ERROR_CURSOR	Non si è potuto creare la freccia del mouse.
GAME_INIT_ERROR_DIRECTX	DirectX 8.1 deve essere installata per poter eseguire il gioco.\nInstalla DirectX 8.1 o maggiore.
GAME_INIT_ERROR_GRAPHICS_BAD_PERFORMANCE	Non è stata trovata nessuna scheda grafica compatibile con il gioco.\nControlla che la tua scheda VGA sia installata correttamente.
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	Non è stato possibile eseguire la grafica.\nControlla se possiedi una scheda VGA.\nIn alternativa puoi attivare l'accelerazione Hardware \n(Metti l'accelerazione Hardware al massimo \nPannello di controllo->Schermo->Impostazioni->Avanzate->Risoluzione problemi)
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	La scheda grafica del PC non supporta la modalità finestra in 32bit.\nModifica in modalità 16bit o usa la modalità a tutto schermo.
GAME_INIT_ERROR_ITEM_PROTO	I dati degli oggetti non sono disponibili.\nInstalla nuovamente il gioco.
GAME_INIT_ERROR_MAIN_WINDOW	Non è stato possibile creare la finestra principale.
GAME_INIT_ERROR_MOB_PROTO	I dati dei mostri non sono disponibili.\nInstalla nuovamente il gioco.
GAME_INIT_ERROR_NETWORK	Non è stato possibile creare la connessione.\nControlla la tua connessione ad internet.
GAME_PICK_MONEY	Hai ricevuto %d Yang.
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	L'altezza non è di 128 Pixel
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	L'altezza non è di 12 Pixel
GUILDMARK_UPLOADER_ERROR_16_WIDTH	La larghezza non è di 16 Pixel
GUILDMARK_UPLOADER_ERROR_64_WIDTH	La larghezza non è di 64 Pixel
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	Il gioco non supporta questa immagine.
GUILDMARK_UPLOADER_ERROR_PATH	Sposta il file nella cartella metin2/upload.
GUILDMARK_UPLOADER_ERROR_SELECT	Non hai scelto nessuna immagine.
GUILDWAR_CTF_TITLE	Conquista la bandiera
GUILDWAR_NORMAL_TITLE	Campo di battaglia
GUILDWAR_QUESTION_LINE_1	La Gilda %s ha dichiarato guerra alla tua Gilda.
GUILDWAR_QUESTION_LINE_2	Accetti? (%s)
GUILDWAR_UNKNOWN_TITLE	...
GUILDWAR_WARP_TITLE	Campo di battaglia
GUILD_BUILDING_GRADE	Posizione
GUILD_BUILDING_NAME	Nome della costruzione
GUILD_CANNOT_HEAL_GSP_ANYMORE	L'energia dello spirito del drago è completamente rigenerata.
GUILD_COMMENT	Scrivi
GUILD_CREATE_ERROR_INSULT_NAME	Nome della Gilda non consentito.
GUILD_DEFAULT_GRADE	Membro della Gilda
GUILD_DELETE	Cancella
GUILD_DEPOSIT	Deposita
GUILD_DO_YOU_HEAL_GSP	Desideri spendere %d Yang per rigenerare %d unità di spirito del drago?
GUILD_DO_YOU_JOIN	  ti ha invitato. Desideri entrare nella Gilda?
GUILD_EMPTY_AREA	Terra di nessuno
GUILD_ENEMY_GUILD_NAME	Nome della Gilda avversaria
GUILD_FACILITY	Edificio secondario
GUILD_GEM	Pietra preziosa
GUILD_HEADQUARTER	Edificio principale
GUILD_HEAL_GSP	Rigenera lo spirito del drago
GUILD_INFO_ENEMY_GUILD_EMPTY	Nessuno
GUILD_MARK_NOT_ENOUGH_LEVEL	È richiesto minimo livello 3
GUILD_NAME	Nome della Gilda
GUILD_NOT_ENOUGH_MATERIAL	Non possiedi abbastanza materiale per questo edificio.
GUILD_NOT_ENOUGH_MONEY	Non possiedi abbastanza Yang per questo edificio.
GUILD_NO_NOTICE_PERMISSION	Non sei autorizzato a fare un annuncio.
GUILD_OBJECT	Oggetti
GUILD_OFFER_EXP	Esperienza da investire
GUILD_SHORT_EXP	Non hai abbastanza punti esperienza.
GUILD_TILE_BASEINFO	Informazioni base
GUILD_TILE_BOARD	Lavagna
GUILD_TILE_GRADE	Amministra diritti
GUILD_TILE_INFO	Informazioni della Gilda
GUILD_TILE_MEMBER	Membro della Gilda
GUILD_TILE_SKILL	Abilità della Gilda
GUILD_VILLAGE_01	Miryang
GUILD_VILLAGE_02	Songpa
GUILD_VILLAGE_03	Daeyami
GUILD_WAR1	Area della Guerra tra Gilde
GUILD_WAR2	Area della Guerra tra Gilde
GUILD_WAR3	Area della Guerra tra Gilde
GUILD_WAR4	Area della Guerra tra Gilde
GUILD_WAR_LIMIT_30MIN	Tempo: 30 minuti
GUILD_WAR_REWARD_POTION	Ricompensa: Il vincitore riceve pozioni.
GUILD_WAR_USE_BATTLE_MAP	Usa il campo di battaglia della Gilda
GUILD_WAR_USE_NORMAL_MAP	Luogo: mappa normale
GUILD_WAR_WIN_CHECK_SCORE	Chi ha il risultato maggiore vince la guerra.
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	Conquista la bandiera dell'avversario
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	e portala alla tua base
GUILD_WAR_WIN_WIPE_OUT_GUILD	Per vincere distruggi tutti i tuoi avversari.
GUILD_WITHDRAW	Ritirata
GUILD_YOU_DO_NOT_JOIN	Non appartieni a nessuna Gilda
HORSE_HEALTH0	Morto
HORSE_HEALTH1	Denutrito
HORSE_HEALTH2	Affamato
HORSE_HEALTH3	Sazio
HORSE_LEVEL1	Cavallo normale
HORSE_LEVEL2	Cavallo da Battaglia
HORSE_LEVEL3	Cavallo militare
HOUR	Ore
HOW_MANY_ITEM_DO_YOU_DROP1	Desideri lasciar cadere %s ?
HOW_MANY_ITEM_DO_YOU_DROP2	Desideri lasciar cadere %s %d ?
INPUT_MATRIX_CARD_NUMBER	Inserire numer omatrix della carta
INPUT_MATRIX_CARD_TITLE	Matrix della carta
INPUT_PRIVATE_CODE_DIALOG_DESCRIPTION	Inserisci qui il codice che hai inserito nell'iscrizione
INPUT_PRIVATE_CODE_DIALOG_TITLE	Cancella personaggio
INVENTORY_DO_NOT_PACK_WARP_SCROLL	Il papiro del ritorno non può essere unito.
INVENTORY_REALLY_USE_ITEM	Vuoi usare l'item su questo oggetto?
JOB_ASSASSIN	Ninja
JOB_ASSASSIN0	Ninja principiante
JOB_ASSASSIN1	Forza del Ninja
JOB_ASSASSIN2	Morto vivente
JOB_SHAMAN	Shamano
JOB_SHAMAN0	Shamana principiante
JOB_SHAMAN1	Forza del Drago
JOB_SHAMAN2	Potenza del lampo
JOB_SURA	Sura
JOB_SURA0	Sura principiante
JOB_SURA1	Forza della Fata Morgana
JOB_SURA2	Forza della Magia Nera
JOB_WARRIOR	Guerriero
JOB_WARRIOR0	Guerriero principiante
JOB_WARRIOR1	Forza di Arahan
JOB_WARRIOR2	Forza del Partigiano
LEFT_TIME	Tempo rimanente
LOGIN_CONNECT_FAILURE	Errore di collegamento con il server.
LOGIN_CONNECT_SUCCESS	Sei stato collegato al server.
LOGIN_CONNETING	Stai per essere collegato al server.
LOGIN_FAILURE_ALREAY	Il tuo account è già collegato.
LOGIN_FAILURE_BE_SAME_KEY	Problema d'iscrizione
LOGIN_FAILURE_BLOCK_ID	Il tuo account è bloccato.
LOGIN_FAILURE_BLOCK_LOGIN	Sei pregato di scegliere un altro server!
LOGIN_FAILURE_NOBILL	Il tuo account non ha tempo di gioco.
LOGIN_FAILURE_NOT_AVAIL	L'account non è disponibile.
LOGIN_FAILURE_NOT_EXIST_ID	Nome account o password errati.
LOGIN_FAILURE_REPAIR_ID	Vengono rigenerati oggetti per l'account.
LOGIN_FAILURE_SAMELOGIN	Qualcuno si è collegato al tuo account.
LOGIN_FAILURE_SHUTDOWN	Il server non è ancora aperto.
LOGIN_FAILURE_TOO_MANY_USER	Non sei riuscito a connetterti perchè ci sono troppi giocatori
LOGIN_FAILURE_UNKNOWN	Non sei riuscito a connetterti per ragioni sconosciute.
LOGIN_FAILURE_WEB_BLOCK	È stato bloccato sulla pagina web. Per favore controlli la sua e-mail
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER	Hai inserito un numero sbagliato.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER_TRIPLE	Hai inserito per tre volte un numero sbagliato. La connessione è stata conclusa.
LOGIN_FAILURE_WRONG_PASSWORD	Nome account o password errati.
LOGIN_INPUT_ID	Inserisci l'ID.
LOGIN_INPUT_PASSWORD	Inserisci la password.
LOGIN_PROCESSING	È in corso il login.
MALL_CANNOT_INSERT	Non puoi collocare l'oggetto.
MALL_PASSWORD_TITLE	Password
MAP_A1	Zona Yongan
MAP_A2	Valle di Seungryong
MAP_A2_1	
MAP_A3	Zona Yayang
MAP_AG	Jungrang
MAP_B1	Zona Joan
MAP_B2	Valle di Imji
MAP_B3	Zona Bokjung
MAP_BAY	Baia Nefrite
MAP_BAYBLACKSAND	Baia Nefrite
MAP_BG	Waryong
MAP_C1	Zona Pyungmoo
MAP_C2	Valle di Bangsan
MAP_C3	Zona Bakra
MAP_CAPE	Capo Fuoco del Drago
MAP_CAPEDRAGONHEAD	Capo Fuoco del Drago
MAP_CG	Imha
MAP_DAWN	Falesia di Gautama
MAP_DAWNMISTWOOD	Falesia di Gautama
MAP_DESERT	Deserto Yongbi
MAP_DEVILCATACOMB	Catacomba del Diavolo
MAP_DEVILTOWER1	Torre dei Demoni
MAP_DUEL	Arena Esercitazioni Belliche
MAP_E	Colonia
MAP_EMPIREWAR01	Battaglia per il Castello
MAP_EMPIREWAR02	Battaglia per il Castello
MAP_EMPIREWAR03	Battaglia per il Castello
MAP_FLAME	Doyyumhwan
MAP_GUILD_01	Jungrang
MAP_GUILD_02	Waryong
MAP_GUILD_03	Imha
MAP_HOLYPLACE_DESERT	Terra dei Deserti - Guerra dei Regni
MAP_HOLYPLACE_FLAME	Terra di Fuoco - Guerra dei Regni
MAP_HOLYPLACE_ICE	Terra dei Ghiacci - Guerra dei Regni
MAP_MILGYO	Tempio Hwang
MAP_MILGYO_A	
MAP_MONKEY_DUNGEON	Hasun Dong
MAP_MONKEY_DUNGEON2	Jungsun Dong
MAP_MONKEY_DUNGEON3	Sangsun Dong
MAP_MONKEY_DUNGEON_11	Hasun Dong
MAP_MONKEY_DUNGEON_12	Hasun Dong
MAP_MONKEY_DUNGEON_13	Hasun Dong
MAP_MT_THUNDER	Monti Tonanti
MAP_NUSLUCK	Terra Giganti
MAP_NUSLUCK01	Terra dei Giganti
MAP_N_DESERT_01	Deserto Yongbi
MAP_N_DESERT_02	
MAP_N_FLAME_01	Terra di Fuoco
MAP_N_FLAME_02	
MAP_N_FLAME_DUNGEON_01	Fortezza del Drago Rosso
MAP_N_SNOWM_01	Monte Sohan
MAP_N_SNOWM_02	
MAP_N_SNOW_DUNGEON_01	Torre di Vedetta di Nemere
MAP_N_THREEWAY	Valle di Seungryong
MAP_OXEVENT	Gara OX
MAP_PATHWAY_DESERT_01	Terra dei Deserti - Guerra dei Regni
MAP_PATHWAY_DESERT_02	Terra dei Deserti - Guerra dei Regni
MAP_PATHWAY_DESERT_03	Terra dei Deserti - Guerra dei Regni
MAP_PATHWAY_FLAME_01	Terra di Fuoco - Guerra dei Regni
MAP_PATHWAY_FLAME_02	Terra di Fuoco - Guerra dei Regni
MAP_PATHWAY_FLAME_03	Terra di Fuoco - Guerra dei Regni
MAP_PATHWAY_ICE_01	Terra dei Ghiacci - Guerra dei Regni
MAP_PATHWAY_ICE_02	Spassolandia
MAP_PATHWAY_ICE_03	Terra dei Ghiacci - Guerra dei Regni
MAP_SKELTOWER	Torre di Gumsan
MAP_SKIPIA_DUNGEON_01	Grotta dell'Esilio
MAP_SKIPIA_DUNGEON_011	
MAP_SKIPIA_DUNGEON_012	
MAP_SKIPIA_DUNGEON_013	
MAP_SKIPIA_DUNGEON_02	Grotta dell'Esilio 2
MAP_SKIPIA_DUNGEON_021	
MAP_SKIPIA_DUNGEON_022	
MAP_SKIPIA_DUNGEON_023	
MAP_SKIPIA_DUNGEON_BOSS	Stanza del Drago
MAP_SKIPIA_DUNGEON_BOSS_1	Sotterraneo dei Ragni 1
MAP_SKIPIA_DUNGEON_BOSS_2	Sotterraneo dei Ragni 2
MAP_SKIPIA_DUNGEON_BOSS_3	Sotterraneo dei Ragni 3
MAP_SNOW	Monte Sohan
MAP_SPIDER	Kuahlo Dong
MAP_SPIDERDUNGEON	Sotterraneo dei Ragni 1
MAP_SPIDERDUNGEON_02	Sotterraneo dei Ragni 2
MAP_SPIDERDUNGEON_02_1	Sotterraneo dei Ragni 2
MAP_SPIDERDUNGEON_03	Sotterraneo dei Ragni 3
MAP_SUNGZI	Guerra dei Regni
MAP_SUNGZI_DESERT_01	Terra dei Deserti - Guerra dei Regni
MAP_SUNGZI_DESERT_HILL_01	Terra dei Deserti - Guerra dei Regni
MAP_SUNGZI_DESERT_HILL_02	Terra dei Deserti - Guerra dei Regni
MAP_SUNGZI_DESERT_HILL_03	Terra dei Deserti - Guerra dei Regni
MAP_SUNGZI_FLAME_HILL_01	Terra di Fuoco - Guerra dei Regni
MAP_SUNGZI_FLAME_HILL_02	Terra di Fuoco - Guerra dei Regni
MAP_SUNGZI_FLAME_HILL_03	Terra di Fuoco - Guerra dei Regni
MAP_SUNGZI_SNOW	Terra dei Ghiacci - Guerra dei Regni
MAP_SUNGZI_SNOW_PASS01	Terra dei Ghiacci - Guerra dei Regni
MAP_SUNGZI_SNOW_PASS02	Terra dei Ghiacci - Guerra dei Regni
MAP_SUNGZI_SNOW_PASS03	Terra dei Ghiacci - Guerra dei Regni
MAP_T1	Area della Guerra tra Gilde
MAP_T2	Area della Guerra tra Gilde
MAP_T3	Area della Guerra tra Gilde
MAP_T4	Area della Guerra tra Gilde
MAP_TEMPLE	Tempio Hwang
MAP_THUNDER	Monti Tonanti
MAP_TREE	Lungsam
MAP_TRENT	Bosco Fantasma
MAP_TRENT02	Bosco Rosso
MAP_TRENT02_A	Bosco Rosso
MAP_TRENT_A	
MAP_WEDDING_01	Mappa dei Matrimoni
MAP_WL	Campo Serpi
MAP_WL_01	Campo Serpi
MESSENGER_ADD_FRIEND	Aggiungi amico
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_1	%s vuole essere tuo amico.
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_2	Accetti?
MESSENGER_DO_YOU_DELETE	Cancelli?
MESSENGER_DO_YOU_DELETE_PHONE_NUMBER	Desideri cancellare il numero di cellulare?
MESSENGER_DO_YOU_MOVE	Desideri andare avanti?
MESSENGER_EMPTY_LIST	Vuoto
MESSENGER_FAMILY	Famiglia
MESSENGER_FRIEND	Amici
MESSENGER_GUILD	Gilda
MESSENGER_INPUT_MOBILE_AUTHORITY_DESCRIPTION	Inserisci il codice di conferma che è stato inviato al tuo cellulare.
MESSENGER_INPUT_MOBILE_AUTHORITY_TITLE	Inserisci il codice di conferma
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_1	Inserisci il numero di cellulare per l'invio di SMS.
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_2	Desideri inserire il numero ora?
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_TITLE	Inserisci numero di cellulare
MESSENGER_SEND_MOBILE_MESSAGE_TITLE	Invia messaggio.
METIN_TEST	
MINIMAP	Mini-mappa
MINIMAP_CANNOT_SEE	La mappa miniaturizzata non può essere visualizzata.
MINIMAP_CAN_NOT_SHOW_AREAMAP	La mappa non può essere visualizzata.
MINIMAP_DEC_SCALE	Zoom out
MINIMAP_INC_SCALE	Zoom in
MINIMAP_OBSERVER_COUNT	%d Spettatori
MINIMAP_SHOW_AREAMAP	Apri mappa grande
MINUTE	minuti
MONETARY_UNIT0	Yang
MONETARY_UNIT1	diecimila
MONETARY_UNIT2	cento milioni
MONEY_INPUT_DIALOG_SELLPRICE	Prezzo di vendita:
MOVE_ITEM_FAILURE_PRIVATE_SHOP	Non puoi spostare degli oggetti se hai un negozio privato aperto.
MUSIC_EMPTY_MUSIC_LIST	Nessuna musica di sottofondo.
MUSIC_METIN2_DEFAULT_THEMA	Musica standard di Metin2
MUSIC_NOT_SELECT_MUSIC	Non è stato scelto nessun file musicale.
NEEFD_REST	Devi prima riposarti.
NOT_YET_SUPPORT	Non è supportato.
OPTION_PVPMODE_CANNOT_SET_GUILD_MODE	Non puoi attivare la modalità Gilda se non appartieni ad una Gilda.
OPTION_PVPMODE_NOT_SUPPORT	Non puoi usare la configuarazione PvP.
OPTION_PVPMODE_PROTECT	Devi aver raggiunto il livello %d per modificare la modalità PvP.
PARTY_ANSWER_TIMEOVER	L'invito è stato rifiutato.
PARTY_BONUS_ATTACKER	Valore d'attacco: +%d	SA
PARTY_BONUS_BERSERKER	Velocità d'attacco: +%d	SA
PARTY_BONUS_BUFFER	Durata dell'abilità: +%d	SA
PARTY_BONUS_DEFENDER	Difesa: +%d	SA
PARTY_BONUS_EXP	Bonus EXP: %d%%	SA
PARTY_BONUS_SKILL_MASTER	Max. MP: +%d	SA
PARTY_BONUS_TANKER	Max. HP: +%d	SA
PARTY_BREAK_UP	Sciogli gruppo
PARTY_DO_YOU_ACCEPT	  desidera entrare nel gruppo.
PARTY_DO_YOU_JOIN	 ti ha invitato a unirti al suo gruppo. Accetti?
PARTY_EXP_DISTRIBUTION_MODE	Divisione per EXP
PARTY_EXP_DISTRIBUTION_MODE_LEVEL	In base al livello
PARTY_EXP_DISTRIBUTION_MODE_LEVEL_TOOLTIP	I membri di livello più alto ricevono più EXP.
PARTY_EXP_DISTRIBUTION_MODE_PARITY	Equilibrato
