AFF_LOVE_POINT	Liebespunkte: %d%%
CANNOT_SKILL_WAIT_COOLTIME	Diese Fertigkeit kann ich noch nicht einsetzen.
CANNOT_USE	Du kannst ihn nicht verwenden.
CANNOT_WHISPER_DEST_REFUSE	%s hat Flüstern blockiert.	SA
CANNOT_WHISPER_NOT_LOGON	%s ist nicht online.	SA
CANNOT_WHISPER_SELF_REFUSE	Du kannst niemandem etwas zuflüstern, wenn du Flüstern blockiert hast.	SNA
CHANNEL	Channel
CHANNELING_CANNOT_LOGOUT	Du kannst nicht zurück zum Anmeldebildschirm.
CHANNEL_EMPTY_SERVER	Kein Server
CHANNEL_NORMAL	Channel %d
CHANNEL_NOTIFY_FULL	Dieser Channel ist voll! Wähle bitte einen anderen aus.
CHANNEL_NOT_FIND_INFO	Keine Informationen über den Channel gefunden.
CHANNEL_PVP	Freies Duell
CHANNEL_SELECT_CHANNEL	Wähle den Channel
CHANNEL_SELECT_REGION	Ort für die Rechnungsstellung wählen
CHANNEL_SELECT_SERVER	Server wählen
CHANNEL_TEST_SERVER	Server testen
CHANNEL_TEST_SERVER_ADDR	Test %s:%d
CHAT_ALL	Alle
CHAT_BLOCK	Abblocken
CHAT_GUILD	Gilde
CHAT_INFORMATION	Info
CHAT_INSULT_STRING	Der Satz enthält unzulässige Wörter.
CHAT_LOG	Alte Nachrichten anzeigen [L]
CHAT_LOG_TITLE	Chat-Protokoll
CHAT_NORMAL	Normal
CHAT_NOTICE	Ankündigung
CHAT_PARTY	Gruppe
CHAT_SEND_CHAT	Chat senden
CHAT_SEND_MEMO	Flüstern senden [Umschalt+Eingabe]
CHAT_SHOUT	Rufen
CHAT_SHOUT_LIMIT	Du kannst nur alle 15 Sekunden rufen.
CHAT_WHISPER	Flüstern
CREATE_ERROR_GM_NAME	Du darfst im Charakternamen nicht ,GM‘ verwenden.
CREATE_ERROR_INSULT_NAME	Dieser Name ist nicht zulässig.
CREATE_EXIST_SAME_NAME	Ein anderer Charakter trägt bereits diesen Namen.
CREATE_FAILURE	Du kannst den Charakter nicht erstellen.
CREATE_GM_NAME	GM
CREATE_INPUT_NAME	Gib den Namen ein.
CREATE_PLUS_STAT	Es sind noch Statuspunkte verfügbar.
DAY	T
DO_YOU_BUY_ITEM1	Möchtest du %s für %s kaufen?
DO_YOU_BUY_ITEM2	Möchtest du %s %s für %s kaufen?
DO_YOU_DROP_MONEY	Möchtest du %d Yang fallen lassen?
DO_YOU_SELL_ITEM1	Möchtest du %s für %s verkaufen?
DO_YOU_SELL_ITEM2	Möchtest du %s %s für %s verkaufen?
DRAGON_SOUL_CANNOT_REFINE	Diesen Drachenstein kannst du nicht veredeln.
DRAGON_SOUL_CANNOT_REFINE_MORE	Dieser Drachenstein hat die höchste Stufe bereits erreicht.
DRAGON_SOUL_EQUIP_WARNING1	Es ist schwierig, einen Drachenstein wieder zu entfernen.
DRAGON_SOUL_EQUIP_WARNING2	Möchtest du dennoch fortfahren?
DRAGON_SOUL_EXPIRED	Abgelaufener Drachenstein
DRAGON_SOUL_INVALID_DRAGON_SOUL	Das ist der falsche Drachenstein.
DRAGON_SOUL_IS_NOT_DRAGON_SOUL	Das ist kein Drachenstein.
DRAGON_SOUL_NOT_DRAGON_SOUL_REFINE_STONE	Das ist nicht der richtige Drachenstein.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL	Du hast nicht genug Material zum Veredeln.
DRAGON_SOUL_NOT_MATCHED_SLOT	Der Drachenstein passt nicht in diesen Slot.
DRAGON_SOUL_STEP_LEVEL1	Reinheit: matt,
DRAGON_SOUL_STEP_LEVEL2	Reinheit: klar,
DRAGON_SOUL_STEP_LEVEL3	Reinheit: lupenrein,
DRAGON_SOUL_STEP_LEVEL4	Reinheit: brillant,
DRAGON_SOUL_STEP_LEVEL5	Reinheit: exzellent,
DRAGON_SOUL_STRENGTH	Stufe: +%d	SA
DRAGON_SOUL_UNEQUIP_WARNING1	Der Drachenstein könnte dabei zerstört werden.
DRAGON_SOUL_UNEQUIP_WARNING2	Möchtest du dennoch fortfahren?
DRAGON_SOUL_UNMATCHED_SLOT	Das ist der falsche Slot.
DRAGON_SOUL_UNQUALIFIED	Du kannst die Drachensteinalchemie noch nicht anwenden.
DROP_ITEM_FAILURE_EQUIP_ITEM	Du kannst keine ausgerüsteten Gegenstände fallen lassen.
DROP_ITEM_FAILURE_PRIVATE_SHOP	Du kannst keine Gegenstände fallen lassen, solange du einen privaten Laden geöffnet hast.
DROP_MONEY_FAILURE_1000_OVER	Du kannst nur maximal 999 Yang fallen lassen.
EMOTION_ANGRY	Ärgerlich
EMOTION_ATTRACTIVE	Verführung
EMOTION_BANTER	Spöttisch
EMOTION_CHEERS_1	Jubel 1
EMOTION_CHEERS_2	Jubel 2
EMOTION_CHEERUP	Jubeln
EMOTION_CHOOSE_ONE	Wähle ein Ziel.
EMOTION_CLAP	Applaus
EMOTION_CLAP_KISS	Kuss
EMOTION_CONGRATULATION	Zuspruch
EMOTION_DANCE_1	Tanz 1
EMOTION_DANCE_2	Tanz 2
EMOTION_DANCE_3	Tanz 3
EMOTION_DANCE_4	Tanz 4
EMOTION_DANCE_5	Tanz 5
EMOTION_DANCE_6	Gumsan Style
EMOTION_FORGIVE	Vergebung
EMOTION_FRENCH_KISS	Zungenkuss
EMOTION_JOY	Freude
EMOTION_SAD	Traurig
EMOTION_SHY	Ablehnung
EMOTION_SLAP	Schlag
EMPIRE_A	Shinsoo-Reich
EMPIRE_B	Chunjo-Reich
EMPIRE_C	Jinno-Reich
EXCHANGE_CANNOT_GIVE	Dieser Gegenstand kann nicht gehandelt werden.
EXCHANGE_CANT_EDIT_MONEY	Du kannst den Betrag jetzt nicht ändern.
EXCHANGE_FAILURE_EQUIP_ITEM	Du kannst ausgerüstete Gegenstände nicht austauschen.
EXCHANGE_MONEY	Betrag
EXCHANGE_TITLE	Mit %s handeln
FISHING_FAILURE	Du hast den Fischköder verloren.
FISHING_NOTIFY1	Es sieht aus, als hätte %s angebissen.
FISHING_NOTIFY2	Es sieht aus, als hinge %s am Haken.
FISHING_SUCCESS1	Du hast %s gefangen!
FISHING_SUCCESS2	Du hast %s aus dem Wasser gezogen!
FISHING_UNKNOWN	Etwas hat angebissen, aber du kannst nicht erkennen, was es ist.
FISHING_WRONG_PLACE	Du kannst hier nicht fischen.
FOR_FEMALE	Für Frauen
FOR_MALE	Für Männer
GAME_CANNOT_MINING	Du kannst kein Erz abbauen, während du reitest.
GAME_CANNOT_PICK_ITEM	Du kannst den Gegenstand nicht einsammeln, da er nicht von dir erbeutet wurde.
GAME_INIT_ERROR_CURSOR	Mauszeiger konnte nicht erstellt werden.
GAME_INIT_ERROR_DIRECTX	DirectX 8.1 muss installiert sein, damit das Spiel ausgeführt werden kann.\nInstalliere DirectX 8.1 oder höher.
GAME_INIT_ERROR_GRAPHICS_BAD_PERFORMANCE	Kein Grafikgerät für das Ausführen des Spiels gefunden. \nÜberprüfe, ob deine VGA-Karte korrekt installiert ist.
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	Grafikgerät konnte nicht erstellt werden.\nÜberprüfe, ob du über eine VGA-Karte verfügst.\nAlternativ kannst du die Hardware-Beschleunigung aktivieren.\n(Setze die Hardware-Beschleunigung auf Maximum \nSystemsteuerung->Anzeige->Einstellungen->Erweitert->Registerkarte Problembehandlung)
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	Die Grafikkarte des PCs unterstützt keinen Fenstermodus im 32bit-Modus.\nWechsel zum 16bit-Modus oder verwende den Vollbildmodus.
GAME_INIT_ERROR_ITEM_PROTO	Keine Gegenstandsdaten vorhanden.\nInstalliere das Spiel neu.
GAME_INIT_ERROR_MAIN_WINDOW	Hauptfenster konnte nicht erstellt werden.
GAME_INIT_ERROR_MOB_PROTO	Keine Monsterdaten vorhanden.\nInstalliere das Spiel neu.
GAME_INIT_ERROR_NETWORK	Netzwerkgerät konnte nicht erstellt werden.\nÜberprüfe die Internet-Verbindung.
GAME_PICK_MONEY	Du hast %d Yang erhalten.
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	Höhe beträgt nicht 128 Pixel
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	Höhe beträgt nicht 12 Pixel
GUILDMARK_UPLOADER_ERROR_16_WIDTH	Breite beträgt nicht 16 Pixel
GUILDMARK_UPLOADER_ERROR_64_WIDTH	Breite beträgt nicht 64 Pixel
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	Das Spiel unterstützt dieses Bild nicht.
GUILDMARK_UPLOADER_ERROR_PATH	Verschiebe die Dateien in den Ordner metin2/upload.
GUILDMARK_UPLOADER_ERROR_SELECT	Keine Bilddatei ausgewählt.
GUILDWAR_CTF_TITLE	Flagge erobern
GUILDWAR_NORMAL_TITLE	Feldschlacht
GUILDWAR_QUESTION_LINE_1	Die Gilde %s hat deiner Gilde den Krieg erklärt.
GUILDWAR_QUESTION_LINE_2	Nimmst du an? (%s)
GUILDWAR_UNKNOWN_TITLE	...
GUILDWAR_WARP_TITLE	Arenakampf
GUILD_BUILDING_GRADE	Rang
GUILD_BUILDING_NAME	Gebäudename
GUILD_CANNOT_HEAL_GSP_ANYMORE	Die Drachengeist-Energie ist bereits vollständig aufgeladen.
GUILD_COMMENT	Schreiben
GUILD_CREATE_ERROR_INSULT_NAME	Gildenname ist nicht zulässig.
GUILD_DEFAULT_GRADE	Gildenmitglieder
GUILD_DELETE	Löschen
GUILD_DEPOSIT	Hinterlegen
GUILD_DO_YOU_HEAL_GSP	Möchtest du für %d Yang %d Drachengeist wiederherstellen?
GUILD_DO_YOU_JOIN	 hat dich eingeladen. Der Gilde beitreten?
GUILD_EMPTY_AREA	Leeres Land
GUILD_ENEMY_GUILD_NAME	Gildenname des Gegners
GUILD_FACILITY	Nebengebäude
GUILD_GEM	Edelstein
GUILD_HEADQUARTER	Hauptgebäude
GUILD_HEAL_GSP	Drachengeist aufladen
GUILD_INFO_ENEMY_GUILD_EMPTY	Keine
GUILD_MARK_NOT_ENOUGH_LEVEL	Mindestens Level 3 erforderlich
GUILD_NAME	Gildenname
GUILD_NOT_ENOUGH_MATERIAL	Nicht genug Baumaterial für dieses Gebäude.
GUILD_NOT_ENOUGH_MONEY	Nicht genug Yang für dieses Gebäude.
GUILD_NO_NOTICE_PERMISSION	Du bist nicht berechtigt, eine Ankündigung zu machen.
GUILD_OBJECT	Objekte
GUILD_OFFER_EXP	Erfahrung investieren
GUILD_SHORT_EXP	Nicht genug Erfahrungspunkte.
GUILD_TILE_BASEINFO	Basisinformationen
GUILD_TILE_BOARD	Tafel
GUILD_TILE_GRADE	Rechteverwaltung
GUILD_TILE_INFO	Gildeninformationen
GUILD_TILE_MEMBER	Gildenmitglieder
GUILD_TILE_SKILL	Gildenfertigkeiten
GUILD_WAR_LIMIT_30MIN	Zeit: 30 Minuten
GUILD_WAR_REWARD_POTION	Belohnung: Sieger erhält Tränke
GUILD_WAR_USE_BATTLE_MAP	Ort: Gildenkriegsarena
GUILD_WAR_USE_NORMAL_MAP	Ort: Normale Karte
GUILD_WAR_WIN_CHECK_SCORE	Die Gilde mit den meisten Siegen gewinnt den Krieg.
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	Erobere die Flagge des Gegners
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	und bringe sie zu deiner Basis.
GUILD_WAR_WIN_WIPE_OUT_GUILD	Besiege alle Gegner, um zu gewinnen.
GUILD_WITHDRAW	Rückzug
GUILD_YOU_DO_NOT_JOIN	Du gehörst keiner Gilde an.
HORSE_HEALTH0	Tot
HORSE_HEALTH1	Verhungernd
HORSE_HEALTH2	Hungrig
HORSE_HEALTH3	Voll
HORSE_LEVEL1	Normales Pferd
HORSE_LEVEL2	Kampfpferd
HORSE_LEVEL3	Militärpferd
HOUR	Std
HOW_MANY_ITEM_DO_YOU_DROP1	Möchtest du %s fallen lassen?
HOW_MANY_ITEM_DO_YOU_DROP2	Möchtest du %s %d fallen lassen?
INPUT_MATRIX_CARD_NUMBER	Matrix-Kartennr. eingeben
INPUT_MATRIX_CARD_TITLE	Matrix-Karte
INPUT_PRIVATE_CODE_DIALOG_DESCRIPTION	Lösch-Code aus der Accountverwaltung eingeben.
INPUT_PRIVATE_CODE_DIALOG_TITLE	Charakter löschen
INVENTORY_DO_NOT_PACK_WARP_SCROLL	Schriftrolle kann nicht zusammengeführt werden.
INVENTORY_REALLY_USE_ITEM	Möchtest du diesen Gegenstand verwenden?
JOB_ASSASSIN	Ninja
JOB_ASSASSIN0	Amateurninja
JOB_ASSASSIN1	Macht des Ninjas
JOB_ASSASSIN2	Untoter
JOB_SHAMAN	Schamane
JOB_SHAMAN0	Amateurschamane
JOB_SHAMAN1	Macht des Drachen
JOB_SHAMAN2	Blitzkraft
JOB_SURA	Sura
JOB_SURA0	Amateur-Sura
JOB_SURA1	Macht der Fata Morgana
JOB_SURA2	Macht der schwarzen Magie
JOB_WARRIOR	Krieger
JOB_WARRIOR0	Amateurkrieger
JOB_WARRIOR1	Macht von Arahan
JOB_WARRIOR2	Macht der Partisanen
LEFT_TIME	Verbl. Zeit
LOGIN_CONNECT_FAILURE	Fehler beim Verbinden mit dem Server.
LOGIN_CONNECT_SUCCESS	Verbindung zum Server hergestellt.
LOGIN_CONNETING	Du wirst mit dem Server verbunden...
LOGIN_FAILURE_ALREAY	Dein Konto ist bereits verbunden.
LOGIN_FAILURE_BE_SAME_KEY	Anmeldeproblem
LOGIN_FAILURE_BLOCK_ID	Das Konto ist gesperrt.
LOGIN_FAILURE_BLOCK_LOGIN	Bitte wähle einen anderen Server!
LOGIN_FAILURE_NOBILL	Das Konto verfügt über keine Spielzeit.
LOGIN_FAILURE_NOT_AVAIL	Das Konto ist nicht verfügbar.
LOGIN_FAILURE_NOT_EXIST_ID	Accountname oder Passwort falsch.
LOGIN_FAILURE_REPAIR_ID	Für das Konto werden gerade Gegenstände wiederhergestellt.
LOGIN_FAILURE_SHUTDOWN	Der Server ist noch nicht offen.
LOGIN_FAILURE_TOO_MANY_USER	Du konntest keine Verbindung herstellen, da es zu viele Spieler gibt.
LOGIN_FAILURE_UNKNOWN	Du konntest dich aus unbekannten Gründen nicht anmelden.
LOGIN_FAILURE_WEB_BLOCK	Du wurdest auf der Webseite geblockt. Bitte überprüfe deine E-Mails.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER	Du hast eine falsche Nr. eingegeben.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER_TRIPLE	Du hast dreimal eine falsche Nr. eingegeben. Deine Verbindung wird beendet.
LOGIN_FAILURE_WRONG_PASSWORD	Accountname oder Passwort falsch.
LOGIN_INPUT_ID	Gib die ID ein.
LOGIN_INPUT_PASSWORD	Gib das Kennwort ein.
LOGIN_PROCESSING	Anmeldevorgang läuft...
MALL_CANNOT_INSERT	Du kannst den Gegenstand nicht platzieren.
MALL_PASSWORD_TITLE	Kennwort
MAP_A1	Gebiet Yongan
MAP_A2	Tal von Seungryong
MAP_A3	Gebiet Jayang
MAP_AG	Jungrang
MAP_B1	Gebiet Joan
MAP_B2	Tal von Imji
MAP_B3	Gebiet Bokjung
MAP_BAY	Nephritbucht
MAP_BG	Waryong
MAP_C1	Gebiet Pyungmoo
MAP_C2	Tal von Bangsan
MAP_C3	Gebiet Bakra
MAP_CAPE	Kap des Drachenfeuers
MAP_CG	Imha
MAP_DAWN	Gautamakliff
MAP_DESERT	Yongbi-Wüste
MAP_FLAME	Doyyumhwan
MAP_NUSLUCK	Land d. Riesen
MAP_SKELTOWER	Gumsan-Turm
MAP_SNOW	Berg Sohan
MAP_SPIDER	Kuahlo Dong
MAP_TEMPLE	Hwang-Tempel
MAP_THUNDER	Donnerberge
MAP_TREE	Lungsam
MAP_TRENT02	Roter Wald
MAP_WL	Schlangenfeld
MESSENGER_ADD_FRIEND	Freund hinzufügen
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_1	%s hat dich als Freund aufgenommen.
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_2	Annehmen?
MESSENGER_DO_YOU_DELETE	Löschen?
MESSENGER_DO_YOU_DELETE_PHONE_NUMBER	Möchtest du die Handynummer löschen?
MESSENGER_DO_YOU_MOVE	Möchtest du weiter?
MESSENGER_EMPTY_LIST	Leer
MESSENGER_FAMILY	Familie
MESSENGER_FRIEND	Freunde
MESSENGER_GUILD	Gilde
MESSENGER_INPUT_MOBILE_AUTHORITY_DESCRIPTION	Gib die Bestätigungsnr. ein, die an dein Handy gesendet wurde.
MESSENGER_INPUT_MOBILE_AUTHORITY_TITLE	Bestätigungsnr. eingeben
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_1	Gib die Handynr. für den SMS-Versand ein.
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_2	Möchtest du die Nummer jetzt eingeben?
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_TITLE	Handynummer eingeben
MESSENGER_SEND_MOBILE_MESSAGE_TITLE	Nachricht senden.
MINIMAP	Minikarte öffnen
MINIMAP_CANNOT_SEE	Minikarte kann nicht angezeigt werden.
MINIMAP_CAN_NOT_SHOW_AREAMAP	Übersichtskarte kann nicht angezeigt werden.
MINIMAP_DEC_SCALE	Herauszoomen
MINIMAP_INC_SCALE	Heranzoomen
MINIMAP_OBSERVER_COUNT	%d Zuschauer
MINIMAP_SHOW_AREAMAP	Übersichtskarte öffnen
MINUTE	Min
MONETARY_UNIT0	Yang
MONETARY_UNIT1	zehntausend
MONETARY_UNIT2	hundert Millionen
MONEY_INPUT_DIALOG_SELLPRICE	Verkaufspreis:
MOVE_ITEM_FAILURE_PRIVATE_SHOP	Du kannst keine Gegenstände verschieben, solange du einen privaten Laden geöffnet hast.
MUSIC_EMPTY_MUSIC_LIST	Keine Hintergrundmusik.
MUSIC_METIN2_DEFAULT_THEMA	Metin2-Standardmusik
MUSIC_NOT_SELECT_MUSIC	Keine Musikdatei ausgewählt.
NEEFD_REST	Du musst erst ausruhen.
NOT_YET_SUPPORT	Wird nicht unterstützt.
OPTION_PVPMODE_CANNOT_SET_GUILD_MODE	Du kannst den Gildenmodus nicht aktivieren, wenn du keiner Gilde angehörst.
OPTION_PVPMODE_NOT_SUPPORT	Du kannst die Konfiguration des PvP-Modus nicht verwenden.
OPTION_PVPMODE_PROTECT	Du musst mindestens Level %d erreicht haben, um den PvP-Modus zu ändern.
PARTY_BONUS_ATTACKER	Angriffswert: +%d	SA
PARTY_BONUS_BERSERKER	Angriffsgeschwindigkeit: +%d	SA
PARTY_BONUS_BUFFER	Fertigkeitsdauer: +%d	SA
PARTY_BONUS_DEFENDER	Verteidigung: +%d	SA
PARTY_BONUS_EXP	Bonus-EXP: %d%%	SA
PARTY_BONUS_SKILL_MASTER	Max. MP: +%d	SA
PARTY_BONUS_TANKER	Max. TP: +%d	SA
PARTY_BREAK_UP	Gruppe auflösen
PARTY_DO_YOU_ACCEPT	 möchte der Gruppe beitreten.
PARTY_DO_YOU_JOIN	 hat dich in seine Gruppe eingeladen. Annehmen?
PARTY_EXP_DISTRIBUTION_MODE	EXP-Verteilung
PARTY_EXP_DISTRIBUTION_MODE_LEVEL	levelabhängig
PARTY_EXP_DISTRIBUTION_MODE_LEVEL_TOOLTIP	Gruppenmitglieder höherer Level erhalten mehr EXP.
PARTY_EXP_DISTRIBUTION_MODE_PARITY	gleichmäßig
PARTY_EXP_DISTRIBUTION_MODE_PARITY_TOOLTIP	Alle Gruppenmitglieder erhalten gleich viele EXP.
PARTY_HEAL_ALL_MEMBER	Alles wiederherstellen
PARTY_INCREASE_AREA_150	Reichweite der Gruppe um Faktor 1,5 erhöht.	SNA
PARTY_INCREASE_AREA_200	Reichweite der Gruppe um Faktor 2 erhöht.	SNA
PARTY_LEAVE	Gruppe verlassen
PARTY_LONGTIME_BONUS_EXP	Bonus-EXP für langes Gruppenspiel: +%d%%	SA
PARTY_MEMBER_OFFLINE	[Offline]
PARTY_RECALL_MEMBER	Gruppenmitglied herbeirufen.
PARTY_REGEN_BONUS	Bonus für TP- + MP-Regeneration: +%d%%	SA
PARTY_REQUEST_DENIED	Deine Anfrage wurde abgelehnt.
PARTY_SET_ATTACKER	Als Angreifer festlegen.
PARTY_SET_BERSERKER	Als Berserker festlegen.
PARTY_SET_BUFFER	Als Blocker festlegen.
PARTY_SET_DEFENDER	Als Verteidiger festlegen.
PARTY_SET_NORMAL	Einstellung widerrufen.
PARTY_SET_SKILL_MASTER	Als Fertigkeitsmeister festlegen.
PARTY_SET_TANKER	Als Nahkämpfer festlegen.
PARTY_SKILL_ATTACKER	Basis-Angriffswert Angreifer +%.0f
PARTY_SKILL_BERSERKER	Angriffsgeschwindigkeit Berserker +%.0f
PARTY_SKILL_BUFFER	Fertigkeitsdauer Blocker +%.0f
PARTY_SKILL_DEFENDER	Verteidigung Verteidiger +%.0f
PARTY_SKILL_HP_REGEN	TP-Regeneration +%.0f%%
PARTY_SKILL_PARTY_AREA	Gruppenreichweite +%d%%
PARTY_SKILL_SKILL_MASTER	Max. MP Fertigkeitsmeister +%.0f
PARTY_SKILL_SP_REGEN	MP-Regeneration +%.0f%%
PARTY_SKILL_TANKER	Max. TP Nahkämpfer +%.0f
PARTY_SKILL_WARP	In der Lage, Gruppenmitglieder herbeizurufen.
PASSWORD_TITLE	Lagerkennwort
PICK_ITEM_TITLE	Gegenstandsnr.
PICK_MONEY_TITLE	Betrag
PRIVATE_SHOP_CANNOT_SELL_ITEM	Du kannst diesen Gegenstand nicht in einem privaten Laden verkaufen.
PRIVATE_SHOP_CLOSE_QUESTION	Möchtest du den privaten Laden schließen?
PRIVATE_SHOP_INPUT_NAME_DIALOG_TITLE	Name des privaten Ladens
PRIVATE_SHOP_INPUT_PRICE_DIALOG_TITLE	Preis
PVP_LEVEL0	Ritterlich
PVP_LEVEL1	Edel
PVP_LEVEL2	Gut
PVP_LEVEL3	Freundlich
PVP_LEVEL4	Neutral
PVP_LEVEL5	Aggressiv
PVP_LEVEL6	Arglistig
PVP_LEVEL7	Bösartig
PVP_LEVEL8	Grausam
PVP_MODE_GUILD	PvP - Gilde aktiviert
PVP_MODE_KILL	PvP - Frei aktiviert
PVP_MODE_NORMAL	PvP - Frieden aktiviert
PVP_MODE_PROTECT	PvP - Schutz aktiviert
PVP_MODE_REVENGE	PvP - Feindlich aktiviert
PVP_OPTION_KILL	Frei
PVP_OPTION_NORMAL	Frieden
PVP_OPTION_PROTECT	Schutz
PVP_OPTION_REVENGE	Feindlich
QUEST_APPEND	Neuer Auftrag wurde erfasst.
QUEST_MIN	Min.
QUEST_SEC	Sek.
QUEST_TIMEOVER	Zeit abgelaufen
QUEST_UNLIMITED_TIME	Keine Zeitbeschränkung
QUEST_ZEROSEC	0 Sek.
QUICKSLOT_REGISTER_DISABLE_ITEM	Dieser Gegenstand kann nicht zum Schnellzugriffsfeld hinzugefügt werden.
RECEIVE_MESSAGE	%s hat dir eine Nachricht gesendet.
REFINE_COST	Verbesserungskosten: %d Yang
REFINE_DESTROY_WARNING	Der Gegenstand könnte beim Veredeln zerstört werden.
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_1	Dies erhöht die Verbesserungswahrscheinlichkeit,
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_2	aber bei einem Fehlschlag wird der Gegenstand zerstört. Möchtest du fortfahren?
REFINE_DOWN_GRADE_WARNING	Der Gegenstand könnte beim Veredeln schlechter werden.
REFINE_DO_YOU_SEPARATE_METIN	Alle vorhandenen Geiststeine entfernen?
REFINE_FAILURE	Tja, hat nicht geklappt! Wir haben versagt.
REFINE_FAILURE_CAN_NOT_ATTACH	%s kann diesem Gegenstand nicht beigefügt werden.
REFINE_FAILURE_EQUIP_ITEM	Du kannst keine ausgerüsteten Gegenstände verbessern.
REFINE_FAILURE_METIN_INSEPARABLE_ITEM	Es kann kein Geiststein entfernt werden.
REFINE_FAILURE_NEED_BETTER_SCROLL	Du benötigst eine bessere Verbesserungsschriftrolle.
REFINE_FAILURE_NO_GOLD_SOCKET	Es gibt keine Goldfassung, um %s beizufügen.
REFINE_FAILURE_NO_MORE_SOCKET	Du kannst keine weiteren Fassungen hinzufügen.
REFINE_FAILURE_NO_SOCKET0	Es gibt keine freie Fassung für den %s.
REFINE_FAILURE_SOCKET_DISABLE_ITEM	Auf diesem Gegenstand können keine Fassungen hinzugefügt werden.
REFINE_FAILURE_UPGRADE_DISABLE_ITEM	Dieser Gegenstand kann nicht verbessert werden.
REFINE_SUCCESS	Die Gegenstandsverbesserung war erfolgreich.
REFINE_SUCCESS_PROBALITY	Verbesserungschance: %d%%
REFINE_WARNING2	Möchtest du fortfahren?
SAFEBOX_ERROR	Du hast das falsche Kennwort eingegeben.
SAFEBOX_SELL_DISABLE_SAFEITEM	Du kannst keine der gespeicherten Gegenstände verkaufen.
SAFEBOX_WRONG_PASSWORD	Die Kennwörter müssen identisch sein.
SCREENSHOT_SAVE1	ist gespeichert in
SCREENSHOT_SAVE2	Screenshot-Ordner
SCREENSHOT_SAVE_FAILURE	Speichern des Screenshots fehlgeschlagen.
SECOND	Sek
SELECT_CAN_NOT_DELETE	Du kannst den Charakter nicht löschen.
SELECT_CHANGED_NAME	Du hast den Namen des Charakters geändert.
